Variable	Importance
SOX6	0.013870015948963319
Estrogen	0.01324175824175824
SMAD2	0.012366133866133867
HIF1A	0.011153846153846155
DLX1	0.009901098901098901
SNAI1	0.008835331335331336
TFAP2A	0.008031968031968031
FOXO1	0.007960372960372959
BMAL1	0.006263819513819514
NCOR1	0.005952380952380952
NR3C2	0.0052499999999999995
AIP	0.0048853923853923835
SMAD1	0.0045000000000000005
STAT3	0.004472934472934473
CEBPG	0.004102564102564103
PPARD	0.004038461538461538
CREB1	0.003974358974358973
HSF1	0.0033333333333333335
DLX5	0.0033333333333333327
AP1	0.003196969696969697
TBX10	0.003076923076923077
STAT6	0.0028923076923076927
NFkB	0.002857142857142857
MYOD1	0.002727272727272727
SNAI2	0.0023076923076923075
MEF2A	0.002307692307692306
FOXE1	0.0022527472527472513
STAT5A	0.0022222222222222222
USF1	0.0022222222222222222
NFKB	0.0021428571428571443
IRF1	0.002142857142857143
ETV5	0.002142857142857143
EHF	0.002123376623376624
HES6	0.0020624999999999992
E2F2	0.0020512820512820517
MEIS1	0.0020000000000000005
JUNB	0.0019999999999999996
IRF7	0.001994285714285715
PAX5	0.0019841269841269836
ATF1	0.0018560606060606054
PPARA	0.001742424242424243
E2F4	0.0016666666666666674
EGR2	0.0015553494124922696
NEUROG2	0.0015384615384615385
HOXB9	0.0015384615384615385
HMGA2	0.001428571428571429
JUND	0.0013333333333333342
HOPX	0.00125
BMAL2	0.0012307692307692308
RUNX1	0.001201923076923076
ELF2	0.0010256410256410265
NFIC	0.0010000000000000009
KLF7	0.0010000000000000009
GRHL2	9.999999999999998e-4
EP300	9.090909090909094e-4
NFATC2	9.090909090909083e-4
CEBPB	9.090909090909083e-4
NFATC1	9.090909090909083e-4
NKX2-2	9.090909090909083e-4
PI3K	8.333333333333348e-4
p53	8.333333333333348e-4
NR3C1	8.333333333333348e-4
NFKBIB	8.333333333333348e-4
NKRF	8.333333333333348e-4
FOS	8.333333333333337e-4
NR0B2	8.333333333333326e-4
POU3F1	8.333333333333326e-4
ETV7	8.333333333333326e-4
SMAD3	7.692307692307699e-4
KAT6B	7.692307692307699e-4
EGR1	7.692307692307687e-4
ZBTB7B	7.692307692307687e-4
NKX3-2	7.692307692307687e-4
SPI1	7.14285714285715e-4
ELF4	7.14285714285715e-4
SPDEF	7.14285714285715e-4
BARX1	7.14285714285714e-4
JUN	6.666666666666665e-4
PITX2	6.666666666666665e-4
HCFC1	4.081632653061218e-4
FOXA3	4.807692307692291e-5
TNFa	4.000000000000004e-5
Androgen	0
MAPK	0
TGFb	0
Trail	0
VEGF	0
WNT	0
MYC	0
SMAD4	0
SP1	0
TP53	0
STAT1	0
ETV4	0
FOXA2	0
E2F1	0
NFE2L3	0
STAT4	0
ATF2	0
NR2C2	0
IRF3	0
AHR	0
PAX6	0
RBPJ	0
GATA6	0
HNF4A	0
RARA	0
DBP	0
PPARG	0
USF2	0
IRF2	0
SP3	0
AR	0
KAT7	0
NKX2-5	0
ESR2	0
TBP	0
REL	0
MYB	0
ETS2	0
MAZ	0
HMGA1	0
NFKB1	0
ATF4	0
RUNX2	0
TFAP2B	0
IRF8	0
FLI1	0
CEBPA	0
SRF	0
ELF1	0
LHX2	0
VDR	0
HR	0
RELB	0
CEBPE	0
LEF1	0
ZNF143	0
HNF1B	0
PAX3	0
TP63	0
XBP1	0
SREBF1	0
TCF3	0
PKNOX1	0
NR4A3	0
SSRP1	0
ZNF354C	0
POU2F2	0
MITF	0
FOSL1	0
DNMT1	0
KLF5	0
MYRF	0
EBF1	0
IRF4	0
FOXA1	0
KLF1	0
LHX3	0
BCL6	0
TFCP2	0
REST	0
IRF9	0
TFAP2C	0
ELF3	0
ZEB1	0
EGR3	0
EWSR1	0
NAB2	0
MEF2C	0
SOX10	0
ERG	0
PITX3	0
NFKB2	0
MAFB	0
KLF6	0
YBX3	0
TFDP1	0
GATA2	0
CLOCK	0
MAF	0
AIRE	0
ETV1	0
CXXC1	0
TBX21	0
RFX5	0
RFXANK	0
RFXAP	0
SPIB	0
TBXT	0
CREB3	0
NFYB	0
NFATC3	0
NR1D2	0
TWIST1	0
ATOH7	0
HEY1	0
ZBTB17	0
IRF5	0
FOSB	0
SOX18	0
IKZF1	0
BCL3	0
DLX2	0
STAT2	0
ATOH1	0
TWIST2	0
PLAGL1	0
ZNF384	0
KLF15	0
OLIG2	0
SOX5	0
ZEB2	0
RXRB	0
GLI1	0
PRDM16	0
BHLHA15	0
CTNNB1	0
LMO2	0
FOXC1	0
NFKBIZ	0
SP7	0
SCX	0
SALL1	0
FOXF1	0
KMT2B	0
NFIB	0
MEIS2	0
MED1	0
KDM5B	0
FEZF1	0
FOXJ1	0
NHLH2	0
ZBTB18	0
HDAC5	0
MYOCD	0
POU2AF1	0
ZMYND8	0
ARID4B	0
DMTF1	-6.41025641025661e-5
CEBPD	-3.418803418803407e-4
HAND2	-3.8461538461538434e-4
Hypoxia	-5.387205387205396e-4
PGR	-7.14285714285715e-4
ETS1	-7.692307692307687e-4
JAK-STAT	-7.692307692307699e-4
ZBTB16	-7.692307692307699e-4
DLX4	-7.692307692307699e-4
EPAS1	-7.692307692307699e-4
SON	-7.8125e-4
TCF7L2	-9.090909090909094e-4
ZIC1	-9.999999999999998e-4
HOXD13	-0.0010000000000000009
MYCN	-0.0011515151515151512
E2F3	-0.0012307692307692297
HOXB2	-0.001333333333333333
EGFR	-0.001428571428571429
FEV	-0.0015384615384615385
BCOR	-0.0016666666666666663
FOXO3	-0.0022272727272727266
RELA	-0.002371794871794871
HOXA2	-0.002447552447552447
