statistic	source	condition	score	p_value	p_value_BH
ulm	Androgen	b	0.608746050099086	0.5427004360699128	0.5844466234599061
ulm	EGFR	b	2.496944389623023	0.01253569626218419	0.01949997196339763
ulm	Estrogen	b	-7.494007082629487	6.988504915335467e-14	3.2613022938232183e-13
ulm	Hypoxia	b	5.685263898392195	1.3262852682103157e-8	3.7135987509888835e-8
ulm	JAK-STAT	b	0.8925812855291142	0.37209333946112433	0.4341088960379784
ulm	MAPK	b	-1.04629611926284	0.29543834191381135	0.3760124351630326
ulm	NFkB	b	10.726971963254622	9.15661864222533e-27	1.2819266099115463e-25
ulm	PI3K	b	2.535717452814611	0.011230082380285751	0.01949997196339763
ulm	TGFb	b	2.398921007416241	0.01645353702483933	0.02303495183477506
ulm	TNFa	b	9.629739788572632	6.759653404375114e-22	4.7317573830625795e-21
ulm	Trail	b	2.9348127684238894	0.0033416925251315397	0.00779728255864026
ulm	VEGF	b	-2.803292818029001	0.00506376628972292	0.01012753257944584
ulm	WNT	b	0.017661238460122804	0.9859092981773715	0.9859092981773715
ulm	p53	b	6.513389171652948	7.54123055065661e-11	2.6394306927298134e-10
