statistic	source	condition	score	p_value	p_value_BH
ulm	MYC	b	-0.20327673532668464	0.8389210289313497	0.9130939247819873
ulm	SPI1	b	9.897269481898249	4.896579875844067e-23	2.1144763192042388e-20
ulm	SMAD3	b	7.221849128692074	5.332597991069284e-13	3.172895804686224e-11
ulm	SMAD4	b	4.174187202573144	3.0045263047160857e-5	3.5167734124053854e-4
ulm	STAT5A	b	5.504019807298476	3.762805905251552e-8	7.901892401028259e-7
ulm	STAT5B	b	1.6993948252728688	0.08926204052863179	0.20362011801100033
ulm	RELA	b	9.878112283274055	5.922902854913834e-23	2.1144763192042388e-20
ulm	WT1	b	0.9130258803256008	0.36124112028552824	0.5369834181668734
ulm	NR0B2	b	3.038914571167552	0.0023777168362653926	0.01248301339039331
ulm	SP1	b	6.3655913899253855	1.9922582663230705e-10	6.77367810549844e-9
ulm	TP53	b	7.626656186833087	2.528524481561739e-14	1.805366479835082e-12
ulm	ZBTB16	b	2.395626750994027	0.01660209417476379	0.06173903771240285
ulm	ETV6	b	0.0754751424365075	0.93983751068928	0.9572667369930755
ulm	RUNX1	b	7.710084373830606	1.3224050265290358e-14	1.049107987713035e-12
ulm	STAT1	b	6.377355324350821	1.8454489010829057e-10	6.588252576865974e-9
ulm	STAT3	b	6.44727791184208	1.1676242095796934e-10	4.3878088717889535e-9
ulm	ETV4	b	4.620085292024522	3.862319235702967e-6	5.6861903482745876e-5
ulm	MTF1	b	1.3533782876903713	0.17595175165995366	0.3323533086910236
ulm	CREB1	b	8.149828042752313	3.8804460644826816e-16	3.4632981125507934e-14
ulm	FOXA2	b	0.9917917773435724	0.321312399364625	0.49765087450399625
ulm	NFATC2	b	5.4128639747471095	6.281558788141368e-8	1.281437992780839e-6
ulm	CEBPB	b	8.642632898119798	5.94529562506082e-18	8.489882152586852e-16
ulm	FOS	b	5.170825832750132	2.3554934131385457e-7	4.3035085592851416e-6
ulm	PLAG1	b	2.1496478456498362	0.03159632422654864	0.09322221280064352
ulm	E2F1	b	-3.374946147020513	7.398555368027461e-4	0.005079392819972699
ulm	E2F3	b	-1.9890949205203696	0.04670579064309266	0.12826128661218522
ulm	HBP1	b	2.0319039163380874	0.04217799335931746	0.11856333566359317
ulm	YY1	b	0.13778116896173145	0.8904149036608113	0.931100312744725
ulm	ESR1	b	0.4141356348061684	0.6787796957339907	0.8073698817854265
ulm	JUN	b	9.653419443224415	5.373279746328574e-22	1.2788405796262005e-19
ulm	NR1I3	b	-1.4407525674765886	0.14967193710397717	0.29952892288381244
ulm	CEBPG	b	6.6144116169450475	3.834931626659978e-11	1.7113382383970154e-9
ulm	MAFK	b	1.6756090781139235	0.09383210307226865	0.21087837687560962
ulm	NFE2L3	b	1.6217457999943612	0.1048752468103964	0.2283809332697539
ulm	PHOX2A	b	0.8481084438069626	0.3963888214183052	0.5694765030426954
ulm	STAT4	b	3.2411938495330794	0.0011924591880669631	0.007339791898963894
ulm	IRF1	b	6.191267999399277	6.097083947381306e-10	1.97878088110466e-8
ulm	ATF2	b	4.368272278265517	1.2593104504112227e-5	1.7291301184492556e-4
ulm	NR2C2	b	2.154832205592463	0.031188147291811023	0.09278473819313779
ulm	IRF3	b	2.890158004356689	0.0038550680846592225	0.018724616411201937
ulm	TFAP2A	b	5.87061034206827	4.417997649788839e-9	1.1683149340552708e-7
ulm	HNF1A	b	1.5269380492717666	0.1267939319229181	0.2632546748198761
ulm	ETS1	b	6.619583025369115	3.70346078421943e-11	1.7113382383970154e-9
ulm	ARNT	b	1.7914025331609427	0.07324546324569868	0.1797156727059411
ulm	AHR	b	2.37731733004546	0.01744943098954598	0.06324311536312603
ulm	PAX6	b	3.9951264189114895	6.491615003183381e-5	6.917930018317812e-4
ulm	NFYA	b	0.9482979669862751	0.34299047628557133	0.5210536171657403
ulm	ZNF148	b	1.6723044291241955	0.09448163154336048	0.21087837687560962
ulm	NFIC	b	2.270710684091992	0.023176222395242623	0.07590744399175796
ulm	RBPJ	b	4.6179463248736266	3.902287493913933e-6	5.6861903482745876e-5
ulm	HES1	b	1.1649971119433788	0.2440355518004106	0.4217697536018544
ulm	GATA4	b	1.0037629868227274	0.3155063194083918	0.4918591966322964
ulm	GATA6	b	0.7365427783893825	0.4614100124546404	0.6285144019785709
ulm	HNF4A	b	2.1981486972332323	0.027951155652276	0.08565289757821916
ulm	RXRG	b	-0.11691256305681462	0.9069306427808788	0.9398381407047133
ulm	RARA	b	2.5215225139768074	0.011693352445798893	0.04612736821160447
ulm	DBP	b	5.280318132048828	1.3045302847415973e-7	2.451143745540791e-6
ulm	HLF	b	0.5540529324518535	0.5795494816673532	0.7323864246203367
ulm	PPARG	b	2.367055238913263	0.017940741168913314	0.06358790601074271
ulm	MAX	b	3.2611351959786714	0.0011117282360562388	0.007024548323399596
ulm	USF2	b	3.181479309276993	0.0014677291744228523	0.008445928788297656
ulm	IRF2	b	1.5267762059089838	0.12683418506727923	0.2632546748198761
ulm	SP3	b	4.306874267145981	1.6645159479943653e-5	2.2008599756814383e-4
ulm	AR	b	0.8575286269636161	0.39116418200474956	0.5676553974996658
ulm	CUX1	b	1.673061347922955	0.09433254190802821	0.21087837687560962
ulm	ATF1	b	4.34072476175672	1.4278584180587162e-5	1.923567755648912e-4
ulm	KAT7	b	1.6461809308969164	0.09974391702094244	0.21980603936096577
ulm	CREBZF	b	-0.08061342879368379	0.9357502797214107	0.9544652853158389
ulm	GLI3	b	0.98454406145423	0.3248612697975485	0.5020583260507567
ulm	NKX2-5	b	2.497195433854709	0.012526827720003821	0.04914370874770729
ulm	TGFB1I1	b	2.2741506721359586	0.022968609411380042	0.07557413419228272
ulm	RARB	b	0.8480878108683543	0.396400310941484	0.5694765030426954
ulm	RARG	b	0.5461776699364514	0.5849505619485648	0.7379058325640906
ulm	TEAD1	b	0.4072347761415067	0.6838403893659548	0.8097214560651604
ulm	PPARA	b	2.620534800501725	0.008786547602984128	0.03668768999140741
ulm	ESR2	b	0.8168653465131045	0.4140161600807005	0.5842046211415419
ulm	NR3C1	b	3.7423365491653198	1.8288193025823828e-4	0.0016322212275547768
ulm	PGR	b	2.366033548144402	0.017990312967132892	0.06358790601074271
ulm	NRG1	b	0.3856494506360881	0.6997608476100653	0.8204092696118006
ulm	TBP	b	3.427369411138743	6.108179908966588e-4	0.00450091687055453
ulm	REL	b	4.217785850745349	2.4791530187375814e-5	3.0519228541010915e-4
ulm	ISL1	b	-0.6487371990730557	0.516516505994616	0.6804294931368188
ulm	ZBTB14	b	-0.0554759525286167	0.9557599013083856	0.9638595614889651
ulm	MYB	b	3.3796801865202615	7.27237827780935e-4	0.005055891138105586
ulm	PITX1	b	2.266544519215464	0.023429842518510147	0.07597600038994584
