term	estimate	penalty
(Intercept)	-0.5441254642223193	0.01
Androgen	0	0.01
EGFR	0	0.01
Estrogen	1.168476206864472	0.01
Hypoxia	0	0.01
JAK-STAT	0	0.01
MAPK	0	0.01
NFkB	0	0.01
PI3K	0	0.01
TGFb	0	0.01
TNFa	0	0.01
Trail	0	0.01
VEGF	0	0.01
WNT	0.5570746896658667	0.01
p53	0	0.01
MYC	0	0.01
SPI1	0	0.01
SMAD3	0	0.01
SMAD4	0	0.01
STAT5A	0	0.01
RELA	0	0.01
NR0B2	0	0.01
SP1	0	0.01
TP53	0	0.01
ZBTB16	0	0.01
RUNX1	0	0.01
STAT1	0	0.01
STAT3	0	0.01
ETV4	0	0.01
CREB1	-0.7169798339970463	0.01
FOXA2	0	0.01
NFATC2	0	0.01
CEBPB	0	0.01
FOS	0	0.01
E2F1	0	0.01
E2F3	0	0.01
JUN	0	0.01
CEBPG	0	0.01
NFE2L3	0	0.01
STAT4	0	0.01
IRF1	0	0.01
ATF2	0	0.01
NR2C2	0	0.01
IRF3	0	0.01
TFAP2A	0	0.01
ETS1	0	0.01
AHR	0	0.01
PAX6	0	0.01
NFIC	0	0.01
RBPJ	0	0.01
GATA6	0	0.01
HNF4A	0	0.01
RARA	0	0.01
DBP	0	0.01
PPARG	0	0.01
USF2	0	0.01
IRF2	0	0.01
SP3	0	0.01
AR	0	0.01
ATF1	0	0.01
KAT7	0	0.01
NKX2-5	0	0.01
PPARA	0	0.01
ESR2	0	0.01
NR3C1	0	0.01
PGR	0	0.01
TBP	0	0.01
REL	0	0.01
MYB	0	0.01
EGR1	0	0.01
MYOD1	0	0.01
ETS2	0	0.01
MAZ	0.019584313902275174	0.01
HMGA1	0	0.01
NFKB1	0	0.01
USF1	0	0.01
ATF4	0	0.01
RUNX2	0	0.01
TFAP2B	0	0.01
IRF8	0	0.01
ETV5	0	0.01
DMTF1	-0.31501905435207644	0.01
FOXO3	0	0.01
CEBPD	0	0.01
FLI1	0	0.01
PAX5	0	0.01
CEBPA	0	0.01
STAT6	0	0.01
HIF1A	0	0.01
E2F4	0	0.01
SRF	0	0.01
ELF1	0	0.01
LHX2	0	0.01
VDR	0	0.01
HR	0	0.01
RELB	0	0.01
CEBPE	0	0.01
LEF1	0	0.01
ZNF143	0	0.01
HSF1	0	0.01
FOXE1	0	0.01
HNF1B	0	0.01
PAX3	0	0.01
MEF2A	-0.15222878606253692	0.01
ELF2	0	0.01
JUND	0	0.01
TP63	0	0.01
NFKBIB	0	0.01
FOXO1	0	0.01
PITX2	0	0.01
XBP1	0	0.01
SREBF1	0	0.01
TCF3	0	0.01
MYCN	0	0.01
PKNOX1	0	0.01
NR4A3	0	0.01
SSRP1	0	0.01
ZNF354C	0	0.01
HMGA2	0	0.01
POU2F2	0	0.01
ELF4	0	0.01
DLX4	0	0.01
MITF	0	0.01
NCOR1	1.179807210342922	0.01
FOSL1	0	0.01
JUNB	0	0.01
DNMT1	0	0.01
KLF5	0	0.01
NR3C2	0	0.01
MYRF	0	0.01
EBF1	0	0.01
IRF4	0	0.01
FOXA1	0	0.01
KLF1	0	0.01
LHX3	0	0.01
BCL6	0	0.01
TFCP2	0	0.01
REST	0	0.01
IRF9	0	0.01
TFAP2C	0	0.01
ELF3	0	0.01
ZEB1	0	0.01
EGR3	0	0.01
EWSR1	0	0.01
NAB2	0	0.01
MEF2C	0	0.01
EPAS1	0	0.01
SOX10	0	0.01
POU3F1	0	0.01
NKRF	0	0.01
HOPX	0.09842269505353968	0.01
ERG	0	0.01
FEV	0	0.01
PITX3	0	0.01
HOXB2	0	0.01
NFKB2	0	0.01
SMAD1	0	0.01
SPDEF	0	0.01
MAFB	0	0.01
KLF6	-0.003836317809950802	0.01
SNAI1	0	0.01
YBX3	0	0.01
TFDP1	0	0.01
GATA2	0	0.01
CLOCK	0	0.01
MAF	0	0.01
AIRE	0	0.01
ETV1	0	0.01
EGR2	0	0.01
CXXC1	-0.11689414378527661	0.01
TBX21	0	0.01
RFX5	0	0.01
RFXANK	0	0.01
RFXAP	0	0.01
DLX5	0	0.01
SPIB	0	0.01
SMAD2	0	0.01
HAND2	0	0.01
BMAL1	-0.3013128297292964	0.01
TBXT	0	0.01
CREB3	0	0.01
NFYB	0	0.01
IRF7	0	0.01
NFATC3	0	0.01
BMAL2	0	0.01
ZIC1	0	0.01
MEIS1	0	0.01
NR1D2	0	0.01
TWIST1	0	0.01
ATOH7	0	0.01
HEY1	0	0.01
ZBTB17	0	0.01
IRF5	0	0.01
FOSB	0	0.01
SOX18	0	0.01
BARX1	0	0.01
IKZF1	0	0.01
BCL3	0	0.01
NFATC1	0	0.01
DLX2	0	0.01
SOX6	-0.73865345374232	0.01
FOXA3	0	0.01
PPARD	0	0.01
ZBTB7B	0	0.01
STAT2	0	0.01
ATOH1	0	0.01
NEUROG2	0	0.01
TWIST2	0	0.01
KAT6B	0	0.01
E2F2	0	0.01
PLAGL1	0	0.01
SNAI2	0	0.01
ZNF384	0	0.01
KLF15	0	0.01
OLIG2	0	0.01
HOXD13	0	0.01
EHF	0	0.01
TCF7L2	0	0.01
SOX5	0	0.01
NKX3-2	0.4248503994928434	0.01
ZEB2	0	0.01
RXRB	0	0.01
GLI1	0	0.01
PRDM16	0	0.01
BHLHA15	0	0.01
HOXB9	0	0.01
NKX2-2	0	0.01
EP300	0	0.01
CTNNB1	0	0.01
KLF7	0	0.01
LMO2	0	0.01
FOXC1	0	0.01
NFKBIZ	0	0.01
HOXA2	-0.04824479243381287	0.01
TBX10	0	0.01
SP7	0	0.01
SCX	0	0.01
SALL1	0	0.01
FOXF1	0	0.01
KMT2B	0	0.01
NFIB	0	0.01
MEIS2	0	0.01
DLX1	0.9260063006508528	0.01
HES6	0	0.01
AIP	0	0.01
MED1	0	0.01
SON	0	0.01
KDM5B	0	0.01
FEZF1	0	0.01
FOXJ1	0.8728890926549617	0.01
GRHL2	0	0.01
NHLH2	0	0.01
ZBTB18	0	0.01
HCFC1	0.10683403202453712	0.01
ETV7	0	0.01
HDAC5	0	0.01
MYOCD	0	0.01
POU2AF1	0	0.01
BCOR	0	0.01
ZMYND8	0	0.01
ARID4B	0	0.01
AP1	0	0.01
NFKB	0	0.01
