table	signature	gene
S3_cell_types	Basal	KRT14
S3_cell_types	Basal	KRT17
S3_cell_types	Basal	DST
S3_cell_types	Basal	KRT5
S3_cell_types	Basal	SAA1
S3_cell_types	Basal	ACTA2
S3_cell_types	Basal	SFN
S3_cell_types	Basal	MYLK
S3_cell_types	Basal	TAGLN
S3_cell_types	Basal	ACTG2
S3_cell_types	Basal	MT1X
S3_cell_types	Basal	TPM2
S3_cell_types	Basal	C2orf40
S3_cell_types	Basal	CNN1
S3_cell_types	Basal	FBXO32
S3_cell_types	Basal	OXTR
S3_cell_types	Basal	TPM1
S3_cell_types	Basal	CRYAB
S3_cell_types	Basal	MT2A
S3_cell_types	Basal	MT1E
S3_cell_types	Bcell	IGKC
S3_cell_types	Bcell	IGLC2
S3_cell_types	Bcell	IGHA1
S3_cell_types	Bcell	IGLC3
S3_cell_types	Bcell	JCHAIN
S3_cell_types	Bcell	IGHA2
S3_cell_types	Bcell	IGHG1
S3_cell_types	Bcell	IGHM
S3_cell_types	Bcell	IGHG3
S3_cell_types	Bcell	IGLL5
S3_cell_types	Bcell	IGHG2
S3_cell_types	Bcell	IGHG4
S3_cell_types	Bcell	MZB1
S3_cell_types	Bcell	IGHD
S3_cell_types	Bcell	SSR4
S3_cell_types	Bcell	CD79A
S3_cell_types	Bcell	CD37
S3_cell_types	Bcell	DERL3
S3_cell_types	Bcell	HLA-DRA
S3_cell_types	Bcell	HERPUD1
S3_cell_types	Fibroblast	DCN
S3_cell_types	Fibroblast	APOD
S3_cell_types	Fibroblast	CFD
S3_cell_types	Fibroblast	TNFAIP6
S3_cell_types	Fibroblast	LUM
S3_cell_types	Fibroblast	COL1A2
S3_cell_types	Fibroblast	COL1A1
S3_cell_types	Fibroblast	COL3A1
S3_cell_types	Fibroblast	MMP3
S3_cell_types	Fibroblast	GSN
S3_cell_types	Fibroblast	FBLN1
S3_cell_types	Fibroblast	CCDC80
S3_cell_types	Fibroblast	MEG3
S3_cell_types	Fibroblast	SFRP2
S3_cell_types	Fibroblast	COL6A2
S3_cell_types	Fibroblast	IGFBP6
S3_cell_types	Fibroblast	IGF1
S3_cell_types	Fibroblast	C1S
S3_cell_types	Fibroblast	COL6A3
S3_cell_types	Fibroblast	C1R
S3_cell_types	LumHR	AREG
S3_cell_types	LumHR	MUCL1
S3_cell_types	LumHR	AZGP1
S3_cell_types	LumHR	PIP
S3_cell_types	LumHR	KRT18
S3_cell_types	LumHR	AGR2
S3_cell_types	LumHR	ANKRD30A
S3_cell_types	LumHR	TFF1
S3_cell_types	LumHR	S100A14
S3_cell_types	LumHR	KRT19
S3_cell_types	LumHR	KRT8
S3_cell_types	LumHR	TCIM
S3_cell_types	LumHR	AGR3
S3_cell_types	LumHR	CD24
S3_cell_types	LumHR	STC2
S3_cell_types	LumHR	SYTL2
S3_cell_types	LumHR	TFF3
S3_cell_types	LumHR	SPINT2
S3_cell_types	LumHR	MGP
S3_cell_types	LumHR	PTHLH
S3_cell_types	LumSec	SCGB2A2
S3_cell_types	LumSec	SLPI
S3_cell_types	LumSec	WFDC2
S3_cell_types	LumSec	LTF
S3_cell_types	LumSec	KRT15
S3_cell_types	LumSec	MMP7
S3_cell_types	LumSec	SCGB3A1
S3_cell_types	LumSec	PI3
S3_cell_types	LumSec	FDCSP
S3_cell_types	LumSec	KRT23
S3_cell_types	LumSec	CLDN4
S3_cell_types	LumSec	S100A9
S3_cell_types	LumSec	KRT7
S3_cell_types	LumSec	CCL28
S3_cell_types	LumSec	TACSTD2
S3_cell_types	LumSec	KRT19
S3_cell_types	LumSec	ALDH1A3
S3_cell_types	LumSec	PIGR
S3_cell_types	LumSec	CD24
S3_cell_types	LumSec	CLDN3
S3_cell_types	Lymphatic	CCL21
S3_cell_types	Lymphatic	TFF3
S3_cell_types	Lymphatic	MMRN1
S3_cell_types	Lymphatic	CAVIN2
S3_cell_types	Lymphatic	CLDN5
S3_cell_types	Lymphatic	LYVE1
S3_cell_types	Lymphatic	TFPI
S3_cell_types	Lymphatic	PPFIBP1
S3_cell_types	Lymphatic	GNG11
S3_cell_types	Lymphatic	ECSCR
S3_cell_types	Lymphatic	ANGPT2
S3_cell_types	Lymphatic	PROX1
S3_cell_types	Lymphatic	CD9
S3_cell_types	Lymphatic	FABP4
S3_cell_types	Lymphatic	FABP5
S3_cell_types	Lymphatic	AKAP12
S3_cell_types	Lymphatic	RAMP2
S3_cell_types	Lymphatic	CAV1
S3_cell_types	Lymphatic	EFEMP1
S3_cell_types	Lymphatic	S100A10
S3_cell_types	Myeloid	HLA-DRA
S3_cell_types	Myeloid	IL1B
S3_cell_types	Myeloid	HLA-DPA1
S3_cell_types	Myeloid	HLA-DPB1
S3_cell_types	Myeloid	HLA-DRB1
S3_cell_types	Myeloid	CD74
S3_cell_types	Myeloid	CCL3
S3_cell_types	Myeloid	HLA-DQA1
S3_cell_types	Myeloid	C1QB
S3_cell_types	Myeloid	C1QA
S3_cell_types	Myeloid	RNASE1
S3_cell_types	Myeloid	FCER1G
S3_cell_types	Myeloid	TYROBP
S3_cell_types	Myeloid	LYZ
S3_cell_types	Myeloid	CCL4
S3_cell_types	Myeloid	HLA-DQB1
S3_cell_types	Myeloid	GPR183
S3_cell_types	Myeloid	CTSB
S3_cell_types	Myeloid	CD163
S3_cell_types	Myeloid	C1QC
S3_cell_types	Perivascular	RGS5
S3_cell_types	Perivascular	C11orf96
S3_cell_types	Perivascular	MT1A
S3_cell_types	Perivascular	IGFBP5
S3_cell_types	Perivascular	STEAP4
S3_cell_types	Perivascular	MYL9
S3_cell_types	Perivascular	IGFBP7
S3_cell_types	Perivascular	ADIRF
S3_cell_types	Perivascular	ADAMTS4
S3_cell_types	Perivascular	TAGLN
S3_cell_types	Perivascular	PDK4
S3_cell_types	Perivascular	NDUFA4L2
S3_cell_types	Perivascular	GADD45B
S3_cell_types	Perivascular	RGS16
S3_cell_types	Perivascular	ADAMTS1
S3_cell_types	Perivascular	MYH11
S3_cell_types	Perivascular	NR2F2
S3_cell_types	Perivascular	CCL2
S3_cell_types	Perivascular	NOTCH3
S3_cell_types	Perivascular	MCAM
S3_cell_types	Tcell	IL7R
S3_cell_types	Tcell	CCL5
S3_cell_types	Tcell	PTPRC
S3_cell_types	Tcell	CXCR4
S3_cell_types	Tcell	GNLY
S3_cell_types	Tcell	CD2
S3_cell_types	Tcell	SRGN
S3_cell_types	Tcell	NKG7
S3_cell_types	Tcell	KLRB1
S3_cell_types	Tcell	ARHGDIB
S3_cell_types	Tcell	CD3D
S3_cell_types	Tcell	CREM
S3_cell_types	Tcell	TRBC2
S3_cell_types	Tcell	LEPROTL1
S3_cell_types	Tcell	CD7
S3_cell_types	Tcell	SARAF
S3_cell_types	Tcell	CD52
S3_cell_types	Tcell	SYTL3
S3_cell_types	Tcell	CNOT6L
S3_cell_types	Tcell	CST7
S3_cell_types	Vascular	SELE
S3_cell_types	Vascular	ACKR1
S3_cell_types	Vascular	FABP4
S3_cell_types	Vascular	STC1
S3_cell_types	Vascular	CLDN5
S3_cell_types	Vascular	ANGPT2
S3_cell_types	Vascular	CSF3
S3_cell_types	Vascular	IFI27
S3_cell_types	Vascular	ADGRL4
S3_cell_types	Vascular	ADAMTS9
S3_cell_types	Vascular	AQP1
S3_cell_types	Vascular	C2CD4B
S3_cell_types	Vascular	GNG11
S3_cell_types	Vascular	TM4SF1
S3_cell_types	Vascular	SPARCL1
S3_cell_types	Vascular	CD93
S3_cell_types	Vascular	VWF
S3_cell_types	Vascular	RBP7
S3_cell_types	Vascular	PECAM1
S3_cell_types	Vascular	SPRY1
S4_cell_type_nuclei	Adipocytes	PDE3B
S4_cell_type_nuclei	Adipocytes	ACACB
S4_cell_type_nuclei	Adipocytes	WDPCP
S4_cell_type_nuclei	Adipocytes	PCDH9
S4_cell_type_nuclei	Adipocytes	CLSTN2
S4_cell_type_nuclei	Adipocytes	ADIPOQ
S4_cell_type_nuclei	Adipocytes	TRHDE
S4_cell_type_nuclei	Adipocytes	SOX5
S4_cell_type_nuclei	Adipocytes	GPAM
S4_cell_type_nuclei	Adipocytes	AQP7
S4_cell_type_nuclei	Adipocytes	KCNIP2-AS1
S4_cell_type_nuclei	Adipocytes	LINC02237
S4_cell_type_nuclei	Adipocytes	CPM
S4_cell_type_nuclei	Adipocytes	PLIN1
S4_cell_type_nuclei	Adipocytes	SLC19A3
S4_cell_type_nuclei	Adipocytes	CAV2
S4_cell_type_nuclei	Adipocytes	GHR
S4_cell_type_nuclei	Adipocytes	DIRC3
S4_cell_type_nuclei	Adipocytes	LINC02456
S4_cell_type_nuclei	Adipocytes	MARC1
S4_cell_type_nuclei	Basal	AC044810.3
S4_cell_type_nuclei	Basal	CARMN
S4_cell_type_nuclei	Basal	LINC01060
S4_cell_type_nuclei	Basal	ACTA2
S4_cell_type_nuclei	Basal	KLHL29
S4_cell_type_nuclei	Basal	DST
S4_cell_type_nuclei	Basal	IL1RAPL2
S4_cell_type_nuclei	Basal	NRG1
S4_cell_type_nuclei	Basal	SEMA3C
S4_cell_type_nuclei	Basal	PTPRT
S4_cell_type_nuclei	Basal	SAMD5
S4_cell_type_nuclei	Basal	FBXO32
S4_cell_type_nuclei	Basal	TP63
S4_cell_type_nuclei	Basal	GRIA4
S4_cell_type_nuclei	Basal	MYLK
S4_cell_type_nuclei	Basal	RBBP8
S4_cell_type_nuclei	Basal	FHOD3
S4_cell_type_nuclei	Basal	TMEFF2
S4_cell_type_nuclei	Basal	KLHL13
S4_cell_type_nuclei	Basal	CACNA1C
S4_cell_type_nuclei	Fibroblast	LAMA2
S4_cell_type_nuclei	Fibroblast	DCLK1
S4_cell_type_nuclei	Fibroblast	NEGR1
S4_cell_type_nuclei	Fibroblast	LINC02511
S4_cell_type_nuclei	Fibroblast	ANK2
S4_cell_type_nuclei	Fibroblast	KAZN
S4_cell_type_nuclei	Fibroblast	SLIT2
S4_cell_type_nuclei	Fibroblast	COL6A3
S4_cell_type_nuclei	Fibroblast	BICC1
S4_cell_type_nuclei	Fibroblast	NOVA1
S4_cell_type_nuclei	Fibroblast	COL5A2
S4_cell_type_nuclei	Fibroblast	DLC1
S4_cell_type_nuclei	Fibroblast	HPSE2
S4_cell_type_nuclei	Fibroblast	ABCA9
S4_cell_type_nuclei	Fibroblast	ABCA9-AS1
S4_cell_type_nuclei	Fibroblast	DCN
S4_cell_type_nuclei	Fibroblast	SLIT3
S4_cell_type_nuclei	Fibroblast	ABCA10
S4_cell_type_nuclei	Fibroblast	ABCA6
S4_cell_type_nuclei	Fibroblast	ROBO2
S4_cell_type_nuclei	LumHR	ANKRD30A
S4_cell_type_nuclei	LumHR	AFF3
S4_cell_type_nuclei	LumHR	ERBB4
S4_cell_type_nuclei	LumHR	TTC6
S4_cell_type_nuclei	LumHR	MYBPC1
S4_cell_type_nuclei	LumHR	NEK10
S4_cell_type_nuclei	LumHR	THSD4
S4_cell_type_nuclei	LumHR	ESR1
S4_cell_type_nuclei	LumHR	INPP4B
S4_cell_type_nuclei	LumHR	PRLR
S4_cell_type_nuclei	LumHR	LINC01194
S4_cell_type_nuclei	LumHR	XBP1
S4_cell_type_nuclei	LumHR	AC093001.1
S4_cell_type_nuclei	LumHR	SERHL2
S4_cell_type_nuclei	LumHR	DIO2
S4_cell_type_nuclei	LumHR	ALCAM
S4_cell_type_nuclei	LumHR	PI15
S4_cell_type_nuclei	LumHR	ST8SIA6
S4_cell_type_nuclei	LumHR	CADPS2
S4_cell_type_nuclei	LumHR	EFHD1
S4_cell_type_nuclei	LumSec	AC011247.1
S4_cell_type_nuclei	LumSec	COBL
