gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ER_target_lenient	ER_target_stringent	ER_early	ER_late	ER_target_ChIP
TSPAN6	1481.871246	-0.012572145	0.054797439	-0.229429434	0.818535161	0.896984325	no	no	FALSE	FALSE	FALSE
DPM1	2488.140708	0.044662631	0.04888618	0.913604437	0.360924734	0.53276158	no	no	FALSE	FALSE	FALSE
SCYL3	493.6325672	0.005883919	0.081524639	0.072173501	0.942463833	0.968681921	no	no	FALSE	FALSE	FALSE
C1orf112	349.2050104	0.081758626	0.0968528	0.844153451	0.399	0.568	no	no	FALSE	FALSE	FALSE
FUCA2	2311.108448	0.201817929	0.047483841	4.250244394	2.14e-5	1.37e-4	up	no	FALSE	FALSE	FALSE
GCLC	1923.868325	0.08609256	0.045934069	1.87426377	0.060894078	0.140829921	no	no	FALSE	FALSE	FALSE
NFYA	2264.241351	0.018144325	0.044298556	0.409591795	0.682105417	0.804541177	no	no	FALSE	FALSE	FALSE
STPG1	93.68260862	-0.21440603	0.143356292	-1.495616465	0.13475363	0.261501254	no	no	FALSE	FALSE	TRUE
NIPAL3	260.5675361	0.165041124	0.10563602	1.562356513	0.118	0.237	no	no	FALSE	FALSE	TRUE
LAS1L	1817.147824	0.29644147	0.053468925	5.544182302	2.95331e-8	3.12148e-7	up	no	FALSE	FALSE	FALSE
ENPP4	258.9713295	0.032789113	0.111991594	0.292781913	0.769688854	0.865223862	no	no	FALSE	FALSE	FALSE
SEMA3F	1169.218763	0.017296895	0.065040838	0.265938988	0.79	0.879	no	no	FALSE	FALSE	TRUE
ANKIB1	4916.079285	-0.049504888	0.036992352	-1.338246578	0.18081607	0.325487216	no	no	FALSE	FALSE	FALSE
CYP51A1	470.2625933	-0.05286884	0.091853093	-0.575580399	0.564898833	0.715458116	no	no	FALSE	FALSE	FALSE
KRIT1	871.9300871	0.07428035	0.065213056	1.139041083	0.255	0.416	no	no	FALSE	FALSE	FALSE
RAD52	179.0322484	0.164189471	0.12827671	1.279963224	0.20055807	0.350736426	no	no	FALSE	FALSE	TRUE
BAD	860.3709855	-0.22196485	0.073656998	-3.013493027	0.00258259	0.009915947	down	no	FALSE	FALSE	TRUE
LAP3	3216.099253	0.16992009	0.042879626	3.962723192	7.40997e-5	4.25214e-4	up	no	FALSE	FALSE	FALSE
MAD1L1	1080.046513	-0.040986689	0.064571941	-0.63474458	0.525595013	0.682746004	no	no	FALSE	FALSE	TRUE
LASP1	10410.77105	-0.281902236	0.025910827	-10.87970801	1.44e-27	7.14e-26	down	no	FALSE	FALSE	FALSE
SNX11	1370.121442	-0.145185531	0.054837929	-2.647538576	0.008108011	0.026475631	no	no	FALSE	FALSE	FALSE
M6PR	3684.866566	0.10390716	0.042902923	2.421913341	0.0154	0.0458119	no	no	FALSE	FALSE	FALSE
CYP26B1	600.7886478	1.703445938	0.079659872	21.38399027	1.88e-101	7.66e-99	up	up	TRUE	TRUE	FALSE
ICA1	1020.328733	0.035724381	0.063077124	0.566360336	0.571	0.72	no	no	FALSE	FALSE	FALSE
DBNDD1	7473.295098	-0.060548728	0.032343251	-1.872066861	0.0612	0.141	no	no	FALSE	FALSE	FALSE
ALS2	1272.181938	-0.206682313	0.056015167	-3.689756294	2.24e-4	0.00115	down	no	FALSE	FALSE	FALSE
CFLAR	1602.185048	-0.198307176	0.052244189	-3.7957748	1.47183e-4	7.91033e-4	down	no	FALSE	FALSE	FALSE
TFPI	831.2117695	-0.486189768	0.077692422	-6.257878898	3.9e-10	5.3e-9	down	no	FALSE	FALSE	FALSE
NDUFAF7	411.5308147	0.166782048	0.091553412	1.821691247	0.068501847	0.154337837	no	no	FALSE	FALSE	FALSE
RBM5	2449.355572	-0.079599418	0.047446167	-1.677678579	0.0934	0.197262896	no	no	FALSE	FALSE	FALSE
MTMR7	105.9234632	-0.04901278	0.13971001	-0.350817957	0.726	0.836	no	no	FALSE	FALSE	FALSE
SLC7A2	6541.208114	0.077452782	0.029652803	2.61198857	0.009	0.029	no	no	TRUE	FALSE	FALSE
ARF5	5176.835566	-0.096397547	0.031888005	-3.023003416	0.0025	0.009645988	no	no	FALSE	FALSE	FALSE
SARM1	980.5778786	0.163297579	0.068262295	2.392207555	0.0167	0.049	up	no	FALSE	FALSE	FALSE
POLDIP2	4508.704203	0.085433602	0.034694491	2.462454414	0.013798971	0.041710394	no	no	FALSE	FALSE	FALSE
