primerid	lrstat	p.value	FDR	AUC	expressingFracPos	expressingFracNeg
CCDC144B	14.5840737837457	0.000680939638795691	0.409674719030257	0.757142857142857	0.667	0.143
PHF6	11.8404323741731	0.00268461973409509	0.432091256350083	0.666666666666667	0.733	0.286
TBC1D24	11.776851055169	0.00277133665681615	0.432091256350083	0.695238095238095	0.8	0.286
ANK1	7.07751524203243	0.0290493950304048	0.524164603619136	0.776190476190476	0.733	0.357
CMAS	8.80123804933787	0.0122697422786006	0.524164603619136	0.7	1	0.786
CR1	8.61834233085023	0.0134446884000885	0.524164603619136	0.761904761904762	0.733	0.214
DEK	9.10455253452121	0.0105431779581349	0.524164603619136	0.642857142857143	1	0.643
DENND4A	9.31447066800675	0.0094926702196592	0.524164603619136	0.69047619047619	1	0.643
FAM107B	8.04419861102338	0.0179153157136948	0.524164603619136	0.676190476190476	0.733	0.286
FAM212A	7.56634081290016	0.0227504487967502	0.524164603619136	0.7	0.733	0.286
LYST	9.01094614796761	0.0110483622576105	0.524164603619136	0.65	0.8	0.357
MBP	7.36914667343444	0.0251078850510594	0.524164603619136	0.719047619047619	1	0.786
NLRP12	6.83125539847925	0.0328557766814266	0.524164603619136	0.704761904761905	0.6	0.143
PDGFC	9.24143755487276	0.00984571663826273	0.524164603619136	0.771428571428571	0.667	0.143
PTPN12	7.09993444431836	0.0287255812013364	0.524164603619136	0.652380952380952	1	0.786
SGOL1	7.53470052107136	0.0231132262462188	0.524164603619136	0.771428571428572	0.6	0.143
SMC4	7.03317038288076	0.0297006843473574	0.524164603619136	0.619047619047619	1	0.714
UIMC1	7.11965713048464	0.0284437005351387	0.524164603619136	0.75	0.8	0.357
C7orf41	6.66868802863223	0.0356379565345246	0.529745983912333	0.685714285714286	1	0.714
NINJ2	6.69441877344925	0.0351823977024184	0.529745983912333	0.671428571428571	0.667	0.286
MOB1B	6.59416334333337	0.0369909618069198	0.530430504425775	0.74047619047619	0.667	0.214
SLC26A2	6.45115765798632	0.0397327764358628	0.530430504425775	0.707142857142857	0.667	0.214
DGKA	6.28278358386601	0.0432225991547909	0.532196969972896	0.621428571428571	0.533	0.214
FOS	6.33098794013441	0.0421932944410506	0.532196969972896	0.716666666666667	0.667	0.214
FLI1	6.18199134800373	0.0454566718386646	0.532456617969659	0.680952380952381	0.867	0.5
PPM1A	6.10068541136947	0.0473426969992976	0.532456617969659	0.614285714285714	0.933	1
PCMTD1	6.01926380744291	0.0493098261837717	0.534539838096105	0.695238095238095	0.733	0.286
