gs_name	gene	species
hangauer-2017_DTP-up	42617	human
hangauer-2017_DTP-up	42705	human
hangauer-2017_DTP-up	A1BG	human
hangauer-2017_DTP-up	A1CF	human
hangauer-2017_DTP-up	A4GALT	human
hangauer-2017_DTP-up	AARD	human
hangauer-2017_DTP-up	AASS	human
hangauer-2017_DTP-up	ABCA1	human
hangauer-2017_DTP-up	ABCA13	human
hangauer-2017_DTP-up	ABCA4	human
hangauer-2017_DTP-up	ABCA5	human
hangauer-2017_DTP-up	ABCA6	human
hangauer-2017_DTP-up	ABCA9	human
hangauer-2017_DTP-up	ABCC5	human
hangauer-2017_DTP-up	ABHD4	human
hangauer-2017_DTP-up	ABI3	human
hangauer-2017_DTP-up	ABI3BP	human
hangauer-2017_DTP-up	ABTB1	human
hangauer-2017_DTP-up	ACAD11	human
hangauer-2017_DTP-up	ACADL	human
hangauer-2017_DTP-up	ACADSB	human
hangauer-2017_DTP-up	ACAP1	human
hangauer-2017_DTP-up	ACBD4	human
hangauer-2017_DTP-up	ACCS	human
hangauer-2017_DTP-up	ACHE	human
hangauer-2017_DTP-up	ACKR3	human
hangauer-2017_DTP-up	ACP7	human
hangauer-2017_DTP-up	ACRBP	human
hangauer-2017_DTP-up	ACRC	human
hangauer-2017_DTP-up	ACSL4	human
hangauer-2017_DTP-up	ACSM5	human
hangauer-2017_DTP-up	ACTBL2	human
hangauer-2017_DTP-up	ACTG2	human
hangauer-2017_DTP-up	ACTN3	human
hangauer-2017_DTP-up	ACVR2B	human
hangauer-2017_DTP-up	ACVRL1	human
hangauer-2017_DTP-up	ADAD2	human
hangauer-2017_DTP-up	ADAM12	human
hangauer-2017_DTP-up	ADAM19	human
hangauer-2017_DTP-up	ADAM20	human
hangauer-2017_DTP-up	ADAM22	human
hangauer-2017_DTP-up	ADAM23	human
hangauer-2017_DTP-up	ADAM33	human
hangauer-2017_DTP-up	ADAMTS1	human
hangauer-2017_DTP-up	ADAMTS10	human
hangauer-2017_DTP-up	ADAMTS13	human
hangauer-2017_DTP-up	ADAMTS16	human
hangauer-2017_DTP-up	ADAMTS18	human
hangauer-2017_DTP-up	ADAMTS2	human
hangauer-2017_DTP-up	ADAMTS3	human
hangauer-2017_DTP-up	ADAMTS6	human
hangauer-2017_DTP-up	ADAMTS8	human
hangauer-2017_DTP-up	ADAMTSL1	human
hangauer-2017_DTP-up	ADARB2	human
hangauer-2017_DTP-up	ADCY1	human
hangauer-2017_DTP-up	ADGRA2	human
hangauer-2017_DTP-up	ADGRB1	human
hangauer-2017_DTP-up	ADGRB3	human
hangauer-2017_DTP-up	ADGRD1	human
hangauer-2017_DTP-up	ADGRE2	human
hangauer-2017_DTP-up	ADGRL2	human
hangauer-2017_DTP-up	ADGRL3	human
hangauer-2017_DTP-up	ADH1C	human
hangauer-2017_DTP-up	ADH6	human
hangauer-2017_DTP-up	ADHFE1	human
hangauer-2017_DTP-up	ADM	human
hangauer-2017_DTP-up	ADM5	human
hangauer-2017_DTP-up	ADPRH	human
hangauer-2017_DTP-up	ADRA1D	human
hangauer-2017_DTP-up	ADRA2A	human
hangauer-2017_DTP-up	ADRB2	human
hangauer-2017_DTP-up	AFAP1L2	human
hangauer-2017_DTP-up	AGBL2	human
hangauer-2017_DTP-up	AGO4	human
hangauer-2017_DTP-up	AGPAT2	human
hangauer-2017_DTP-up	AGPAT4	human
hangauer-2017_DTP-up	AGRP	human
hangauer-2017_DTP-up	AGXT2	human
hangauer-2017_DTP-up	AHNAK2	human
hangauer-2017_DTP-up	AHSA2	human
hangauer-2017_DTP-up	AIFM3	human
hangauer-2017_DTP-up	AK7	human
hangauer-2017_DTP-up	AKAP12	human
hangauer-2017_DTP-up	AKAP6	human
hangauer-2017_DTP-up	AKNA	human
hangauer-2017_DTP-up	AKNAD1	human
hangauer-2017_DTP-up	AKR1C4	human
hangauer-2017_DTP-up	AKT3	human
hangauer-2017_DTP-up	ALB	human
hangauer-2017_DTP-up	ALDH1A1	human
hangauer-2017_DTP-up	ALDH1L2	human
hangauer-2017_DTP-up	ALDH3A1	human
hangauer-2017_DTP-up	ALDH3A2	human
hangauer-2017_DTP-up	ALDH8A1	human
hangauer-2017_DTP-up	ALDOB	human
hangauer-2017_DTP-up	ALK	human
hangauer-2017_DTP-up	ALOX12	human
hangauer-2017_DTP-up	ALOX5	human
hangauer-2017_DTP-up	ALOXE3	human
hangauer-2017_DTP-up	ALPK2	human
hangauer-2017_DTP-up	ALPP	human
hangauer-2017_DTP-up	ALPPL2	human
hangauer-2017_DTP-up	ALS2CL	human
hangauer-2017_DTP-up	ALS2CR11	human
hangauer-2017_DTP-up	ALS2CR12	human
hangauer-2017_DTP-up	ALX3	human
hangauer-2017_DTP-up	ALX4	human
hangauer-2017_DTP-up	AMDHD1	human
hangauer-2017_DTP-up	AMER2	human
hangauer-2017_DTP-up	AMH	human
hangauer-2017_DTP-up	AMIGO2	human
hangauer-2017_DTP-up	AMOTL1	human
hangauer-2017_DTP-up	AMT	human
hangauer-2017_DTP-up	AMY1A	human
hangauer-2017_DTP-up	AMY1A	human
hangauer-2017_DTP-up	AMY1A	human
hangauer-2017_DTP-up	AMY2A	human
hangauer-2017_DTP-up	ANKDD1A	human
hangauer-2017_DTP-up	ANKH	human
hangauer-2017_DTP-up	ANKK1	human
hangauer-2017_DTP-up	ANKLE1	human
hangauer-2017_DTP-up	ANKRD1	human
hangauer-2017_DTP-up	ANKRD13A	human
hangauer-2017_DTP-up	ANKRD2	human
hangauer-2017_DTP-up	ANKRD24	human
hangauer-2017_DTP-up	ANKRD29	human
hangauer-2017_DTP-up	ANKRD31	human
hangauer-2017_DTP-up	ANKRD33B	human
hangauer-2017_DTP-up	ANKRD36	human
hangauer-2017_DTP-up	ANKRD45	human
hangauer-2017_DTP-up	ANKRD53	human
hangauer-2017_DTP-up	ANKRD6	human
hangauer-2017_DTP-up	ANKZF1	human
hangauer-2017_DTP-up	ANO9	human
hangauer-2017_DTP-up	ANOS1	human
hangauer-2017_DTP-up	ANTXR1	human
hangauer-2017_DTP-up	ANXA2R	human
hangauer-2017_DTP-up	AP3B2	human
hangauer-2017_DTP-up	APBA1	human
hangauer-2017_DTP-up	APBB1	human
hangauer-2017_DTP-up	APBB2	human
hangauer-2017_DTP-up	APH1B	human
hangauer-2017_DTP-up	APOL4	human
hangauer-2017_DTP-up	APOL5	human
hangauer-2017_DTP-up	APOL6	human
hangauer-2017_DTP-up	AQP10	human
hangauer-2017_DTP-up	AQP7	human
hangauer-2017_DTP-up	AQP8	human
hangauer-2017_DTP-up	ARHGAP20	human
hangauer-2017_DTP-up	ARHGAP24	human
hangauer-2017_DTP-up	ARHGAP30	human
hangauer-2017_DTP-up	ARHGAP4	human
hangauer-2017_DTP-up	ARHGAP6	human
hangauer-2017_DTP-up	ARHGAP9	human
hangauer-2017_DTP-up	ARHGEF25	human
hangauer-2017_DTP-up	ARHGEF37	human
hangauer-2017_DTP-up	ARID3C	human
hangauer-2017_DTP-up	ARID5A	human
hangauer-2017_DTP-up	ARL14	human
hangauer-2017_DTP-up	ARL15	human
hangauer-2017_DTP-up	ARL5C	human
hangauer-2017_DTP-up	ARMC9	human
hangauer-2017_DTP-up	ARMCX1	human
hangauer-2017_DTP-up	ARMCX4	human
hangauer-2017_DTP-up	ARRDC3	human
hangauer-2017_DTP-up	ARRDC5	human
hangauer-2017_DTP-up	ARSA	human
hangauer-2017_DTP-up	ARSE	human
hangauer-2017_DTP-up	ASB5	human
hangauer-2017_DTP-up	ASCL3	human
hangauer-2017_DTP-up	ASPDH	human
hangauer-2017_DTP-up	ASPRV1	human
hangauer-2017_DTP-up	ASTL	human
hangauer-2017_DTP-up	ATG14	human
hangauer-2017_DTP-up	ATG2B	human
hangauer-2017_DTP-up	ATHL1	human
hangauer-2017_DTP-up	ATOH1	human
hangauer-2017_DTP-up	ATOH8	human
hangauer-2017_DTP-up	ATP10D	human
hangauer-2017_DTP-up	ATP11A	human
hangauer-2017_DTP-up	ATP13A4	human
hangauer-2017_DTP-up	ATP6AP1L	human
hangauer-2017_DTP-up	ATP8A1	human
hangauer-2017_DTP-up	ATP8B2	human
hangauer-2017_DTP-up	ATXN3	human
hangauer-2017_DTP-up	ATXN3L	human
hangauer-2017_DTP-up	AVIL	human
hangauer-2017_DTP-up	AVPR1B	human
hangauer-2017_DTP-up	AVPR2	human
hangauer-2017_DTP-up	AXDND1	human
hangauer-2017_DTP-up	AXL	human
hangauer-2017_DTP-up	AZIN2	human
hangauer-2017_DTP-up	B3GALT2	human
hangauer-2017_DTP-up	B3GNT7	human
hangauer-2017_DTP-up	B4GALNT3	human
hangauer-2017_DTP-up	BACH1	human
hangauer-2017_DTP-up	BACH2	human
hangauer-2017_DTP-up	BAIAP3	human
hangauer-2017_DTP-up	BARHL1	human
hangauer-2017_DTP-up	BARX2	human
hangauer-2017_DTP-up	BATF3	human
hangauer-2017_DTP-up	BAZ2B	human
hangauer-2017_DTP-up	BBC3	human
hangauer-2017_DTP-up	BBOX1	human
hangauer-2017_DTP-up	BBS1	human
hangauer-2017_DTP-up	BBS12	human
hangauer-2017_DTP-up	BCL2	human
hangauer-2017_DTP-up	BCL2L15	human
