gs_name	gene	species
moghal-2023_DTP-up_microarray	ABCA1	human
moghal-2023_DTP-up_microarray	ABCG1	human
moghal-2023_DTP-up_microarray	ABLIM1	human
moghal-2023_DTP-up_microarray	ACSL5	human
moghal-2023_DTP-up_microarray	ACTC1	human
moghal-2023_DTP-up_microarray	ACTR1A	human
moghal-2023_DTP-up_microarray	ACVR1	human
moghal-2023_DTP-up_microarray	ADAMTSL2	human
moghal-2023_DTP-up_microarray	ADD3	human
moghal-2023_DTP-up_microarray	AFAP1L2	human
moghal-2023_DTP-up_microarray	AFTPH	human
moghal-2023_DTP-up_microarray	AGA	human
moghal-2023_DTP-up_microarray	AHNAK	human
moghal-2023_DTP-up_microarray	AIF1	human
moghal-2023_DTP-up_microarray	AKAP12	human
moghal-2023_DTP-up_microarray	AKR1A1	human
moghal-2023_DTP-up_microarray	AKR1C2	human
moghal-2023_DTP-up_microarray	AKR1C3	human
moghal-2023_DTP-up_microarray	AKR1C4	human
moghal-2023_DTP-up_microarray	ALDH1A1	human
moghal-2023_DTP-up_microarray	ALDH1A3	human
moghal-2023_DTP-up_microarray	ALPP	human
moghal-2023_DTP-up_microarray	ANGPTL2	human
moghal-2023_DTP-up_microarray	ANXA1	human
moghal-2023_DTP-up_microarray	APOBEC3F	human
moghal-2023_DTP-up_microarray	APOE	human
moghal-2023_DTP-up_microarray	ARF5	human
moghal-2023_DTP-up_microarray	ASCL2	human
moghal-2023_DTP-up_microarray	ASS1	human
moghal-2023_DTP-up_microarray	ATF3	human
moghal-2023_DTP-up_microarray	ATP2A1	human
moghal-2023_DTP-up_microarray	ATP6V0A1	human
moghal-2023_DTP-up_microarray	ATP9A	human
moghal-2023_DTP-up_microarray	AXUD1	human
moghal-2023_DTP-up_microarray	B3GN.T6	human
moghal-2023_DTP-up_microarray	B4GALT4	human
moghal-2023_DTP-up_microarray	BAALC	human
moghal-2023_DTP-up_microarray	BASP1	human
moghal-2023_DTP-up_microarray	BAX	human
moghal-2023_DTP-up_microarray	BCAS1	human
moghal-2023_DTP-up_microarray	BCL2L1	human
moghal-2023_DTP-up_microarray	BMP2	human
moghal-2023_DTP-up_microarray	BOLA2	human
moghal-2023_DTP-up_microarray	BRPF1	human
moghal-2023_DTP-up_microarray	BTG1	human
moghal-2023_DTP-up_microarray	C12ORF29	human
moghal-2023_DTP-up_microarray	C12ORF44	human
moghal-2023_DTP-up_microarray	C14ORF4	human
moghal-2023_DTP-up_microarray	C15ORF48	human
moghal-2023_DTP-up_microarray	C19ORF33	human
moghal-2023_DTP-up_microarray	C19ORF60	human
moghal-2023_DTP-up_microarray	C1ORF106	human
moghal-2023_DTP-up_microarray	C1QA	human
moghal-2023_DTP-up_microarray	C4ORF19	human
moghal-2023_DTP-up_microarray	C4ORF34	human
moghal-2023_DTP-up_microarray	C6ORF125	human
moghal-2023_DTP-up_microarray	C8ORF13	human
moghal-2023_DTP-up_microarray	C9ORF41	human
moghal-2023_DTP-up_microarray	C9ORF7	human
moghal-2023_DTP-up_microarray	CALML5	human
moghal-2023_DTP-up_microarray	CAMK2N1	human
moghal-2023_DTP-up_microarray	CAMTA2	human
moghal-2023_DTP-up_microarray	CATSPER2	human
moghal-2023_DTP-up_microarray	CAV2	human
moghal-2023_DTP-up_microarray	CCL20	human
moghal-2023_DTP-up_microarray	CCND1	human
moghal-2023_DTP-up_microarray	CD24	human
moghal-2023_DTP-up_microarray	CD44	human
moghal-2023_DTP-up_microarray	CD55	human
moghal-2023_DTP-up_microarray	CD59	human
moghal-2023_DTP-up_microarray	CD69	human
moghal-2023_DTP-up_microarray	CD74	human
moghal-2023_DTP-up_microarray	CD82	human
moghal-2023_DTP-up_microarray	CDC34	human
moghal-2023_DTP-up_microarray	CDKN1A	human
moghal-2023_DTP-up_microarray	CDKN2B	human
moghal-2023_DTP-up_microarray	CEBPB	human
moghal-2023_DTP-up_microarray	CFB	human
moghal-2023_DTP-up_microarray	CFH	human
moghal-2023_DTP-up_microarray	CFLAR	human
moghal-2023_DTP-up_microarray	CFP	human
moghal-2023_DTP-up_microarray	CHIC2	human
moghal-2023_DTP-up_microarray	CHPF	human
moghal-2023_DTP-up_microarray	CHPT1	human
moghal-2023_DTP-up_microarray	CHRNA1	human
moghal-2023_DTP-up_microarray	CHST10	human
moghal-2023_DTP-up_microarray	CHST15	human
moghal-2023_DTP-up_microarray	CHURC1	human
moghal-2023_DTP-up_microarray	CIC	human
moghal-2023_DTP-up_microarray	CKAP4	human
moghal-2023_DTP-up_microarray	CKMT2	human
moghal-2023_DTP-up_microarray	CLCF1	human
moghal-2023_DTP-up_microarray	CLDN1	human
moghal-2023_DTP-up_microarray	CLDN7	human
moghal-2023_DTP-up_microarray	CLEC11A	human
moghal-2023_DTP-up_microarray	CLIC3	human
moghal-2023_DTP-up_microarray	CLIP3	human
moghal-2023_DTP-up_microarray	CLYBL	human
moghal-2023_DTP-up_microarray	CPZ	human
moghal-2023_DTP-up_microarray	CREB5	human
moghal-2023_DTP-up_microarray	CROT	human
moghal-2023_DTP-up_microarray	CRY2	human
moghal-2023_DTP-up_microarray	CRYAB	human
moghal-2023_DTP-up_microarray	CSK	human
moghal-2023_DTP-up_microarray	CST6	human
moghal-2023_DTP-up_microarray	CTSB	human
moghal-2023_DTP-up_microarray	CTSD	human
moghal-2023_DTP-up_microarray	CTSF	human
moghal-2023_DTP-up_microarray	CTSH	human
moghal-2023_DTP-up_microarray	CTSL2	human
moghal-2023_DTP-up_microarray	CTSO	human
moghal-2023_DTP-up_microarray	CTSZ	human
moghal-2023_DTP-up_microarray	CWC15	human
moghal-2023_DTP-up_microarray	CX3CL1	human
moghal-2023_DTP-up_microarray	CXCL16	human
moghal-2023_DTP-up_microarray	CXXC5	human
moghal-2023_DTP-up_microarray	CYCSP52	human
moghal-2023_DTP-up_microarray	CYP24A1	human
moghal-2023_DTP-up_microarray	CYR61	human
moghal-2023_DTP-up_microarray	DAAM1	human
moghal-2023_DTP-up_microarray	DACT3	human
moghal-2023_DTP-up_microarray	DAPL1	human
moghal-2023_DTP-up_microarray	DCUN1D5	human
moghal-2023_DTP-up_microarray	DDR1	human
moghal-2023_DTP-up_microarray	DDX17	human
moghal-2023_DTP-up_microarray	DEM1	human
moghal-2023_DTP-up_microarray	DHRS3	human
moghal-2023_DTP-up_microarray	DHRS7C	human
moghal-2023_DTP-up_microarray	DHRS9	human
moghal-2023_DTP-up_microarray	DKK1	human
moghal-2023_DTP-up_microarray	DNAJA1	human
moghal-2023_DTP-up_microarray	DNAJA2	human
moghal-2023_DTP-up_microarray	DNAJB2	human
moghal-2023_DTP-up_microarray	DNAJC22	human
moghal-2023_DTP-up_microarray	DNM3	human
moghal-2023_DTP-up_microarray	DRD1IP	human
moghal-2023_DTP-up_microarray	DTNBP1	human
moghal-2023_DTP-up_microarray	DUSP1	human
moghal-2023_DTP-up_microarray	DUSP14	human
moghal-2023_DTP-up_microarray	DUSP3	human
moghal-2023_DTP-up_microarray	DUSP5	human
moghal-2023_DTP-up_microarray	DUXAP3	human
moghal-2023_DTP-up_microarray	DYRK2	human
moghal-2023_DTP-up_microarray	ECGF1	human
moghal-2023_DTP-up_microarray	ECM1	human
moghal-2023_DTP-up_microarray	EDN1	human
