gs_name	gene	species
zhao-2020_DTP-up_GSE153183	A4GALT	human
zhao-2020_DTP-up_GSE153183	AAMDC	human
zhao-2020_DTP-up_GSE153183	AATK	human
zhao-2020_DTP-up_GSE153183	ABCA4	human
zhao-2020_DTP-up_GSE153183	ABCA5	human
zhao-2020_DTP-up_GSE153183	ABCC5	human
zhao-2020_DTP-up_GSE153183	ABCD1	human
zhao-2020_DTP-up_GSE153183	ABHD11-AS1	human
zhao-2020_DTP-up_GSE153183	ABHD16B	human
zhao-2020_DTP-up_GSE153183	ABHD4	human
zhao-2020_DTP-up_GSE153183	ABTB1	human
zhao-2020_DTP-up_GSE153183	ACCS	human
zhao-2020_DTP-up_GSE153183	ACE2	human
zhao-2020_DTP-up_GSE153183	ACER2	human
zhao-2020_DTP-up_GSE153183	ACHE	human
zhao-2020_DTP-up_GSE153183	ACKR3	human
zhao-2020_DTP-up_GSE153183	ACPP	human
zhao-2020_DTP-up_GSE153183	ACSS1	human
zhao-2020_DTP-up_GSE153183	ACYP2	human
zhao-2020_DTP-up_GSE153183	ADAMTSL4	human
zhao-2020_DTP-up_GSE153183	ADAMTSL5	human
zhao-2020_DTP-up_GSE153183	ADARB1	human
zhao-2020_DTP-up_GSE153183	ADCY9	human
zhao-2020_DTP-up_GSE153183	ADIRF	human
zhao-2020_DTP-up_GSE153183	ADPRH	human
zhao-2020_DTP-up_GSE153183	ADPRHL1	human
zhao-2020_DTP-up_GSE153183	ADRA2C	human
zhao-2020_DTP-up_GSE153183	AGFG2	human
zhao-2020_DTP-up_GSE153183	AGXT	human
zhao-2020_DTP-up_GSE153183	AHNAK2	human
zhao-2020_DTP-up_GSE153183	AHRR	human
zhao-2020_DTP-up_GSE153183	AKAP12	human
zhao-2020_DTP-up_GSE153183	ALCAM	human
zhao-2020_DTP-up_GSE153183	ALDH3A1	human
zhao-2020_DTP-up_GSE153183	ALDH3B1	human
zhao-2020_DTP-up_GSE153183	ALDH3B2	human
zhao-2020_DTP-up_GSE153183	ALDH4A1	human
