logFC	AveExpr	t	P.Value	adj.P.Val	B
FGFR3	-0.880608699507111	5.93050744591176	-5.29010596015266	4.6359304145563e-05	0.554596055147467	-1.83131229337263
CYP2B7P	-1.63316337088698	7.75001853551216	-5.05049213995778	7.8068138393506e-05	0.554596055147467	-1.96395215480292
ANKRD26	-0.845233657842671	5.67979685102348	-4.83196241323404	0.000126183258874649	0.59760391403034	-2.09069787561725
OTUB2	-0.732137021729162	5.10809298671793	-4.43476083320974	0.000304991510292485	0.715154935429468	-2.33513625626058
GTSE1	-0.460425709067143	6.19029268437632	-4.42564359228544	0.000311270859941579	0.715154935429468	-2.34095685589044
RARA	-0.708789877474299	5.27757405755242	-4.199785716182	0.000516358177152009	0.715154935429468	-2.48806183459961
TPBG	-0.508226373024006	9.67087903817545	-4.19913464818181	0.000517113666510172	0.715154935429468	-2.48849384488661
NPL	1.1345345079431	5.53102864659857	4.17570294868545	0.000545056989235837	0.715154935429468	-2.5040715592542
PDZK1	-1.51050580122312	5.94624295575636	-4.07607430647298	0.000681865476659396	0.715154935429468	-2.57094600638542
TTF2	-0.545969420594762	6.61125322448678	-4.05968341879747	0.000707471883489918	0.715154935429468	-2.58204596287307
RRM2	-0.802279828522447	8.45629708898496	-3.98082937556027	0.000844812311411841	0.715154935429468	-2.6358234081974
TFF1	-1.18620600241762	9.48856460492708	-3.94419736544026	0.000917413824372682	0.715154935429468	-2.66101474810061
CITED2	0.754464846754627	5.49988830731461	3.92045794262385	0.000967766731584594	0.715154935429468	-2.67740934708392
GNG11	0.560927790529397	7.82534384151498	3.91427086214257	0.000981338256506	0.715154935429468	-2.68169104839786
PRKG1	0.58982103476233	3.80265263303884	3.78586637712131	0.00131016470935469	0.715154935429468	-2.77135741309212
PTTG1	-0.411079230159244	9.1393089386232	-3.74094973618518	0.00144947506440236	0.715154935429468	-2.80307410189704
SNUPN	0.613345641239006	7.67554617283537	3.73643631810944	0.00146426467001364	0.715154935429468	-2.80627082636924
BAZ1A	-0.457300151109765	7.90386754393338	-3.72599720118826	0.00149904988586628	0.715154935429468	-2.81367124601132
RACGAP1	-0.531675734238055	7.80309996793504	-3.7162905064077	0.0015321321704679	0.715154935429468	-2.82056077962719
WDR76	0.463028313346743	5.49708683025698	3.6997522828894	0.00159017961067884	0.715154935429468	-2.83231748286262
IFIT1	-0.759616741073931	8.91880358199028	-3.66380075446676	0.00172402099498875	0.715154935429468	-2.85795329668863
RPS27A	0.513453663550788	11.5658744452551	3.63946042953212	0.00182093358923474	0.715154935429468	-2.87536947510208
ZFPL1	0.4618435196785	4.27651837699278	3.61727031409254	0.00191399008368623	0.715154935429468	-2.89128835912745
