logFC	AveExpr	t	P.Value	adj.P.Val	B
CMC2	-0.590882415823467	8.23150415561315	-4.99372500506979	9.83212585136873e-05	0.5294740986354	-1.4681179859122
LTBP3	0.838631001907628	6.7674935598739	4.96020353548094	0.000105659592524166	0.5294740986354	-1.49194677410834
TRHDE	-1.221524714794	3.59518110886407	-4.86968154179783	0.000128399703837525	0.5294740986354	-1.55705856976066
IFIT1	-1.3639813321612	8.64440324976068	-4.74500334354457	0.000168150834499546	0.5294740986354	-1.64855913489298
CABP2	-0.851354112517341	3.52048599966019	-4.59899121408916	0.000230997493654985	0.5294740986354	-1.75837796220921
KIF13B	0.622563124670796	8.2427063425347	4.53225840200581	0.000267224231763869	0.5294740986354	-1.8095147985805
HSPA4L	-0.857084949918841	5.40768839310175	-4.53184975438504	0.000267462995471679	0.5294740986354	-1.80982975344402
TRDN	0.990405283125826	2.76520226571377	4.44606428311341	0.000322698849081336	0.5294740986354	-1.87643108992819
PMAIP1	-1.21097987276927	5.71367521537714	-4.42846112790882	0.000335393221263978	0.5294740986354	-1.89021617611256
ISG15	-1.26321194525018	8.88002098186563	-4.28800853256097	0.000456606223066993	0.622068436637744	-2.00162752927439
RAD51AP1	-0.897295662346521	6.80305316195439	-4.26378455385817	0.000481612669131137	0.622068436637744	-2.02109480973949
CEP97	-0.954084708386084	4.57547834780456	-4.11688098099612	0.000665841081830772	0.661365212197	-2.14069598019375
CYP2B7P	-1.62867129012806	7.72278658945129	-4.1161687043904	0.00066688899714168	0.661365212197	-2.14128221924507
RUFY2	0.544011042281112	6.6597005136712	4.07908364631364	0.000723806680004197	0.661365212197	-2.17188777556577
INSM1	-0.728450441991554	5.30154834103685	-4.07292538806359	0.000733720966906808	0.661365212197	-2.17698568783764
SLC6A5	0.89223773429913	5.62175479784543	4.06615369534262	0.000744780644365991	0.661365212197	-2.18259651526131
GMNN	-0.656125470256615	8.37230439814866	-4.02438447558998	0.000816804920384357	0.68265672404829	-2.21732256858804
