logFC	AveExpr	t	P.Value	adj.P.Val	B
FHL2	0.919022981508203	8.61107766815302	4.9776366211241	1.55370665554007e-06	0.0220750641619133	2.88296609367394
SECISBP2L	-0.540977123731911	7.35051213398091	-4.16243774172519	4.96854160999374e-05	0.224451080679175	0.594732250645644
HDAC9	-1.04900020061137	6.9130724675021	-4.12517547732385	5.75960405157764e-05	0.224451080679175	0.497348964543469
COG8	0.580595734386107	7.88222830345276	4.04468317142134	7.89875706218945e-05	0.224451080679175	0.289278458118464
PDF	0.580595734386107	7.88222830345276	4.04468317142134	7.89875706218945e-05	0.224451080679175	0.289278458118464
SSFA2	-0.982854671528289	8.1202689118967	-3.98551543619563	9.93398548317236e-05	0.235236776241521	0.138353030413467
MED28	0.519933575166472	7.13591419885452	3.90884922742853	0.000133207626815458	0.262468974857825	-0.0546247800403066
PAGR1	1.1662339647613	6.91270305564618	3.85112473998568	0.000165673209296458	0.262468974857825	-0.19797679026532
MLLT11	-0.703498021375124	8.72489587912799	-3.85018390503567	0.000166259908060278	0.262468974857825	-0.200299274202381
SNF8	0.528894143502036	8.47683107222625	3.64138947121954	0.000358585985004224	0.481683949839665	-0.704453421976424
TP53TG1	0.784423130442376	7.21613590032594	3.63050033687879	0.000372925355309425	0.481683949839665	-0.730123083282094
IMPDH2	0.829625872171913	9.72788669337709	3.56384482420061	0.000473182967052537	0.523768073306154	-0.88588569817266
ISYNA1	0.724127070436255	6.88700754921971	3.5561147147297	0.000486327432310256	0.523768073306154	-0.903796655530369
CAMK2G	0.378077040456265	6.40749262469813	3.52167384571693	0.000549176640800357	0.523768073306154	-0.983208670393842
AKR7A2	0.59456028677088	8.74131906235221	3.50668050754605	0.000578855962388116	0.523768073306154	-1.01758052391505
ADCK2	0.399266666997383	6.25441786872813	3.50131950673716	0.000589828911380804	0.523768073306154	-1.02984109506285
CUEDC2	0.384351966316949	9.25165874294978	3.47237492470796	0.000652525313346731	0.531742441715173	-1.09576899763551
TTLL1	0.912913229624687	5.59913937291507	3.44506177665463	0.000717374280790491	0.531742441715173	-1.15756459522986
ING4	0.599089966063996	6.3671913186094	3.44296132127653	0.000722603655686133	0.531742441715173	-1.16230005217907
CCDC22	0.535491448661746	5.90218397749044	3.42643649292029	0.000765008038250844	0.531742441715173	-1.19947126153828
PRKACB	-1.09195389635047	7.95009189904194	-3.41191639783201	0.000804180701533974	0.531742441715173	-1.2320099523182
BGLAP	0.727953812094093	5.65702079089602	3.37465531210887	0.000913464827422077	0.531742441715173	-1.31498133929886
PMF1-BGLAP	0.727953812094093	5.65702079089602	3.37465531210887	0.000913464827422077	0.531742441715173	-1.31498133929886
PBX3	-0.603340896117747	7.90854518076208	-3.36974652945397	0.000928855422860993	0.531742441715173	-1.32585513062038
PAQR3	-0.624098843146399	6.16774922779695	-3.3647703425368	0.000944704462272222	0.531742441715173	-1.33686468543915
STAM	-0.362997145173869	8.41300002316306	-3.35605751788606	0.000973064715976528	0.531742441715173	-1.35610847414518
TGFB1	0.63437753667167	5.15877353570399	3.33267007182051	0.00105317230184682	0.544473473433004	-1.40755633764554
RANGRF	0.609419370032811	7.20166870677714	3.32555671035787	0.00107873226100652	0.544473473433004	-1.42314430504279
BAZ1A	-0.53643726346067	7.63075359358955	-3.31671035730407	0.00111132676869068	0.544473473433004	-1.44249073040288
LAMP5	1.16466897676318	6.51043576910841	3.30519709231693	0.00115512401244749	0.547066732295131	-1.46760442188934
R3HCC1	0.423191164277812	7.70327182590871	3.28738177534014	0.00122607694607233	0.549776227026922	-1.50631926933789
DBF4	-0.607006966127792	6.24370548360015	-3.28442592786814	0.00123823474555613	0.549776227026922	-1.51272557098209
RBFA	0.87864597424776	6.75679751830921	3.21895339322991	0.00153808019107677	0.600231355129878	-1.65337198408781
C1orf216	0.342844992842211	7.84021153401388	3.21178840213675	0.00157470282775567	0.600231355129878	-1.66861737477078
KCNK15	1.29164172078541	5.02856390480695	3.2066563906078	0.00160143023893953	0.600231355129878	-1.67951926644617
THOC2	-0.424808092977349	8.36679775547625	-3.19432608274822	0.00166737745888897	0.600231355129878	-1.70565162461797
TPRA1	0.619518567115556	6.33166365006866	3.18105248927444	0.00174118080159527	0.600231355129878	-1.73368700380158
PMF1	0.434271436637596	7.04753546203993	3.17291511699869	0.00178791224607516	0.600231355129878	-1.75082471539946
LRRC20	0.770679302072478	5.15083641700646	3.15976141654706	0.00186591725760609	0.600231355129878	-1.77844757437557
SLC35E1	0.331354799195359	8.02474117727904	3.15893960302732	0.00187089400674115	0.600231355129878	-1.78017012482976
GEMIN4	0.683858171012567	5.21584453889675	3.15451926973928	0.00189787437215773	0.600231355129878	-1.78942871106391
BTF3P12	0.885481607864871	5.16380722382379	3.15270372491056	0.001909059977933	0.600231355129878	-1.79322823020428
FRG1	0.351962838343692	8.43957112611073	3.15016196496802	0.00192482243087679	0.600231355129878	-1.79854439893634
LOC101930278	0.351962838343692	8.43957112611073	3.15016196496802	0.00192482243087679	0.600231355129878	-1.79854439893634
LOC101930531	0.351962838343692	8.43957112611073	3.15016196496802	0.00192482243087679	0.600231355129878	-1.79854439893634
RPS21	0.699546202488705	10.4098284237997	3.14720417006886	0.00194331660585405	0.600231355129878	-1.80472608617834
FAM13A	-0.508241865752869	7.90431628501041	-3.13309904715408	0.0020337966461625	0.614812398908016	-1.83413670784268
TADA2A	0.369900358828135	4.95126192388277	3.10239300440128	0.00224440742863492	0.659188697643346	-1.89776890562164
FLNB	0.825183307302506	7.41417269604445	3.08222452010078	0.00239352257208424	0.659188697643346	-1.93927009715412
GOLPH3	-0.424456713144604	9.97789388592937	-3.08167711868472	0.00239769444691072	0.659188697643346	-1.94039324142164
BATF3	0.816659059863644	6.20602042074663	3.06379074777061	0.00253776129712023	0.659188697643346	-1.97699716215783
MED13	-0.449875390521928	9.54724836163613	-3.05990819445892	0.00256914578344598	0.659188697643346	-1.9849183438615
FAM111A	-0.415646550513836	8.3097937046956	-3.0559896910605	0.00260118354779784	0.659188697643346	-1.99290405452202
KRT1	0.956082355009368	5.74718004240082	3.04901146227595	0.00265915159976738	0.659188697643346	-2.00710338372183
MFF	-0.441133169849554	8.65852477822132	-3.04830980878245	0.00266504564936306	0.659188697643346	-2.00852955511527
APOBR	0.738100276846127	5.70682672252637	3.03642805902982	0.00276670153997153	0.659188697643346	-2.0326370242582
CDK5	0.846785314298586	6.42995460405137	3.03170094265059	0.00280812934696702	0.659188697643346	-2.0422053930935
IDH3B	0.398463685211157	8.53876852570444	3.02988491007096	0.00282419618185557	0.659188697643346	-2.04587786608161
TST	1.11843154025203	7.29615932035277	3.01663082027872	0.0029440465188447	0.659188697643346	-2.07262307537492
HSD17B8	0.710225066630301	7.69397139760663	2.99094913697201	0.00318969755141368	0.659188697643346	-2.12415540685146
IRAK3	-0.720026269505042	5.13661152095332	-2.98330225733634	0.00326640234765816	0.659188697643346	-2.13942532336442
DEAF1	0.626907896702259	6.10068813170412	2.98110569684887	0.00328874707545481	0.659188697643346	-2.14380529427472
ELOVL5	0.385772472651647	7.87667905680723	2.98078616541561	0.00329200921716586	0.659188697643346	-2.14444220980324
DUSP12	0.474740994501534	7.62036189494681	2.9806235527762	0.00329367049396291	0.659188697643346	-2.1447663194185
PUM1	-0.289389084628885	8.79097294120622	-2.96916549331957	0.0034126859110139	0.659188697643346	-2.16756497790677
NME7	0.490566718893086	8.01289768199071	2.9591603189302	0.00351982653016515	0.659188697643346	-2.18741004451068
RPL18AP16	0.670148670475171	7.69417252813168	2.95292218458592	0.00358818127239967	0.659188697643346	-2.19975363117974
SPAG7	0.371408931512571	8.66820119733008	2.95067446021533	0.00361310787051563	0.659188697643346	-2.2041956897201
PET112	0.807344576219226	4.99050867472572	2.93896883847729	0.00374550670482601	0.659188697643346	-2.2272810444317
IMPA2	1.06910342575745	6.2360871712316	2.93657300550504	0.00377314774439221	0.659188697643346	-2.23199610562856
MPC2	0.502241316823898	9.93464226511571	2.93439004244587	0.0037984955660937	0.659188697643346	-2.23628930108218
KLF8	-0.567602929817278	3.65173409781108	-2.93185506226081	0.00382812671603989	0.659188697643346	-2.24127129278917
DDIT4	0.743407533752752	8.64752527264671	2.9316237947244	0.00383084049912977	0.659188697643346	-2.24172561465771
TMEM186	0.51300289468428	7.31698061512672	2.92926880545873	0.00385857542295115	0.659188697643346	-2.24635017028238
CDHR1	0.678503382566207	3.42519438541628	2.92880882778457	0.00386401405584689	0.659188697643346	-2.24725306058893
WSB2	-0.494930077259273	9.23410055068581	-2.92608709606191	0.00389633897605049	0.659188697643346	-2.25259300516847
AC004692.5	0.595569430400114	7.32085152501861	2.92517794039237	0.00390719173791595	0.659188697643346	-2.25437576780646
RPS27A	0.611540443998868	11.7924689726898	2.92268139195363	0.00393713610774383	0.659188697643346	-2.25926874933184
DMXL2	-0.453463804370124	6.7062465373638	-2.92174560474039	0.00394841429205244	0.659188697643346	-2.26110185331424
RHOQ	-0.389959534692775	7.85624715979849	-2.91855611191605	0.0039870770156743	0.659188697643346	-2.26734585005566
HADHAP1	0.653060593923163	6.5063026111751	2.9174072371551	0.00400108829360632	0.659188697643346	-2.26959351013324
CUL2	-0.390662493542136	6.0741019894579	-2.90990843524546	0.00409365431607449	0.659188697643346	-2.28424509752394
LOC101929864	0.427418720428302	6.60649668957324	2.90928341434938	0.00410145747965176	0.659188697643346	-2.28546480457694
SLX1A	0.427418720428302	6.60649668957324	2.90928341434938	0.00410145747965176	0.659188697643346	-2.28546480457694
SLX1B	0.427418720428302	6.60649668957324	2.90928341434938	0.00410145747965176	0.659188697643346	-2.28546480457694
CLTA	0.294821314441608	8.50586640482873	2.90721607951824	0.00412736452077131	0.659188697643346	-2.28949749932113
KRT10	0.489456387313222	9.57353229890355	2.89864254884432	0.0042364111155578	0.659188697643346	-2.30619477910078
MAPK6	-0.406470092149148	8.93288533855753	-2.89694047031045	0.00425837094244101	0.659188697643346	-2.30950448680939
