set	group
PA	PA
MCF7_Fulv-2d_vs_MCF7_RM	First_line
MCF7_FulvR_vs_MCF7_RM	Resistant
MCF7_WM-2d_vs_MCF7_RM	First_line
MCF7_Lted_vs_MCF7_RM	Resistant
MCF7_Lted_CDK7i-2d_vs_MCF7_Lted	Second_line
MCF7_Lted_CDK7i-7d_vs_MCF7_Lted	Second_line
MCF7_Lted_Fulv-2d_vs_MCF7_Lted	Second_line
MCF7_Lted_Fulv-7d_vs_MCF7_Lted	Second_line
MCF7_Lted_Palbo-2d_vs_MCF7_Lted	Second_line
MCF7_Lted_Palbo-7d_vs_MCF7_Lted	Second_line
MCF7_Lted_Tam-2d_vs_MCF7_Lted	Second_line
MCF7_Lted_Tam-7d_vs_MCF7_Lted	Second_line
MCF7_Tam-2d_vs_MCF7_RM	First_line
MCF7_TamR_vs_MCF7_RM	Resistant
MCF7_TamR_CDK7i-2d_vs_MCF7_TamR	Second_line
MCF7_TamR_CDK7i-7d_vs_MCF7_TamR	Second_line
MCF7_TamR_Fulv-2d_vs_MCF7_TamR	Second_line
MCF7_TamR_Fulv-7d_vs_MCF7_TamR	Second_line
MCF7_TamR_Palbo-2d_vs_MCF7_TamR	Second_line
MCF7_TamR_Palbo-7d_vs_MCF7_TamR	Second_line
MCF7_TamR_WM-2d_vs_MCF7_TamR	Second_line
MCF7_TamR_WM-7d_vs_MCF7_TamR	Second_line
MCF7-D538G_WM-2d_vs_MCF7-D538G_RM	ER_mutant_first_line
MCF7-D538G_RM_vs_MCF7_RM	ER_mutant
