Regulator	BCa_MCF7_first	BCa_MCF7_second	PCa_LNCaP_first	BCa_NEO_new	Perv_NEO	Perv_DTP	BCa_MCF7_first_borda	BCa_MCF7_second_borda	PCa_LNCaP_first_borda	BCa_NEO_new_borda	Perv_NEO_borda	Perv_DTP_borda	borda_count	borda_fraction
AHR	-1.07459299415579	0.2677692156908844	-0.2909095755194667	2.8503719669478556	2.9674520111227873	1.8195999187254777	24	237	23	214	309	267	1074	0.518840579710145
AIRE	0.8971404997860748	0.43799572037634066	0.7132180307497873	4.777524712581114	0	0	321	297	327	235	137.5	122	1439.5	0.6954106280193236
AP1	-0.9395976292638724	0.39952143463194534	0.7819140246633504	119.68148085219057	0	0	26	291	333	340	137.5	122	1249.5	0.6036231884057971
APEX1	0.0209626391106914	0.05884759774126846	-0.11515185080806443	1.9887453663237993	0	0	146	131	46	193	137.5	122	775.5	0.3746376811594203
AR	-0.41232145334800774	0.8418512339094995	0.2942237069627316	0.2108793481084111	4.714943297500638	3.353929774203326	56	343	239	120	327	291	1376	0.6647342995169082
ARNT	-0.31626642033645536	0.1388546118283969	0.10218553794159543	1.3353366122959218	1.0835471386595905	-0.21354934525256902	73	177	141	182	281	26	880	0.4251207729468599
ARX	0.3053574221705669	0.2456671098306588	-0.11151903143753704	4.777416299456527	0	0	224	230	50	234	137.5	122	997.5	0.48188405797101447
ASCL1	0.21397247234588113	0.22136258176189205	0.02195593947563456	0.041448827684134354	0.038860003504432195	0.4016046827929927	200	217	103	95	245	227	1087	0.5251207729468599
ATF1	0.4872996883006451	0.12634390703337584	0.2009195086645299	16.12966663678936	-0	2.230641096643961	267	171	199	298	137.5	276	1348.5	0.6514492753623189
ATF2	0.9300483744805464	0.43155407194327744	0.1964066126367321	16.434193071096903	4.608993547197957	7.1805285725368995	324	296	196	299	325	327	1767	0.8536231884057971
ATF3	1.285022941020671	0.4048468496368443	0.3402908314766815	2.3842672637169273	0.536982214806341	4.463660434970294	333	292	257	203	258	313	1656	0.8
ATF4	0.8501489764739947	-0.06163599372869729	0.2987680194754657	8.051785393821046	-0	9.44373066401664	316	74	241	267	137.5	336	1371.5	0.66256038647343
ATF5	-0.20507635490927448	-0.06239060774288025	-0.47194024076453456	0.949023646462924	0	0	95	73	9	163	137.5	122	599.5	0.2896135265700483
ATF6	0.13281786386933206	0.13550321617714312	-0.5041280627829912	0.018663885849885944	0	0	182	174	7	82	137.5	122	704.5	0.3403381642512077
BARX2	0.11532666391893748	0.07357334962413034	-0.0233517802287323	0.0073564668608466785	0	0	174	139	86	76	137.5	122	734.5	0.35483091787439613
BCL11B	0.01845894498648216	-0.5060518690223529	-0.32594375980856183	0.6627077944033143	0	0	145	10	19	154	137.5	122	587.5	0.28381642512077293
BCL3	-0.3760060244094994	0.19388533326125096	0.09185240129218242	1.5346103333115662	0	0	63	206	134	189	137.5	122	851.5	0.4113526570048309
BCL6	-0.11176008449217135	0.13685819841605262	0.2207038217086033	8.676941259388865	0.7667206689285379	-0.31451918363158093	118	176	209	271	264	23	1061	0.5125603864734299
BHLHE40	-0.02938740333174619	0.07182752329293936	0.03252225291540628	-0.15849020670865377	-0.08661694698140342	-0.6176207719337045	138	138	109	38	27	17	467	0.22560386473429953
BMAL1	0.6168743233656134	0.5480739465085283	0.1373939323902423	7.714148248380787	0	0	293	321	160	260	137.5	122	1293.5	0.6248792270531401
BRCA1	2.427866184810255	0.6921315126055582	0.06766851923566608	0.7100861481723334	0	0	344	335	123	158	137.5	122	1219.5	0.5891304347826087
CDX1	0.27362182387931444	-0.01379348688836223	0.28908384582317215	1.0191389155168065	0	0	215	96	238	167	137.5	122	975.5	0.471256038647343
CDX2	-0.0950701398405132	0.12217813879783782	0.43972555706717087	0.0012175083236656103	0	0	121	170	287	61	137.5	122	898.5	0.4340579710144927
CEBPA	0.3170425504993228	0.01971290587434184	0.5941566925271534	55.85763551072179	3.135120215771545	2.03145525628666	227	110	317	329	311	271	1565	0.7560386473429952
CEBPB	1.049287586096144	0.5317419634859238	0.5470231682330531	130.2539703078615	5.890030626934005	3.676676759768626	327	317	305	341	333	301	1924	0.9294685990338164
CEBPD	0.06927568980182336	0.24827244730705056	0.3694139050126728	37.45523929494595	0	0	163	232	266	319	137.5	122	1239.5	0.5987922705314009
CEBPE	0.36914668228063263	-0.13157995846541587	0.5856934671822974	0.35247086053644344	0	0	245	55	315	140	137.5	122	1014.5	0.4900966183574879
CEBPG	0.4858169201136344	0.395953592045829	0.9671371982590762	57.98632516651892	1.271158782548974	1.6792752102699746	266	290	339	331	285	264	1775	0.857487922705314
CIITA	0.7891555976618682	0.1834328578813102	0.32399751453625214	0.027184541733054915	0	0	309	199	249	86	137.5	122	1102.5	0.532608695652174
CLOCK	0.3194463123993302	0.3126755269324084	0.04258618493326763	6.161336733440419	1.01091989060857	-0.03537540109412408	229	263	111	246	277	29	1155	0.5579710144927537
CREB1	0.531471872062635	0.4539368642657446	0.07434514686421645	109.70084287665277	4.638675032823696	5.129336339852878	279	304	125	338	326	321	1693	0.8178743961352657
CREBBP	0.11987342064284208	-0.21550107630639612	0.40047343460569135	0.0013193675116483917	0	0	176	41	277	62	137.5	122	815.5	0.3939613526570048
CREM	-0.43928689499939594	-0.09548563349499134	-0.05733782691912059	0.2064442268575335	1.1459732380809597	2.0853118305829343	54	64	71	117	282	273	861	0.41594202898550725
CTCF	0.08453313923853724	-0.05378536039627898	-0.03374303823075642	0.2112189292137407	-0.7699157895224149	0.26277860390587354	169	78	83	121	20	222	693	0.3347826086956522
CTNNB1	0.7986735007310598	0.5750165137354034	0.02687325434694432	11.769178859597734	0	0	310	328	107	282	137.5	122	1286.5	0.6214975845410629
CUX1	-0.2057491096889677	0.13507563471996947	0.28211443441333384	1.1309358492861095	-1.1008642613832922	-2.600806002609023	94	173	235	173	15	8	698	0.33719806763285026
CXXC1	0.1972900325186903	0.1595714817391535	0.2038710929527878	12.16177655119217	0	0	194	189	202	285	137.5	122	1129.5	0.5456521739130434
DDIT3	0.32182412963215473	0.14214065121560449	0.1602509239783556	0.4635064709570652	-0	1.0853355686201445	230	179	174	147	137.5	248	1115.5	0.5388888888888889
DLX4	0.5387189167893061	0.3368346870324973	0.0183974124688868	6.813356218811419	0	0	280	271	101	252	137.5	122	1163.5	0.5620772946859903
DLX5	0.22788941112706204	0.3300155480789338	0.15275595577056045	6.70067981878229	0	0	202	268	167	251	137.5	122	1147.5	0.5543478260869565
