gs_name	gene	species
cell-type_Basal	KRT14	hs
cell-type_Basal	KRT17	hs
cell-type_Basal	DST	hs
cell-type_Basal	KRT5	hs
cell-type_Basal	SAA1	hs
cell-type_Basal	ACTA2	hs
cell-type_Basal	SFN	hs
cell-type_Basal	MYLK	hs
cell-type_Basal	TAGLN	hs
cell-type_Basal	ACTG2	hs
cell-type_Basal	TPM2	hs
cell-type_Basal	CNN1	hs
cell-type_Basal	FBXO32	hs
cell-type_Basal	OXTR	hs
cell-type_Basal	TPM1	hs
cell-type_Basal	CRYAB	hs
cell-type_Bcell	IGKC	hs
cell-type_Bcell	IGLC2	hs
cell-type_Bcell	IGHA1	hs
cell-type_Bcell	IGLC3	hs
cell-type_Bcell	JCHAIN	hs
cell-type_Bcell	IGHA2	hs
cell-type_Bcell	IGHM	hs
cell-type_Bcell	IGLL5	hs
cell-type_Bcell	MZB1	hs
cell-type_Bcell	IGHD	hs
cell-type_Bcell	SSR4	hs
cell-type_Bcell	CD79A	hs
cell-type_Bcell	CD37	hs
cell-type_Bcell	DERL3	hs
cell-type_Bcell	HLA-DRA	hs
cell-type_Bcell	HERPUD1	hs
cell-type_Fibroblast	DCN	hs
cell-type_Fibroblast	APOD	hs
cell-type_Fibroblast	CFD	hs
cell-type_Fibroblast	TNFAIP6	hs
cell-type_Fibroblast	LUM	hs
cell-type_Fibroblast	COL1A2	hs
cell-type_Fibroblast	COL1A1	hs
cell-type_Fibroblast	COL3A1	hs
cell-type_Fibroblast	MMP3	hs
cell-type_Fibroblast	GSN	hs
cell-type_Fibroblast	FBLN1	hs
cell-type_Fibroblast	CCDC80	hs
cell-type_Fibroblast	SFRP2	hs
cell-type_Fibroblast	COL6A2	hs
cell-type_Fibroblast	IGFBP6	hs
cell-type_Fibroblast	IGF1	hs
cell-type_Fibroblast	C1S	hs
cell-type_Fibroblast	COL6A3	hs
cell-type_Fibroblast	C1R	hs
cell-type_LumHR	AREG	hs
cell-type_LumHR	AZGP1	hs
cell-type_LumHR	PIP	hs
cell-type_LumHR	KRT18	hs
cell-type_LumHR	AGR2	hs
cell-type_LumHR	TFF1	hs
cell-type_LumHR	S100A14	hs
cell-type_LumHR	KRT19	hs
cell-type_LumHR	KRT8	hs
cell-type_LumHR	TCIM	hs
cell-type_LumHR	AGR3	hs
cell-type_LumHR	STC2	hs
cell-type_LumHR	SYTL2	hs
cell-type_LumHR	TFF3	hs
cell-type_LumHR	SPINT2	hs
cell-type_LumHR	MGP	hs
cell-type_LumHR	PTHLH	hs
cell-type_LumSec	SCGB2A2	hs
cell-type_LumSec	SLPI	hs
cell-type_LumSec	WFDC2	hs
cell-type_LumSec	LTF	hs
cell-type_LumSec	KRT15	hs
cell-type_LumSec	MMP7	hs
cell-type_LumSec	SCGB3A1	hs
cell-type_LumSec	KRT23	hs
cell-type_LumSec	CLDN4	hs
cell-type_LumSec	S100A9	hs
cell-type_LumSec	KRT7	hs
cell-type_LumSec	CCL28	hs
cell-type_LumSec	TACSTD2	hs
cell-type_LumSec	KRT19	hs
cell-type_LumSec	ALDH1A3	hs
cell-type_LumSec	PIGR	hs
cell-type_LumSec	CLDN3	hs
cell-type_Lymphatic	CCL21	hs
cell-type_Lymphatic	TFF3	hs
cell-type_Lymphatic	MMRN1	hs
cell-type_Lymphatic	CAVIN2	hs
cell-type_Lymphatic	CLDN5	hs
cell-type_Lymphatic	LYVE1	hs
cell-type_Lymphatic	TFPI	hs
cell-type_Lymphatic	PPFIBP1	hs
cell-type_Lymphatic	GNG11	hs
cell-type_Lymphatic	ECSCR	hs
cell-type_Lymphatic	ANGPT2	hs
cell-type_Lymphatic	PROX1	hs
cell-type_Lymphatic	CD9	hs
cell-type_Lymphatic	FABP4	hs
cell-type_Lymphatic	FABP5	hs
cell-type_Lymphatic	AKAP12	hs
cell-type_Lymphatic	RAMP2	hs
cell-type_Lymphatic	CAV1	hs
cell-type_Lymphatic	EFEMP1	hs
cell-type_Lymphatic	S100A10	hs
cell-type_Myeloid	HLA-DRA	hs
cell-type_Myeloid	IL1B	hs
cell-type_Myeloid	HLA-DRB1	hs
cell-type_Myeloid	CD74	hs
cell-type_Myeloid	CCL3	hs
cell-type_Myeloid	C1QB	hs
cell-type_Myeloid	C1QA	hs
cell-type_Myeloid	RNASE1	hs
cell-type_Myeloid	FCER1G	hs
cell-type_Myeloid	TYROBP	hs
cell-type_Myeloid	LYZ	hs
cell-type_Myeloid	CCL4	hs
cell-type_Myeloid	HLA-DQB1	hs
cell-type_Myeloid	GPR183	hs
cell-type_Myeloid	CTSB	hs
cell-type_Myeloid	CD163	hs
cell-type_Myeloid	C1QC	hs
cell-type_Perivascular	RGS5	hs
cell-type_Perivascular	C11orf96	hs
cell-type_Perivascular	IGFBP5	hs
cell-type_Perivascular	STEAP4	hs
cell-type_Perivascular	MYL9	hs
cell-type_Perivascular	IGFBP7	hs
cell-type_Perivascular	ADAMTS4	hs
cell-type_Perivascular	TAGLN	hs
cell-type_Perivascular	PDK4	hs
cell-type_Perivascular	NDUFA4L2	hs
cell-type_Perivascular	GADD45B	hs
cell-type_Perivascular	RGS16	hs
cell-type_Perivascular	ADAMTS1	hs
cell-type_Perivascular	MYH11	hs
cell-type_Perivascular	NR2F2	hs
cell-type_Perivascular	CCL2	hs
cell-type_Perivascular	NOTCH3	hs
cell-type_Perivascular	MCAM	hs
cell-type_Tcell	IL7R	hs
cell-type_Tcell	CCL5	hs
cell-type_Tcell	PTPRC	hs
cell-type_Tcell	CXCR4	hs
cell-type_Tcell	CD2	hs
cell-type_Tcell	SRGN	hs
cell-type_Tcell	NKG7	hs
cell-type_Tcell	KLRB1	hs
cell-type_Tcell	ARHGDIB	hs
cell-type_Tcell	CD3D	hs
cell-type_Tcell	CREM	hs
cell-type_Tcell	TRBC2	hs
cell-type_Tcell	LEPROTL1	hs
cell-type_Tcell	CD7	hs
cell-type_Tcell	SARAF	hs
cell-type_Tcell	CD52	hs
cell-type_Tcell	SYTL3	hs
cell-type_Tcell	CNOT6L	hs
cell-type_Tcell	CST7	hs
cell-type_Vascular	SELE	hs
cell-type_Vascular	ACKR1	hs
cell-type_Vascular	FABP4	hs
cell-type_Vascular	STC1	hs
cell-type_Vascular	CLDN5	hs
cell-type_Vascular	ANGPT2	hs
cell-type_Vascular	CSF3	hs
cell-type_Vascular	ADGRL4	hs
cell-type_Vascular	ADAMTS9	hs
cell-type_Vascular	AQP1	hs
cell-type_Vascular	GNG11	hs
cell-type_Vascular	TM4SF1	hs
cell-type_Vascular	SPARCL1	hs
cell-type_Vascular	CD93	hs
cell-type_Vascular	VWF	hs
cell-type_Vascular	RBP7	hs
cell-type_Vascular	PECAM1	hs
cell-type_Vascular	SPRY1	hs
cell-type_Adipocytes	PDE3B	hs
cell-type_Adipocytes	ACACB	hs
cell-type_Adipocytes	WDPCP	hs
cell-type_Adipocytes	PCDH9	hs
cell-type_Adipocytes	CLSTN2	hs
cell-type_Adipocytes	ADIPOQ	hs
cell-type_Adipocytes	TRHDE	hs
cell-type_Adipocytes	SOX5	hs
cell-type_Adipocytes	GPAM	hs
cell-type_Adipocytes	AQP7	hs
cell-type_Adipocytes	CPM	hs
cell-type_Adipocytes	PLIN1	hs
cell-type_Adipocytes	CAV2	hs
cell-type_Adipocytes	GHR	hs
cell-type_Adipocytes	MARC1	hs
cell-type_Basal	KLHL29	hs
cell-type_Basal	IL1RAPL2	hs
cell-type_Basal	NRG1	hs
cell-type_Basal	SEMA3C	hs
cell-type_Basal	PTPRT	hs
cell-type_Basal	SAMD5	hs
cell-type_Basal	TP63	hs
cell-type_Basal	GRIA4	hs
cell-type_Basal	RBBP8	hs
cell-type_Basal	FHOD3	hs
cell-type_Basal	TMEFF2	hs
cell-type_Basal	KLHL13	hs
cell-type_Basal	CACNA1C	hs
cell-type_Fibroblast	LAMA2	hs
cell-type_Fibroblast	DCLK1	hs
cell-type_Fibroblast	NEGR1	hs
cell-type_Fibroblast	ANK2	hs
cell-type_Fibroblast	KAZN	hs
cell-type_Fibroblast	SLIT2	hs
cell-type_Fibroblast	BICC1	hs
cell-type_Fibroblast	NOVA1	hs
cell-type_Fibroblast	COL5A2	hs
cell-type_Fibroblast	DLC1	hs
cell-type_Fibroblast	HPSE2	hs
cell-type_Fibroblast	ABCA9	hs
cell-type_Fibroblast	SLIT3	hs
cell-type_Fibroblast	ABCA6	hs
cell-type_Fibroblast	ROBO2	hs
cell-type_LumHR	AFF3	hs
cell-type_LumHR	ERBB4	hs
cell-type_LumHR	TTC6	hs
cell-type_LumHR	MYBPC1	hs
cell-type_LumHR	NEK10	hs
cell-type_LumHR	THSD4	hs
cell-type_LumHR	ESR1	hs
cell-type_LumHR	INPP4B	hs
cell-type_LumHR	PRLR	hs
cell-type_LumHR	XBP1	hs
cell-type_LumHR	SERHL2	hs
cell-type_LumHR	DIO2	hs
cell-type_LumHR	ALCAM	hs
cell-type_LumHR	PI15	hs
cell-type_LumHR	ST8SIA6	hs
cell-type_LumHR	CADPS2	hs
cell-type_LumHR	EFHD1	hs
cell-type_LumSec	COBL	hs
cell-type_LumSec	GABRP	hs
cell-type_LumSec	ELF5	hs
cell-type_LumSec	KIT	hs
cell-type_LumSec	BARX2	hs
cell-type_LumSec	EHF	hs
cell-type_LumSec	HS3ST4	hs
cell-type_LumSec	SLC12A2	hs
cell-type_LumSec	TFCP2L1	hs
cell-type_LumSec	SORBS2	hs
cell-type_LumSec	SHANK2	hs
cell-type_LumSec	PDE4B	hs
cell-type_LumSec	CX3CL1	hs
cell-type_Lymphatic	PKHD1L1	hs
cell-type_Lymphatic	KLHL4	hs
cell-type_Lymphatic	RHOJ	hs
cell-type_Lymphatic	ST6GALNAC3	hs
cell-type_Lymphatic	GPM6A	hs
cell-type_Lymphatic	STOX2	hs
cell-type_Lymphatic	NRG3	hs
cell-type_Lymphatic	PDE1A	hs
cell-type_Lymphatic	RELN	hs
cell-type_Lymphatic	KALRN	hs
cell-type_Lymphatic	HECW2	hs
cell-type_Lymphatic	ZDHHC14	hs
cell-type_Lymphatic	CNKSR3	hs
cell-type_Lymphatic	STK32B	hs
cell-type_Mast	NTM	hs
cell-type_Mast	IL18R1	hs
cell-type_Mast	SYTL3	hs
cell-type_Mast	SLC24A3	hs
cell-type_Mast	HPGD	hs
cell-type_Mast	TPSB2	hs
cell-type_Mast	HDC	hs
cell-type_Mast	RAB27B	hs
cell-type_Mast	TNFAIP3	hs
cell-type_Mast	SLC18A2	hs
cell-type_Mast	CPA3	hs
cell-type_Mast	TNIK	hs
cell-type_Mast	CPM	hs
cell-type_Mast	CD69	hs
cell-type_Mast	SRGN	hs
cell-type_Mast	SLC8A3	hs
cell-type_Mast	GPAT3	hs
cell-type_Mast	RHOH	hs
cell-type_Mast	RGS13	hs
cell-type_Myeloid	F13A1	hs
cell-type_Myeloid	MRC1	hs
cell-type_Myeloid	RBPJ	hs
cell-type_Myeloid	TBXAS1	hs
cell-type_Myeloid	FRMD4B	hs
cell-type_Myeloid	RAB31	hs
cell-type_Myeloid	SLC8A1	hs
cell-type_Myeloid	MS4A6A	hs
cell-type_Myeloid	MERTK	hs
cell-type_Myeloid	SLCO2B1	hs
cell-type_Myeloid	LGMN	hs
cell-type_Myeloid	COLEC12	hs
cell-type_Myeloid	FMN1	hs
cell-type_Myeloid	SLC1A3	hs
cell-type_Myeloid	PDK4	hs
cell-type_Myeloid	HDAC9	hs
cell-type_Myeloid	SLC9A9	hs
cell-type_Myeloid	P2RY14	hs
cell-type_Myeloid	LYVE1	hs
cell-type_Perivascular	RGS6	hs
cell-type_Perivascular	KCNAB1	hs
cell-type_Perivascular	COL25A1	hs
cell-type_Perivascular	ADGRL3	hs
cell-type_Perivascular	PRKG1	hs
cell-type_Perivascular	ITGA8	hs
cell-type_Perivascular	EBF2	hs
cell-type_Perivascular	GUCY1A2	hs
cell-type_Perivascular	PDE3A	hs
cell-type_Perivascular	RCAN2	hs
cell-type_Perivascular	FHL5	hs
cell-type_Perivascular	DLC1	hs
cell-type_Perivascular	RYR2	hs
cell-type_Perivascular	PDGFRB	hs
cell-type_Perivascular	CHSY3	hs
cell-type_Tcell	SKAP1	hs
cell-type_Tcell	ARHGAP15	hs
cell-type_Tcell	THEMIS	hs
cell-type_Tcell	IKZF1	hs
cell-type_Tcell	PARP8	hs
cell-type_Tcell	CD247	hs
cell-type_Tcell	STAT4	hs
cell-type_Tcell	CD96	hs
cell-type_Tcell	ITK	hs
cell-type_Tcell	ANKRD44	hs
cell-type_Tcell	AOAH	hs
cell-type_Tcell	CAMK4	hs
cell-type_Tcell	BCL11B	hs
cell-type_Tcell	CARD11	hs
cell-type_Vascular	MECOM	hs
cell-type_Vascular	BTNL9	hs
cell-type_Vascular	MCTP1	hs
cell-type_Vascular	PTPRB	hs
cell-type_Vascular	LDB2	hs
cell-type_Vascular	ANO2	hs
cell-type_Vascular	EPAS1	hs
cell-type_Vascular	CD36	hs
cell-type_Vascular	ABLIM3	hs
cell-type_Vascular	ENPP2	hs
cell-type_Vascular	PTPRM	hs
cell-type_Vascular	EMCN	hs
cell-type_Vascular	FLT1	hs
cell-type_Vascular	PREX2	hs
cell-type_Vascular	PLCB4	hs
cell-state_Basal	TAGLN	hs
cell-state_Basal	KRT14	hs
cell-state_Basal	ACTA2	hs
cell-state_Basal	TPM2	hs
cell-state_Basal	KRT17	hs
cell-state_Basal	DST	hs
cell-state_Basal	MYLK	hs
cell-state_Basal	CXCL14	hs
cell-state_Basal	KRT5	hs
cell-state_Basal	APOE	hs
cell-state_Basal	SPARCL1	hs
cell-state_Basal	ACTG2	hs
cell-state_Basal	CALD1	hs
cell-state_Basal	CNN1	hs
cell-state_Basal	MYL9	hs
cell-state_Basal	NNMT	hs
cell-state_LumHR-SCGB	SCGB2A2	hs
cell-state_LumHR-SCGB	PIP	hs
cell-state_LumHR-SCGB	SCGB3A1	hs
cell-state_LumHR-SCGB	SERPINA1	hs
cell-state_LumHR-SCGB	TFPI2	hs
cell-state_LumHR-SCGB	APOD	hs
cell-state_LumHR-SCGB	CP	hs
cell-state_LumHR-SCGB	KRT23	hs
cell-state_LumHR-SCGB	HMGB3	hs
cell-state_LumHR-SCGB	SAA1	hs
cell-state_LumHR-SCGB	MGP	hs
cell-state_LumHR-SCGB	CA2	hs
cell-state_LumHR-SCGB	TAT	hs
cell-state_LumHR-SCGB	SOD2	hs
cell-state_LumHR-SCGB	CITED1	hs
cell-state_LumHR-SCGB	CYP4X1	hs
cell-state_LumHR-SCGB	TNFSF10	hs
cell-state_LumHR-SCGB	CCL2	hs
cell-state_LumHR-active	CXCL13	hs
cell-state_LumHR-active	DIO2	hs
cell-state_LumHR-active	TFF3	hs
cell-state_LumHR-active	MYBPC1	hs
cell-state_LumHR-active	EREG	hs
cell-state_LumHR-active	SLC26A3	hs
cell-state_LumHR-active	PTHLH	hs
cell-state_LumHR-active	FASN	hs
cell-state_LumHR-active	TFF1	hs
cell-state_LumHR-active	PLCG2	hs
cell-state_LumHR-active	PNMT	hs
cell-state_LumHR-active	CA2	hs
cell-state_LumHR-active	GSTM3	hs
cell-state_LumHR-active	KCNMA1	hs
cell-state_LumHR-active	NNMT	hs
cell-state_LumHR-active	EFHD1	hs
cell-state_LumHR-active	RGS1	hs
cell-state_LumHR-major	S100A6	hs
cell-state_LumHR-major	TNFRSF11B	hs
cell-state_LumHR-major	FAM107B	hs
cell-state_LumHR-major	ITGA2	hs
cell-state_LumHR-major	C15orf48	hs
cell-state_LumHR-major	SYTL4	hs
cell-state_LumHR-major	TUBA1C	hs
cell-state_LumHR-major	IER5	hs
cell-state_LumHR-major	NFKBIA	hs
cell-state_LumHR-major	RBP1	hs
cell-state_LumHR-major	SYTL2	hs
cell-state_LumHR-major	KRT8	hs
cell-state_LumHR-major	ATP1B1	hs
cell-state_LumHR-major	SPINK1	hs
cell-state_LumHR-major	PAWR	hs
cell-state_LumHR-major	HMGA1	hs
cell-state_LumHR-major	ARID5B	hs
cell-state_LumHR-major	TNFRSF12A	hs
cell-state_LumHR-major	S100A14	hs
cell-state_LumSec-HLA	CCL20	hs
cell-state_LumSec-HLA	SAT1	hs
cell-state_LumSec-HLA	CD74	hs
cell-state_LumSec-HLA	TMSB4X	hs
cell-state_LumSec-HLA	HSPB1	hs
cell-state_LumSec-HLA	RBP1	hs
cell-state_LumSec-HLA	SLPI	hs
cell-state_LumSec-HLA	CRABP2	hs
cell-state_LumSec-HLA	IER3	hs
cell-state_LumSec-HLA	SPARCL1	hs
cell-state_LumSec-HLA	HLA-DRB1	hs
cell-state_LumSec-HLA	NFKBIA	hs
cell-state_LumSec-HLA	SELENOM	hs
cell-state_LumSec-HLA	HLA-DRA	hs
cell-state_LumSec-HLA	SNCG	hs
cell-state_LumSec-HLA	SERPINB1	hs
