description	treatment	color
MCF7_RM	RM	#A9291E
MCF7_WM-2d	WM	#EFAAA4
MCF7_Lted	Lted	#374913
MCF7_Lted_CDK7i-2d	Lted_CDK7i	#CBE0A3
MCF7_Lted_CDK7i-7d	Lted_CDK7i	#CBE0A3
MCF7_Lted_Fulv-2d	Lted_Fulv	#85AB3B
MCF7_Lted_Fulv-7d	Lted_Fulv	#85AB3B
MCF7_Lted_Palbo-2d	Lted_Palbo	#ACCC6B
MCF7_Lted_Palbo-7d	Lted_Palbo	#ACCC6B
MCF7_Lted_Tam-2d	Lted_Tam	#5F7A2A
MCF7_Lted_Tam-7d	Lted_Tam	#5F7A2A
MCF7_Tam-2d	Tam	#F36633
MCF7_TamR	TamR	#0B3241
MCF7_TamR_WM-2d	TamR_WM	#235367
MCF7_TamR_WM-7d	TamR_WM	#235367
MCF7_TamR_Fulv-2d	TamR_Fulv	#357F9C
MCF7_TamR_Fulv-7d	TamR_Fulv	#357F9C
MCF7_TamR_Palbo-2d	TamR_Palbo	#5CA9C7
MCF7_TamR_Palbo-7d	TamR_Palbo	#5CA9C7
MCF7_TamR_CDK7i-2d	TamR_CDK7i	#A3CFE0
MCF7_TamR_CDK7i-7d	TamR_CDK7i	#A3CFE0
MCF7_Fulv-2d	Fulv	#CF1F6B
MCF7_FulvR	FulvR	#E96DA3
MCF7-D538G_RM	D538G_RM	#C0990C
MCF7-D538G_WM-2d	D538G_WM	#F4D257
