primerid	lrstat	p.value	FDR	AUC	expressingFracPos	expressingFracNeg
AKIRIN1	14.4415122205576	0.000731249304683515	0.409674719030257	0.828571428571429	1	0.467
BMI1	15.7369141460358	0.000382624268299569	0.409674719030257	0.857142857142857	1	0.467
COMMD3	16.1463170279737	0.000311796909252215	0.409674719030257	0.857142857142857	1	0.467
CRIP1	15.3856857137797	0.000456079757525638	0.409674719030257	0.880952380952381	1	0.467
PPP2R2A	16.1463407929215	0.000311793204355591	0.409674719030257	0.795238095238095	1	0.4
SCO2	14.7026130388915	0.000641753349152647	0.409674719030257	0.828571428571429	0.714	0.067
SSBP4	14.4268036211535	0.000736646954867692	0.409674719030257	0.754761904761905	0.643	0.133
SYS1	14.796156364086	0.000612428607181288	0.409674719030257	0.792857142857143	0.786	0.133
ACBD6	13.3884271411481	0.00123805513450006	0.432091256350083	0.878571428571429	0.929	0.4
CLK3	11.4701090888308	0.00323070614656094	0.432091256350083	0.611904761904762	0.929	0.533
CNPY2	13.347236681985	0.00126381754499265	0.432091256350083	0.895238095238095	1	0.6
CSNK2B	11.5337736964434	0.00312948492641713	0.432091256350083	0.70952380952381	0.857	0.933
ECH1	11.4678422319283	0.00323436999678886	0.432091256350083	0.742857142857143	1	0.533
EIF1AX	12.3005787167562	0.00213286451852079	0.432091256350083	0.695238095238095	1	0.533
ERBB3	11.5190203056163	0.00315265553972889	0.432091256350083	0.885714285714286	1	0.8
ERGIC3	11.930713814679	0.00256612857380373	0.432091256350083	0.733333333333333	0.929	1
FBF1	11.9256845935077	0.00257258950784161	0.432091256350083	0.828571428571429	0.786	0.2
GADD45B	13.1918282665715	0.00136593769071343	0.432091256350083	0.838095238095238	0.929	0.333
GPRC5A	12.1946351054039	0.00224889217046348	0.432091256350083	0.823809523809524	0.857	0.267
GSDMD	11.662817351551	0.00293394109609884	0.432091256350083	0.647619047619048	0.571	0.6
IRF6	11.9595099255329	0.0025294460247537	0.432091256350083	0.871428571428571	1	0.6
LTBP3	12.4425573516331	0.00198670324303946	0.432091256350083	0.785714285714286	0.643	0.2
MAL2	12.6423120845375	0.00179786389774524	0.432091256350083	0.771428571428571	1	0.533
MRPS21	12.9550201587926	0.00153763450467233	0.432091256350083	0.814285714285714	1	0.533
NDRG1	13.7256164491854	0.00104597247879109	0.432091256350083	0.690476190476191	0.786	1
NDUFA3	11.4555565608359	0.00325429934847127	0.432091256350083	0.628571428571429	0.5	0.467
PAK4	11.7142063673188	0.00285951518670045	0.432091256350083	0.666666666666667	0.643	0.6
RPL24	12.5448122212932	0.00188768114488387	0.432091256350083	0.790476190476191	0.929	1
SCRN1	11.7665245495445	0.00278568277304432	0.432091256350083	0.823809523809524	0.786	0.2
SLC37A1	12.6689132690387	0.00177410956664421	0.432091256350083	0.8	1	0.533
SSBP1	12.4850749034039	0.00194491413055355	0.432091256350083	0.804761904761905	1	0.533
TBCA	11.739764081863	0.00282320633716423	0.432091256350083	0.880952380952381	0.929	0.6
TMA7	12.0577731328536	0.00240817382801571	0.432091256350083	0.8	1	0.667
TMEM183A	11.826653377617	0.00270317927668783	0.432091256350083	0.761904761904762	1	0.533
ZMIZ2	11.4832832050043	0.00320949523296623	0.432091256350083	0.685714285714286	0.571	0.4
ZNF398	12.0431815492716	0.00242580761084717	0.432091256350083	0.695238095238095	0.857	0.333
C4orf34	11.2535070281682	0.00360024451827321	0.435795441104894	0.75	0.643	0.133
DFNB31	11.2095199957833	0.00368030371892008	0.435795441104894	0.785714285714286	0.714	0.133
ERRFI1	11.3401209257624	0.00344765681453678	0.435795441104894	0.673809523809524	0.5	0.267
NDUFB11	11.2074584786144	0.0036840991793374	0.435795441104894	0.790476190476191	1	0.6
REEP5	11.319344472384	0.00348365852829386	0.435795441104894	0.771428571428571	1	0.733
SYBU	11.2866800756913	0.00354102148687693	0.435795441104894	0.771428571428571	0.714	0.133
CUTA	11.0746465375721	0.00393705117438181	0.437559347843332	0.814285714285714	0.929	0.467
HBXIP	11.1288249982086	0.0038318310882785	0.437559347843332	0.702380952380952	0.786	0.8
MYL6	11.0589711865973	0.00396802974527461	0.437559347843332	0.780952380952381	1	1
UBL7	11.1070663850082	0.00387374634456928	0.437559347843332	0.680952380952381	0.714	0.267
ABCA3	10.938737774021	0.00421389076016458	0.44218666589727	0.8	0.714	0.133
TPD52	10.9497258210394	0.00419080302561526	0.44218666589727	0.785714285714286	1	0.667
ATPAF1	10.875568436892	0.00434910927835085	0.444203876865159	0.728571428571429	1	0.6
FKBP5	10.8661373269733	0.0043696661726668	0.444203876865159	0.804761904761905	0.786	0.2
CBWD3	10.8101463938368	0.00449372546228887	0.448273981571884	0.771428571428571	0.714	0.133
NSMCE1	10.7611897095483	0.00460508176020158	0.448273981571884	0.835714285714286	0.929	0.4
PON2	10.7562763102622	0.0046164089709985	0.448273981571884	0.8	0.786	0.2
CLK2	10.5921920350695	0.00501111909018424	0.479446188246157	0.619047619047619	0.929	0.467
TRAPPC4	10.5531898982343	0.00510980033396936	0.481802332939198	0.728571428571429	0.786	0.733
SIRT2	10.5198189598199	0.0051957750194417	0.482910175378395	0.807142857142857	0.929	0.4
EIF4EBP2	10.4740938588268	0.00531593200197849	0.487119064857353	0.757142857142857	1	0.733
SH3GLB2	10.4204063743277	0.00546056405838924	0.488200912403188	0.635714285714286	0.5	0.4
SOX4	10.4140978359944	0.00547781534052148	0.488200912403188	0.80952380952381	0.929	0.467
COX7A2L	10.3405047605076	0.00568313432732458	0.492992959114316	0.769047619047619	0.786	0.667
DCTN1	10.2630666004301	0.0059074955616271	0.4991450145967	0.785714285714286	0.857	0.333
ABRACL	10.1980220344803	0.0061027791253172	0.509034371657868	0.697619047619048	0.643	0.533
DPM2	10.1287182206347	0.00631795872012294	0.520311891558479	0.738095238095238	1	0.6
ABHD15	8.70427268133936	0.0128792686639186	0.524164603619136	0.783333333333333	0.786	0.267
ANXA5	7.51607303129052	0.0233295025467951	0.524164603619136	0.671428571428571	1	0.733
AP1G1	7.94048324960808	0.0188688733964639	0.524164603619136	0.833333333333333	0.857	0.4
AP3S2	7.31690952352091	0.0257723063264023	0.524164603619136	0.661904761904762	0.571	0.467
APLP2	7.46916840255703	0.0238830995667405	0.524164603619136	0.80952380952381	0.929	0.733
APPL2	8.24814889204944	0.0161784617002029	0.524164603619136	0.692857142857143	0.786	0.267
ARFGAP3	8.42072648058113	0.0148409765182602	0.524164603619136	0.614285714285714	0.857	0.467
ARHGDIA	7.16347254292008	0.027827340469208	0.524164603619136	0.719047619047619	0.714	0.733
ARPC4	7.47922443849266	0.0237633163015496	0.524164603619136	0.804761904761905	0.786	0.467
ARPC5L	7.82696273876308	0.0199708539788511	0.524164603619136	0.754761904761905	0.786	0.533
ATP1B1	8.84455555176831	0.0120068521953329	0.524164603619136	0.783333333333333	0.929	0.533
ATP2B4	8.93667623517276	0.0114663557600641	0.524164603619136	0.828571428571429	0.857	0.4
ATP6V1C1	8.1631276057256	0.0168810463721722	0.524164603619136	0.785714285714286	0.857	0.4
ATP6V1F	8.60231678990429	0.0135528503621004	0.524164603619136	0.69047619047619	0.714	0.6
ATP6V1G1	7.16457927645294	0.02781194600358	0.524164603619136	0.747619047619048	1	0.867
BAIAP2L1	8.36883232376844	0.0152310958408291	0.524164603619136	0.757142857142857	0.643	0.333
BANF1	8.48868679506228	0.0143451496480741	0.524164603619136	0.771428571428571	0.857	0.867
BOD1	8.25394840378246	0.0161316160642559	0.524164603619136	0.776190476190476	0.714	0.4
BOK	8.55843093968558	0.0138535263334499	0.524164603619136	0.759523809523809	0.643	0.133
BRP44L	7.69549689601861	0.0213277028504881	0.524164603619136	0.819047619047619	0.786	0.333
BSCL2	7.19143576488102	0.0274409767080695	0.524164603619136	0.626190476190476	0.643	0.8
C10orf76	8.52043087212551	0.0141192602846392	0.524164603619136	0.704761904761905	0.714	0.267
C15orf44	7.71931396522385	0.0210752274527917	0.524164603619136	0.671428571428571	0.571	0.2
C17orf28	7.91501708226235	0.019110668471824	0.524164603619136	0.780952380952381	0.714	0.4
C22orf39	7.762263537285	0.0206274664461657	0.524164603619136	0.652380952380952	0.571	0.2
C6orf89	6.93938150251153	0.0311266550518058	0.524164603619136	0.742857142857143	0.786	0.333
C9orf89	7.92285354361261	0.0190359349715545	0.524164603619136	0.683333333333333	0.929	0.533
CA12	9.45392323039183	0.00885333003853141	0.524164603619136	0.785714285714286	1	0.667
CAPG	9.24758979996927	0.00981547654227428	0.524164603619136	0.790476190476191	0.714	0.2
CBWD2	7.33257798768544	0.0255711889261746	0.524164603619136	0.704761904761905	0.643	0.2
CCND3	7.09778401521552	0.0287564839748209	0.524164603619136	0.638095238095238	1	0.733
CCT8	6.87934859353618	0.0320751306004394	0.524164603619136	0.752380952380952	0.857	0.667
CDCP1	8.46191131597761	0.0145384900832356	0.524164603619136	0.830952380952381	0.786	0.4
CDR2L	6.97717046513901	0.0305440543509351	0.524164603619136	0.728571428571429	0.714	0.267
CEACAM6	7.18688768029288	0.027503449655835	0.524164603619136	0.819047619047619	0.857	0.4
CENPB	8.7713395774876	0.0124545434270525	0.524164603619136	0.69047619047619	0.571	0.333
CETN2	8.58473427477388	0.0136725222227035	0.524164603619136	0.8	0.857	0.4
CHCHD3	7.30254865653342	0.0259580286433672	0.524164603619136	0.752380952380952	0.643	0.2
CHP1	7.65283026008924	0.0217875814438181	0.524164603619136	0.766666666666667	0.857	0.867
CIAO1	8.66454931999623	0.0131376298356763	0.524164603619136	0.823809523809524	0.857	0.533
CITED2	8.05766058590411	0.0177951328769698	0.524164603619136	0.738095238095238	0.929	0.467
CLDN4	7.09969059385981	0.028729083787933	0.524164603619136	0.8	0.857	0.533
CLTB	7.67178951000677	0.0215820192087916	0.524164603619136	0.766666666666667	0.786	0.333
CNBP	7.92203409945902	0.019043736012385	0.524164603619136	0.723809523809524	0.929	1
COMMD9	9.20701403344726	0.0100166455309754	0.524164603619136	0.785714285714286	0.929	0.467
COPS6	9.0261187146514	0.0109648633746111	0.524164603619136	0.752380952380952	0.929	0.733
COX4I1	9.6944081377572	0.00785029578029958	0.524164603619136	0.792857142857143	0.929	0.933
CRABP2	8.28092387889246	0.0159154978099168	0.524164603619136	0.754761904761905	0.786	0.267
CREB3	8.26030395604652	0.016080434764183	0.524164603619136	0.790476190476191	0.857	0.4
CXorf40B	7.71565350013771	0.0211138353398568	0.524164603619136	0.742857142857143	0.643	0.333
CYTH2	7.72279673131089	0.0210385593449438	0.524164603619136	0.75	0.929	0.667
