GSM1253375	GSM1253376	GSM1253377	GSM1253378	GSM1253379	GSM1253380	GSM1253381	GSM1253382	GSM1253383	GSM1253384	GSM1253385	GSM1253386	GSM1253387	GSM1253388	GSM1253389	GSM1253390	GSM1253391	GSM1253392	GSM1253393	GSM1253394	GSM1253395	GSM1253396	GSM1253397	GSM1253398	GSM1253399	GSM1253400	GSM1253401	GSM1253402	GSM1253403
A1BG	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	17	0	1	9	0	0	1	48	0	1
A1BG-AS1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	35	0	0	15	17	0	0	9	0	0
A1CF	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2LD1	0	1	3	1	0	0	0	1	7	1	0	1	1	0	0	0	1	4	0	29	575	25	58	151	0	3	551	4	0
A2M	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0
A2ML1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
A4GALT	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	9	0	0
AAAS	3	0	0	25	5	0	0	0	0	0	0	0	0	1	3	0	0	83	0	603	0	0	204	0	1	8441	588	0	14
AACS	9	0	0	0	3	0	2	1	2	0	0	0	1	0	1	0	0	26	1463	378	86	3	19	1	1	3140	258	8	1
AACSP1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14	70	84	34	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	14	9	0	0	8	0	0
AAK1	0	1	4	77	4	0	1	6	1	0	77	75	0	0	4	11	0	1	0	2356	0	21	24	77	0	1	436	9	0
AAMP	0	0	0	18	0	0	1	0	0	0	0	0	1	1	0	0	0	9	35	17	71	41	22	0	1	53	61	0	120
AARD	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	161	0	0	9	0	0	0	0	0	0
AARS	13	0	0	600	7	0	2	2	1	0	0	0	27	5	0	1	3	1019	1	2473	2333	375	555	536	46	10395	3175	13937	7979
AARS2	1	0	0	1	1	0	1	0	1	0	0	0	0	21	0	1	0	82	1	92	0	2	23	0	0	0	4	0	2
AARSD1	0	0	0	2	0	0	1	0	1	0	0	0	1	4	0	1	1	0	227	181	1732	0	304	6	1110	0	93	2	0
AASDH	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	19	0	0	0	0
AASDHPPT	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	864	0	1	0	1	0	0	1	62	0	0
AASS	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	8	0	0	0
AATF	14	1	0	5	2	1	0	0	5	1	0	29	0	0	0	3	1	0	284	356	0	891	137	601	1203	110	81	0	0
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	710	0	0	7	0	0	0	0	1	139	0	0	0	0
ABAT	0	1	1	0	0	0	0	0	0	1	2	1	0	1	0	1368	1	130	0	0	0	1	390	117	0	0	10	0	0
ABCA1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA10	0	0	0	0	0	0	0	0	0	0	3	99	0	0	0	0	0	0	0	0	0	0	0	0	0	2	124	0	1
ABCA11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	22	0	0	0	0	0	0
ABCA12	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	15	0	0	0	0	0
ABCA13	0	5	0	0	0	10	1	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P	0	0	0	0	0	0	2	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA2	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	2	7	61	0	2	0	3	1	48	122	0	0
ABCA3	118	0	0	0	0	0	0	0	1	0	0	27	0	152	0	0	0	0	693	237	0	37	128	33	317	119	85	0	0
ABCA4	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	18	36	0	0	0	0	0
ABCA5	0	2	0	0	1	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	1	2	31	0	0	0	0	0	0
ABCA6	1	3	1	0	0	0	0	3	2	2	63	27	1166	0	748	1735	2	0	0	0	0	1	0	0	0	1137	368	0	5
ABCA7	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	3	2	3	0	0	0	0	0	0	0	0	0	0	0
ABCA8	0	2	4	0	6	1	8	9	5	5	3	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1
ABCA9	0	0	0	0	2	0	0	0	1	0	0	0	0	0	30	149	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10	0	0	0	3	5	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	47	0	39	0	0	0	1	0	0
ABCB11	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0	1	0	1	0	0	0	2	0	0	0	1	1	0	0	2	0	0	0	1	0	1	0	0	2	2	0	0	0
ABCB6	9	2	103	87	2	7986	3	4	3	2	1649	65376	18	6538	289	2339	0	2090	131	52	1529	636	568	1	85	12	2650	3	4258
ABCB7	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	235	0	0	1	0	0	0	794	39	0
ABCB8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	66	9	2	12	0	100	0	44	0	0
ABCB9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	1	0	0	6	0	0	0	0	0	1	47	0	1
ABCC1	0	1	0	0	0	3395	0	0	1	0	1	301	2	0	14	891	0	0	17	0	0	7	15	0	0	0	1	0	14
ABCC10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	92	1	407	303	109	0	0
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	141	0	0	0	0	0
ABCC13	0	3	14	598	1	1	1	0	0	2	2	12	5	2	0	0	1	1138	198	0	0	0	0	4	547	0	0	0	0
