gs_name	gene	species
chang-2022_DTP_Mesenchymal_all-up	AASS	human
chang-2022_DTP_Mesenchymal_all-up	ABCA1	human
chang-2022_DTP_Mesenchymal_all-up	ABCA4	human
chang-2022_DTP_Mesenchymal_all-up	ABCB1	human
chang-2022_DTP_Mesenchymal_all-up	ABHD4	human
chang-2022_DTP_Mesenchymal_all-up	ABLIM3	human
chang-2022_DTP_Mesenchymal_all-up	ABTB1	human
chang-2022_DTP_Mesenchymal_all-up	ACAA2	human
chang-2022_DTP_Mesenchymal_all-up	ACHE	human
chang-2022_DTP_Mesenchymal_all-up	ACKR3	human
chang-2022_DTP_Mesenchymal_all-up	ACSL4	human
chang-2022_DTP_Mesenchymal_all-up	ACTA1	human
chang-2022_DTP_Mesenchymal_all-up	ACTA2	human
chang-2022_DTP_Mesenchymal_all-up	ACTA2-AS1	human
chang-2022_DTP_Mesenchymal_all-up	ACTBL2	human
chang-2022_DTP_Mesenchymal_all-up	ACTG2	human
chang-2022_DTP_Mesenchymal_all-up	ACTN1	human
chang-2022_DTP_Mesenchymal_all-up	ADAMTS1	human
chang-2022_DTP_Mesenchymal_all-up	ADAMTS6	human
chang-2022_DTP_Mesenchymal_all-up	ADGRF1	human
chang-2022_DTP_Mesenchymal_all-up	ADGRF4	human
chang-2022_DTP_Mesenchymal_all-up	ADGRL2	human
chang-2022_DTP_Mesenchymal_all-up	ADM	human
chang-2022_DTP_Mesenchymal_all-up	AFAP1L2	human
chang-2022_DTP_Mesenchymal_all-up	AHNAK2	human
chang-2022_DTP_Mesenchymal_all-up	AKAP12	human
chang-2022_DTP_Mesenchymal_all-up	AKR1C1	human
chang-2022_DTP_Mesenchymal_all-up	AKR1C3	human
chang-2022_DTP_Mesenchymal_all-up	ALDH1A3	human
chang-2022_DTP_Mesenchymal_all-up	ALOX5	human
chang-2022_DTP_Mesenchymal_all-up	ALOX5AP	human
chang-2022_DTP_Mesenchymal_all-up	ALPP	human
chang-2022_DTP_Mesenchymal_all-up	ALPPL2	human
chang-2022_DTP_Mesenchymal_all-up	ALS2CL	human
chang-2022_DTP_Mesenchymal_all-up	AMY2B	human
chang-2022_DTP_Mesenchymal_all-up	AMZ2P1	human
chang-2022_DTP_Mesenchymal_all-up	ANKRD1	human
chang-2022_DTP_Mesenchymal_all-up	ANKRD37	human
chang-2022_DTP_Mesenchymal_all-up	ANO6	human
chang-2022_DTP_Mesenchymal_all-up	ANOS1	human
chang-2022_DTP_Mesenchymal_all-up	ANTXR2	human
chang-2022_DTP_Mesenchymal_all-up	ANXA1	human
chang-2022_DTP_Mesenchymal_all-up	ANXA2	human
chang-2022_DTP_Mesenchymal_all-up	ANXA2P2	human
chang-2022_DTP_Mesenchymal_all-up	ANXA3	human
chang-2022_DTP_Mesenchymal_all-up	ANXA8	human
chang-2022_DTP_Mesenchymal_all-up	ANXA8L1	human
chang-2022_DTP_Mesenchymal_all-up	APLF	human
chang-2022_DTP_Mesenchymal_all-up	APOE	human
chang-2022_DTP_Mesenchymal_all-up	ARHGAP28	human
chang-2022_DTP_Mesenchymal_all-up	ARHGAP6	human
chang-2022_DTP_Mesenchymal_all-up	ARHGEF10L	human
chang-2022_DTP_Mesenchymal_all-up	ARL15	human
chang-2022_DTP_Mesenchymal_all-up	ARRDC3	human
chang-2022_DTP_Mesenchymal_all-up	ARSI	human
chang-2022_DTP_Mesenchymal_all-up	ATF3	human
chang-2022_DTP_Mesenchymal_all-up	ATG9B	human
chang-2022_DTP_Mesenchymal_all-up	ATP10D	human
chang-2022_DTP_Mesenchymal_all-up	BDH2	human
chang-2022_DTP_Mesenchymal_all-up	BDKRB2	human
chang-2022_DTP_Mesenchymal_all-up	BDNF	human
chang-2022_DTP_Mesenchymal_all-up	BEX2	human
chang-2022_DTP_Mesenchymal_all-up	BFSP1	human
chang-2022_DTP_Mesenchymal_all-up	BLNK	human
chang-2022_DTP_Mesenchymal_all-up	BMF	human
chang-2022_DTP_Mesenchymal_all-up	BMP3	human
chang-2022_DTP_Mesenchymal_all-up	BPGM	human
chang-2022_DTP_Mesenchymal_all-up	BTG1	human
chang-2022_DTP_Mesenchymal_all-up	BTN3A1	human
chang-2022_DTP_Mesenchymal_all-up	BTN3A2	human
chang-2022_DTP_Mesenchymal_all-up	BTN3A3	human
chang-2022_DTP_Mesenchymal_all-up	C10orf10	human
chang-2022_DTP_Mesenchymal_all-up	C10orf54	human
chang-2022_DTP_Mesenchymal_all-up	C10orf67	human
chang-2022_DTP_Mesenchymal_all-up	C14orf132	human
chang-2022_DTP_Mesenchymal_all-up	C14orf37	human
chang-2022_DTP_Mesenchymal_all-up	C15orf48	human
chang-2022_DTP_Mesenchymal_all-up	C16orf45	human
chang-2022_DTP_Mesenchymal_all-up	C1QTNF1	human
chang-2022_DTP_Mesenchymal_all-up	C5orf46	human
chang-2022_DTP_Mesenchymal_all-up	C8orf4	human
chang-2022_DTP_Mesenchymal_all-up	CA11	human
chang-2022_DTP_Mesenchymal_all-up	CALCOCO1	human
chang-2022_DTP_Mesenchymal_all-up	CALD1	human
chang-2022_DTP_Mesenchymal_all-up	CAPN6	human
chang-2022_DTP_Mesenchymal_all-up	CARD6	human
chang-2022_DTP_Mesenchymal_all-up	CASP10	human
chang-2022_DTP_Mesenchymal_all-up	CASP4	human
chang-2022_DTP_Mesenchymal_all-up	CAV1	human
chang-2022_DTP_Mesenchymal_all-up	CAV2	human
chang-2022_DTP_Mesenchymal_all-up	CCDC28A	human
chang-2022_DTP_Mesenchymal_all-up	CCDC80	human
chang-2022_DTP_Mesenchymal_all-up	CCDC81	human
chang-2022_DTP_Mesenchymal_all-up	CCDC82	human
chang-2022_DTP_Mesenchymal_all-up	CCDC85A	human
chang-2022_DTP_Mesenchymal_all-up	CCNG2	human
chang-2022_DTP_Mesenchymal_all-up	CCPG1	human
chang-2022_DTP_Mesenchymal_all-up	CCR3	human
chang-2022_DTP_Mesenchymal_all-up	CD200	human
chang-2022_DTP_Mesenchymal_all-up	CD22	human
chang-2022_DTP_Mesenchymal_all-up	CD44	human
chang-2022_DTP_Mesenchymal_all-up	CD55	human
chang-2022_DTP_Mesenchymal_all-up	CD59	human
chang-2022_DTP_Mesenchymal_all-up	CDC14A	human
chang-2022_DTP_Mesenchymal_all-up	CDC42EP3	human
chang-2022_DTP_Mesenchymal_all-up	CDH5	human
chang-2022_DTP_Mesenchymal_all-up	CDK6	human
chang-2022_DTP_Mesenchymal_all-up	CDKN2B	human
chang-2022_DTP_Mesenchymal_all-up	CDON	human
chang-2022_DTP_Mesenchymal_all-up	CEBPD	human
chang-2022_DTP_Mesenchymal_all-up	CFB	human
chang-2022_DTP_Mesenchymal_all-up	CGA	human
chang-2022_DTP_Mesenchymal_all-up	CHI3L1	human
chang-2022_DTP_Mesenchymal_all-up	CHMP1B	human
chang-2022_DTP_Mesenchymal_all-up	CLEC1A	human
chang-2022_DTP_Mesenchymal_all-up	CLEC7A	human
chang-2022_DTP_Mesenchymal_all-up	CLIC5	human
chang-2022_DTP_Mesenchymal_all-up	CLIP4	human
chang-2022_DTP_Mesenchymal_all-up	CLSTN2	human
chang-2022_DTP_Mesenchymal_all-up	CLU	human
chang-2022_DTP_Mesenchymal_all-up	CMAHP	human
chang-2022_DTP_Mesenchymal_all-up	CNN1	human
chang-2022_DTP_Mesenchymal_all-up	COL12A1	human
chang-2022_DTP_Mesenchymal_all-up	COL14A1	human
chang-2022_DTP_Mesenchymal_all-up	COL17A1	human
chang-2022_DTP_Mesenchymal_all-up	COL3A1	human
chang-2022_DTP_Mesenchymal_all-up	COL4A1	human
chang-2022_DTP_Mesenchymal_all-up	COL4A2	human
chang-2022_DTP_Mesenchymal_all-up	COL4A3	human
chang-2022_DTP_Mesenchymal_all-up	COL4A4	human
chang-2022_DTP_Mesenchymal_all-up	COL5A1	human
chang-2022_DTP_Mesenchymal_all-up	CP	human
chang-2022_DTP_Mesenchymal_all-up	CPQ	human
chang-2022_DTP_Mesenchymal_all-up	CPVL	human
chang-2022_DTP_Mesenchymal_all-up	CREBRF	human
chang-2022_DTP_Mesenchymal_all-up	CRIM1	human
chang-2022_DTP_Mesenchymal_all-up	CROT	human
chang-2022_DTP_Mesenchymal_all-up	CSF1R	human
chang-2022_DTP_Mesenchymal_all-up	CSRP1	human
chang-2022_DTP_Mesenchymal_all-up	CST6	human
chang-2022_DTP_Mesenchymal_all-up	CTGF	human
chang-2022_DTP_Mesenchymal_all-up	CTSF	human
chang-2022_DTP_Mesenchymal_all-up	CTSL	human
chang-2022_DTP_Mesenchymal_all-up	CTSO	human
chang-2022_DTP_Mesenchymal_all-up	CTSS	human
chang-2022_DTP_Mesenchymal_all-up	CTTNBP2NL	human
chang-2022_DTP_Mesenchymal_all-up	CX3CR1	human
chang-2022_DTP_Mesenchymal_all-up	CYP19A1	human
chang-2022_DTP_Mesenchymal_all-up	CYP1A1	human
chang-2022_DTP_Mesenchymal_all-up	CYP1A2	human
chang-2022_DTP_Mesenchymal_all-up	CYP24A1	human
chang-2022_DTP_Mesenchymal_all-up	CYP26A1	human
chang-2022_DTP_Mesenchymal_all-up	CYR61	human
chang-2022_DTP_Mesenchymal_all-up	CYTH1	human
chang-2022_DTP_Mesenchymal_all-up	CYTH3	human
chang-2022_DTP_Mesenchymal_all-up	DACT1	human
chang-2022_DTP_Mesenchymal_all-up	DAPP1	human
chang-2022_DTP_Mesenchymal_all-up	DCDC2	human
chang-2022_DTP_Mesenchymal_all-up	DCLK2	human
chang-2022_DTP_Mesenchymal_all-up	DCLK3	human
chang-2022_DTP_Mesenchymal_all-up	DDIT3	human
chang-2022_DTP_Mesenchymal_all-up	DDX58	human
chang-2022_DTP_Mesenchymal_all-up	DENND3	human
chang-2022_DTP_Mesenchymal_all-up	DEPTOR	human
chang-2022_DTP_Mesenchymal_all-up	DHRS3	human
chang-2022_DTP_Mesenchymal_all-up	DIRC2	human
chang-2022_DTP_Mesenchymal_all-up	DISC1	human
chang-2022_DTP_Mesenchymal_all-up	DNAH5	human
chang-2022_DTP_Mesenchymal_all-up	DNAJC12	human
chang-2022_DTP_Mesenchymal_all-up	DQX1	human
chang-2022_DTP_Mesenchymal_all-up	DSE	human
chang-2022_DTP_Mesenchymal_all-up	DTX3L	human
chang-2022_DTP_Mesenchymal_all-up	DYNLT3	human
chang-2022_DTP_Mesenchymal_all-up	EDIL3	human
chang-2022_DTP_Mesenchymal_all-up	EDN1	human
chang-2022_DTP_Mesenchymal_all-up	EDN2	human
chang-2022_DTP_Mesenchymal_all-up	EDNRB	human
chang-2022_DTP_Mesenchymal_all-up	EFNA1	human
chang-2022_DTP_Mesenchymal_all-up	EFNB2	human
chang-2022_DTP_Mesenchymal_all-up	ENPP5	human
chang-2022_DTP_Mesenchymal_all-up	ENTPD3	human
chang-2022_DTP_Mesenchymal_all-up	EPHB2	human
chang-2022_DTP_Mesenchymal_all-up	EPOR	human
chang-2022_DTP_Mesenchymal_all-up	ERP27	human
chang-2022_DTP_Mesenchymal_all-up	ERV3-1	human
chang-2022_DTP_Mesenchymal_all-up	EVA1A	human
chang-2022_DTP_Mesenchymal_all-up	EXT1	human
chang-2022_DTP_Mesenchymal_all-up	F3	human
chang-2022_DTP_Mesenchymal_all-up	FAM107B	human
chang-2022_DTP_Mesenchymal_all-up	FAM134B	human
chang-2022_DTP_Mesenchymal_all-up	FAM167A	human
chang-2022_DTP_Mesenchymal_all-up	FAM189A2	human
chang-2022_DTP_Mesenchymal_all-up	FAM228B	human
chang-2022_DTP_Mesenchymal_all-up	FAM83B	human
chang-2022_DTP_Mesenchymal_all-up	FANK1	human
chang-2022_DTP_Mesenchymal_all-up	FAT3	human
chang-2022_DTP_Mesenchymal_all-up	FBLIM1	human
chang-2022_DTP_Mesenchymal_all-up	FBN1	human
chang-2022_DTP_Mesenchymal_all-up	FBN2	human
chang-2022_DTP_Mesenchymal_all-up	FBXO32	human
chang-2022_DTP_Mesenchymal_all-up	FER1L6	human
chang-2022_DTP_Mesenchymal_all-up	FERMT2	human
chang-2022_DTP_Mesenchymal_all-up	FGF1	human
chang-2022_DTP_Mesenchymal_all-up	FHL1	human
chang-2022_DTP_Mesenchymal_all-up	FHL2	human
chang-2022_DTP_Mesenchymal_all-up	FILIP1L	human
chang-2022_DTP_Mesenchymal_all-up	FLNC	human
chang-2022_DTP_Mesenchymal_all-up	FLT1	human
chang-2022_DTP_Mesenchymal_all-up	FMNL2	human
chang-2022_DTP_Mesenchymal_all-up	FMO3	human
chang-2022_DTP_Mesenchymal_all-up	FMO5	human
chang-2022_DTP_Mesenchymal_all-up	FN1	human
chang-2022_DTP_Mesenchymal_all-up	FOXC1	human
chang-2022_DTP_Mesenchymal_all-up	FOXO1	human
chang-2022_DTP_Mesenchymal_all-up	FOXO4	human
chang-2022_DTP_Mesenchymal_all-up	FPR3	human
chang-2022_DTP_Mesenchymal_all-up	FRAS1	human
chang-2022_DTP_Mesenchymal_all-up	FSCN1	human
chang-2022_DTP_Mesenchymal_all-up	FSIP2	human
chang-2022_DTP_Mesenchymal_all-up	FSTL1	human
chang-2022_DTP_Mesenchymal_all-up	FTL	human
chang-2022_DTP_Mesenchymal_all-up	FYB	human
chang-2022_DTP_Mesenchymal_all-up	FZD2	human
chang-2022_DTP_Mesenchymal_all-up	GAB2	human
chang-2022_DTP_Mesenchymal_all-up	GABARAPL1	human
chang-2022_DTP_Mesenchymal_all-up	GABBR2	human
chang-2022_DTP_Mesenchymal_all-up	GABRP	human
chang-2022_DTP_Mesenchymal_all-up	GABRR2	human
chang-2022_DTP_Mesenchymal_all-up	GADD45A	human
chang-2022_DTP_Mesenchymal_all-up	GADD45B	human
chang-2022_DTP_Mesenchymal_all-up	GALC	human
chang-2022_DTP_Mesenchymal_all-up	GAS5	human
chang-2022_DTP_Mesenchymal_all-up	GBP1	human
chang-2022_DTP_Mesenchymal_all-up	GBP2	human
