ID	Sample	Treatment
HCI002_Org_Doc1	HCI002_Org	docetaxel
HCI002_Org_Doc2	HCI002_Org	docetaxel
HCI002_Org_Veh1	HCI002_Org	vehicle
HCI002_Org_Veh2	HCI002_Org	vehicle
HCI003_Org_Doc1	HCI003_Org	docetaxel
HCI003_Org_Doc2	HCI003_Org	docetaxel
HCI003_Org_Doc3	HCI003_Org	docetaxel
HCI003_Org_Veh1	HCI003_Org	vehicle
HCI003_Org_Veh2	HCI003_Org	vehicle
HCI003_Org_Veh3	HCI003_Org	vehicle
HCI003_PDX_Afa1	HCI003_PDX	afatinib
HCI003_PDX_Afa4	HCI003_PDX	afatinib
HCI003_PDX_Afa5	HCI003_PDX	afatinib
HCI003_PDX_Veh1	HCI003_PDX	vehicle
HCI003_PDX_Veh2	HCI003_PDX	vehicle
HCI003_PDX_Veh4	HCI003_PDX	vehicle
HCI009_Org_DocWash1	HCI009_Org	docetaxel_washout
HCI009_Org_DocWash2	HCI009_Org	docetaxel_washout
HCI009_Org_Veh1	HCI009_Org	vehicle
HCI009_Org_Veh2	HCI009_Org	vehicle
HCI009_Org_Veh3	HCI009_Org	vehicle
HCI009_Org_DocWash3	HCI009_Org	docetaxel_washout
HCI011_Org_DocWash3	HCI0011_Org	docetaxel_washout
HCI011_Org_Veh1	HCI0011_Org	vehicle
HCI011_Org_Veh2	HCI0011_Org	vehicle
HCI011_Org_Veh3	HCI0011_Org	vehicle
HCI011_Org_DocWash1	HCI0011_Org	docetaxel_washout
HCI011_Org_DocWash2	HCI0011_Org	docetaxel_washout
MDAMB231_Org_Doc1	MDAMB231_Org	docetaxel
MDAMB231_Org_Doc2	MDAMB231_Org	docetaxel
MDAMB231_Org_Doc3	MDAMB231_Org	docetaxel
MDAMB231_Org_Veh1	MDAMB231_Org	vehicle
MDAMB231_Org_Veh2	MDAMB231_Org	vehicle
MDAMB231_Org_Veh3	MDAMB231_Org	vehicle
PM154_Org_Doc1	PM154_Org	docetaxel
PM154_Org_Doc2	PM154_Org	docetaxel
PM154_Org_Doc3	PM154_Org	docetaxel
PM154_Org_Veh1	PM154_Org	vehicle
PM154_Org_Veh2	PM154_Org	vehicle
PM154_Org_Veh3	PM154_Org	vehicle
PrCa1_Org_A_Veh1	PrCa1_Org_A	vehicle
PrCa1_Org_A_Veh2	PrCa1_Org_A	vehicle
PrCa1_Org_A_Veh3	PrCa1_Org_A	vehicle
PrCa1_Org_B_Veh1	PrCa1_Org_B	vehicle
PrCa1_Org_B_Veh2	PrCa1_Org_B	vehicle
PrCa1_Org_B_Veh3	PrCa1_Org_B	vehicle
PrCa1_Org_Doc1	PrCa1_Org	docetaxel
PrCa1_Org_Doc2	PrCa1_Org	docetaxel
PrCa1_Org_Doc3	PrCa1_Org	docetaxel
PrCa1_Xeno_Veh1	PrCa1_Xeno	vehicle
PrCa1_Xeno_Veh2	PrCa1_Xeno	vehicle
PrCa1_Xeno_Veh3	PrCa1_Xeno	vehicle
PrCa1_Xeno_Vinb1	PrCa1_Xeno	vinblastine
PrCa1_Xeno_Vinb2	PrCa1_Xeno	vinblastine
PrCa1_Xeno_Vinb3	PrCa1_Xeno	vinblastine
PrCa3_Org_Doc1	PrCa3_Org	docetaxel
PrCa3_Org_Doc2	PrCa3_Org	docetaxel
PrCa3_Org_Doc3	PrCa3_Org	docetaxel
PrCa3_Org_Veh1	PrCa3_Org	vehicle
PrCa3_Org_Veh2	PrCa3_Org	vehicle
PrCa3_Org_Veh3	PrCa3_Org	vehicle
PrCa7_Org_Doc1	PrCa7_Org	docetaxel
PrCa7_Org_Doc2	PrCa7_Org	docetaxel
PrCa7_Org_Doc3	PrCa7_Org	docetaxel
PrCa7_Org_Veh1	PrCa7_Org	vehicle
PrCa7_Org_Veh2	PrCa7_Org	vehicle
PrCa7_Org_Veh3	PrCa7_Org	vehicle
PrCa7_Org_DocWash1	PrCa7_Org	docetaxel_washout
PrCa7_Org_DocWash2	PrCa7_Org	docetaxel_washout
PrCa7_Org_DocWash3	PrCa7_Org	docetaxel_washout
