gs_name	gene	species
sammut-2022_higher-pCR	BUB1B	human
sammut-2022_higher-pCR	CCNE1	human
sammut-2022_higher-pCR	CDK6	human
sammut-2022_higher-pCR	CDKN2A	human
sammut-2022_higher-pCR	EGFR	human
sammut-2022_higher-pCR	MYC	human
sammut-2022_higher-pCR	NOTCH1	human
sammut-2022_higher-pCR	Ccne1	mouse
sammut-2022_higher-pCR	Cdk6	mouse
sammut-2022_higher-pCR	Egfr	mouse
sammut-2022_higher-pCR	Myc	mouse
sammut-2022_higher-pCR	Notch1	mouse
sammut-2022_higher-RD	CCND1	human
sammut-2022_higher-RD	ESR1	human
sammut-2022_higher-RD	FGFR2	human
sammut-2022_higher-RD	GATA3	human
sammut-2022_higher-RD	IGF1R	human
sammut-2022_higher-RD	TBX3	human
sammut-2022_higher-RD	XBP1	human
sammut-2022_higher-RD	ZNF703	human
sammut-2022_higher-RD	Ccnd1	mouse
sammut-2022_higher-RD	Esr1	mouse
sammut-2022_higher-RD	Fgfr2	mouse
sammut-2022_higher-RD	Gata3	mouse
sammut-2022_higher-RD	Igf1r	mouse
sammut-2022_higher-RD	Tbx3	mouse
sammut-2022_higher-RD	Xbp1	mouse
sammut-2022_higher-RD	Zfp703	mouse
