logFC	AveExpr	t	P.Value	adj.P.Val	B
RRM2	-1.17823584156474	7.81924403073114	-12.3290863697425	3.23975064037063e-15	4.6030377098386e-11	24.0561452024095
NEK2	-1.33079377966599	5.85289470957463	-11.6691910632037	1.8364534083724e-14	1.30461650130776e-10	22.4513508476285
TOP2A	-1.8066052456392	6.69839542051331	-11.2262939345366	6.07030580229739e-14	2.87489682796804e-10	21.3389940377192
PRC1	-1.1243852888594	7.70312644027144	-10.7080889065514	2.53929724415684e-13	9.01958381124509e-10	20.0011552195386
CCNB1	-0.848134767687496	7.40944854741244	-10.418819984084	5.73106659101112e-13	1.62853988250172e-09	19.2372739186658
RACGAP1	-0.719543059780651	7.296211542827	-10.1838495469304	1.11910827959437e-12	2.65004840607946e-09	18.6077965186979
MAD2L1	-1.222636734037	7.16432507839403	-10.0659142156109	1.57006507021524e-12	2.80381359516002e-09	18.2888296313525
CCNB2	-1.00743983159459	7.0010378728648	-10.043531719342	1.67460719687642e-12	2.80381359516002e-09	18.2280668583022
DLGAP5	-0.861593709529825	6.12700705491275	-10.0231272158677	1.77606435504224e-12	2.80381359516002e-09	18.1726107686557
CDK1	-0.925170659717916	6.85957112744257	-9.7375704283917	4.06822053286821e-12	5.78012773309916e-09	17.3902306422409
CENPU	-0.80156046638422	7.64546683069284	-9.64803636038753	5.28682763216975e-12	6.82865881798799e-09	17.142520782978
ASPM	-1.86697233229793	4.87618716549817	-9.5522719322469	7.00475987725151e-12	8.29363569466579e-09	16.8763158159849
PBK	-1.0286485725899	6.57151210461898	-9.51659821927199	7.78112944805915e-12	8.50417593830957e-09	16.7768195548397
ZWINT	-0.790632642886443	8.96533901436863	-9.37018295002723	1.19985493183904e-11	1.21768134796922e-08	16.366588937808
MELK	-0.863655440734441	7.89721678907019	-9.11963190135171	2.53323417486045e-11	2.25569843680464e-08	15.6576947778475
TTK	-1.04958962916064	6.0407262560952	-9.10486887584366	2.64790852910547e-11	2.25569843680464e-08	15.6156570418753
KCNK15	-1.90001116636777	5.24065292743982	-9.09850343436334	2.69896350124429e-11	2.25569843680464e-08	15.5975223149676
BIRC5	-1.0002536531398	5.84694369412023	-9.05177546578481	3.10561866613443e-11	2.45136833380211e-08	15.4642294985366
SLC35F6	-0.733752443371005	6.12491034264642	-8.84533908055	5.79147126536993e-11	4.33080124938821e-08	14.8718623425205
AURKA	-0.633800839482984	6.50823881059743	-8.75042314419693	7.72616745855551e-11	5.48866936255784e-08	14.5976131166488
CENPA	-0.728743002487544	6.42070322864497	-8.72940764452153	8.23647687720938e-11	5.57256492720909e-08	14.5367325758686
PTTG1	-0.686550597700697	8.82853221598987	-8.63264719598494	1.10642722415885e-10	7.14550818220404e-08	14.2556900325064
KIF11	-0.815404061511608	6.28781278716839	-8.52288213701496	1.5484511164139e-10	9.56538846174289e-08	13.9354333709475
BUB1B	-0.656523092427727	7.26560165902382	-8.39748697599835	2.27709410908372e-10	1.34803971257756e-07	13.5677335620448
HMMR	-0.801628533060846	6.65199481493271	-8.35297602370301	2.6122461620702e-10	1.48459173882774e-07	13.4367492341397
CENPF	-0.638707288899809	4.81411516514188	-8.33647652538802	2.74879984730982e-10	1.50211339348377e-07	13.3881345042442
KIAA0101	-0.684252123772964	8.23117877957355	-8.31479403300034	2.93929476980335e-10	1.54672222553208e-07	13.324198588786
TRIP13	-0.66950717097227	7.09158170998608	-8.23051759829057	3.81557563944799e-10	1.93613209590275e-07	13.0751571676635
UBE2C	-0.683939386964898	8.37795546818555	-8.08799724561182	5.94204997128085e-10	2.91119468937787e-07	12.6521109397867
FAM64A	-0.708380493686179	6.84431329251388	-8.04948924291268	6.69996341028817e-10	3.13575585281639e-07	12.5374079159686
KPNA2	-0.50196343337568	9.35938814582383	-8.04277399059185	6.8418096450808e-10	3.13575585281639e-07	12.5173882368649
MCM2	-0.617186331330124	8.05165089145727	-7.94232220167622	9.3650524276612e-10	4.15808327788157e-07	12.2173212868067
NCAPG	-0.864239770221843	5.41744078405865	-7.91321610901907	1.02587972755673e-09	4.4168785360988e-07	12.1301697986459
CENPM	-1.41770249081323	5.53306208453354	-7.90258023662882	1.06064727329037e-09	4.43225778203222e-07	12.098300307534
MAPT	-0.769150448407606	6.84145005337422	-7.78062938892088	1.55552054333155e-09	6.31452453704418e-07	11.732027024375
KIF4A	-1.45549734479501	5.20347147006191	-7.60500823201772	2.70665247013325e-09	1.06822550821259e-06	11.201882875143
DTL	-0.829986312264054	7.3574865472272	-7.59167135851335	2.82325404465892e-09	1.08412955314902e-06	11.1614991370383
ECT2	-0.699526573501306	7.41586159652337	-7.5300699751245	3.43117950423448e-09	1.28289995779378e-06	10.9747523069709
CEP55	-1.3734114171139	6.17326268300443	-7.50295919984628	3.73905551926223e-09	1.36216668763276e-06	10.892452481443
SLC27A2	-1.11975370601222	6.45358334971196	-7.27411901646129	7.74114641790232e-09	2.74965520763891e-06	10.1951620863631
OIP5	-0.565278978957463	6.28551891154079	-7.20844547926155	9.54618958331986e-09	3.30810394145875e-06	9.99423950049817
