logFC	AveExpr	t	P.Value	adj.P.Val	B
PBK	-1.2536326577877	6.46738190484031	-10.4851159907392	6.24512506319576e-13	8.58405935703723e-09	19.192194926859
CENPM	-1.89394620948212	5.31703569196023	-10.2488075665262	1.20834168877213e-12	8.58405935703723e-09	18.5694021147812
FOXO1	0.964912874692823	7.16985708819757	9.80717881332036	4.22992995382883e-12	2.00329482613333e-08	17.3838342398551
MAPT	-0.90427142381173	6.77570650647567	-9.63952821023416	6.8510975693487e-12	2.43350985663266e-08	16.9264462819362
PRC1	-1.39474594812471	7.58157078607328	-9.53132155994076	9.37042181517557e-12	2.66269906300029e-08	16.6291167135225
CCNB2	-1.14587748522961	6.9373513402293	-9.29447737832663	1.86932408746899e-11	3.48618012673637e-08	15.9725781317079
DLGAP5	-1.12933366773292	5.99052868934901	-9.28438085347496	1.92547715389953e-11	3.48618012673637e-08	15.9444166149964
ASPM	-2.12553139206431	4.76905747526609	-9.27780981232794	1.96293926054976e-11	3.48618012673637e-08	15.9260808987791
NEK2	-1.45212517189223	5.78949917102977	-8.96558897515485	4.93416701291899e-11	7.38638526332105e-08	15.0480437495888
RRM2	-1.51085609483059	7.6585197218153	-8.94801616772954	5.19875088916178e-11	7.38638526332105e-08	14.9982320622274
KIF4A	-1.35175801062897	5.28168911924722	-8.78982428457559	8.33378816169411e-11	1.07642238364864e-07	14.5479715354132
SFRP4	1.49980155696199	9.16032767644199	8.67321356743057	1.18235408984427e-10	1.3179405990572e-07	14.2139554661105
TFF1	-2.10158024357471	9.37102535217478	-8.66665934626169	1.20588596479052e-10	1.3179405990572e-07	14.1951293384863
MELK	-1.01730933569624	7.81484844134527	-8.58703581529726	1.53269320583166e-10	1.55546464774687e-07	13.965980174614
TOP2A	-2.116911663526	6.55553522672144	-8.54753749354477	1.72678632610792e-10	1.63561200808943e-07	13.8520071146882
AURKA	-0.841089431351228	6.40872585095133	-8.52235238081562	1.86336453428467e-10	1.65466770644479e-07	13.7792318058493
CENPU	-0.856533857180633	7.62268111410767	-8.49140603392979	2.04626974988422e-10	1.71020003566794e-07	13.6896992351455
CKS2	-1.12931043615292	8.33802704583017	-8.43525048321802	2.42591427683418e-10	1.88513677463136e-07	13.5269261880283
NAT1	-1.54477916949995	10.6897385903264	-8.41512788500584	2.57868855884078e-10	1.88513677463136e-07	13.4685031014044
C3	1.24427771925674	10.1320328215312	8.4056944210009	2.65362721654189e-10	1.88513677463136e-07	13.4410971275497
CILP	1.37932450374547	9.99049650240617	8.17246763509885	5.40493342882139e-10	3.65682353127116e-07	12.7600863607114
OGN	2.62086267796162	6.14421858288488	8.1125314994658	6.4953477924337e-10	4.19481370158627e-07	12.5840294302793
HMMR	-1.07455866676246	6.52124237851123	-8.08862878024975	6.99001470481924e-10	4.31800560548138e-07	12.5137009080978
ZCCHC24	1.10022759346282	8.4998237000351	7.98371283578909	9.65379004043269e-10	5.71504370393615e-07	12.2042356057277
ITM2A	1.24482069039059	7.83548413314778	7.96000892171547	1.038596115739e-09	5.79055259658726e-07	12.1341452978888
PDGFRL	1.36989003944876	7.81251942836434	7.9535064632203	1.05964504160521e-09	5.79055259658726e-07	12.114907174259
ERCC6L	-1.08320271353624	4.58529194354199	-7.90139161729995	1.24470141990863e-09	6.54989547187477e-07	11.9605516543749
KIAA0101	-0.824206949067719	8.17007574357435	-7.85786600987324	1.42409781597876e-09	6.62305768326225e-07	11.8314081261536
CDK1	-1.06487862651745	6.79938792377895	-7.84285909039651	1.49183210185507e-09	6.62305768326225e-07	11.7868339904233
FKBP4	-0.607683534728526	8.55158840434217	-7.83194004592745	1.54315344697386e-09	6.62305768326225e-07	11.7543866051571
CH25H	0.767057006858861	6.97458526926357	7.82814256680853	1.56141728374471e-09	6.62305768326225e-07	11.7430988993545
MEIS2	1.06823701139825	7.64487998666084	7.82570451365559	1.57325796882768e-09	6.62305768326225e-07	11.7358511665139
FLRT2	1.00648751193422	6.88713590139876	7.82332340914502	1.58490963704192e-09	6.62305768326225e-07	11.7287721148953
LOC100506718	1.00648751193422	6.88713590139876	7.82332340914502	1.58490963704192e-09	6.62305768326225e-07	11.7287721148953
KHDRBS3	0.899987356763776	6.7468138847563	7.79989926574666	1.70428553466318e-09	6.91842539328415e-07	11.6590996643974
HLF	1.34636623372181	5.41156805756939	7.75484441956941	1.960057246431e-09	7.73569259924768e-07	11.5249260818342
KIF20A	-1.80053516633934	6.05025758324822	-7.72899039052653	2.12399803697644e-09	8.01547498216288e-07	11.4478367706838
GREB1	-0.814604700312164	4.78698538024697	-7.72600813929466	2.14377850029694e-09	8.01547498216288e-07	11.4389400926282
MYLK	1.05773446336951	9.58124032252116	7.70851281436824	2.26362568517166e-09	8.24656249613305e-07	11.3867294114436
CCNB1	-0.955062326501586	7.36225087264592	-7.67457077014693	2.51578752281825e-09	8.93607728105044e-07	11.2853479235169
PTTG1	-0.73937686840495	8.79691498851889	-7.65473627125431	2.67608624928122e-09	9.27361790970428e-07	11.2260500922733
GINS2	-1.37956995075109	6.97489000377963	-7.62927740067786	2.89705358048158e-09	9.63787856110094e-07	11.1498794837729
PTN	1.09045009278856	7.44429719442357	7.62709092131723	2.91686921542328e-09	9.63787856110094e-07	11.1433347168707
CYP2B7P	-1.8147220129062	8.05959640107934	-7.57144934410989	3.46990884645622e-09	1.12046511114659e-06	10.976624274401
PROS1	1.05390768450653	7.96626739486631	7.56057079701591	3.58983178439752e-09	1.13342955539378e-06	10.9439950847843
ZWINT	-0.881825565437315	8.92710043690558	-7.54651902104921	3.75094975931856e-09	1.158554221313e-06	10.9018311209089
TXNIP	0.750159592069069	9.61336107999403	7.51791054029469	4.10189328045863e-09	1.23999361125013e-06	10.8159294217024
SOCS5	0.538444167525073	7.83146889601029	7.5047335020728	4.27450719157869e-09	1.26525412870729e-06	10.7763369231491
KIF18B	-0.608974975686277	7.0791674384074	-7.42627751744256	5.46523301784943e-09	1.57988041959824e-06	10.5402666815443
BUB1B	-1.02706159872043	7.08750959895236	-7.4208051300872	5.55982692707713e-09	1.57988041959824e-06	10.5237793353036
IGF1	1.64226875535394	7.3744028287827	7.37856678048227	6.34776193230458e-09	1.76841179478791e-06	10.3964314125763
OLFML1	0.842117136650476	7.60624989353417	7.33728834342023	7.22660277762742e-09	1.97453023585635e-06	10.2718239528588
GEM	1.07014703219811	8.47463939706978	7.26622358032072	9.03699485733763e-09	2.42259665911421e-06	10.0569539281852
ADD3	0.896541671518346	8.61609637585385	7.24175144516681	9.76109472743306e-09	2.56825247939572e-06	9.98286152396342
RBMS1	0.889530216607785	8.1840807806439	7.23324333051932	1.00263115059774e-08	2.59006970685321e-06	9.95709051834065
PLSCR4	0.821892808958395	8.50227324990392	7.22218902353943	1.03817781446662e-08	2.63400542641817e-06	9.92359822487566
NUSAP1	-1.19002859131146	6.38906803156373	-7.21559118590588	1.05999656635638e-08	2.6421809148757e-06	9.90360335903549
COX6C	-0.882893595227995	12.0857045931615	-7.20783059385113	1.08625273504962e-08	2.66094463096293e-06	9.8800802095919
MMP2	1.27131611007008	9.94689146019947	7.14903833130241	1.30766965133446e-08	3.14904583155255e-06	9.70171796787237
FAM64A	-0.714832363227773	6.84899825165445	-7.1382225325351	1.3531060547002e-08	3.17355562445831e-06	9.66887562199628
KPNA2	-0.712490783779533	9.24913324166617	-7.13602732643748	1.36252036241524e-08	3.17355562445831e-06	9.66220873460087
ECM2	0.677240086417284	8.94627250208255	7.11338001161886	1.46358247701562e-08	3.35396448926417e-06	9.59340668834175
SERPING1	0.855322156447185	8.6839348732249	7.09653126915004	1.54363862881423e-08	3.46991657028459e-06	9.54219518615811
MFAP4	2.22312857338115	5.30119027380061	7.09258349596254	1.56302548211017e-08	3.46991657028459e-06	9.53019288683401
DTL	-0.933862547394381	7.30846848725667	-7.07736140468924	1.64010242563753e-08	3.58501157899355e-06	9.48390267755244
CENPA	-0.718378028530174	6.43791875933357	-7.03295187943961	1.887556441005e-08	4.06339422936349e-06	9.34875611350198
KIF11	-1.01010637470639	6.1936778459219	-6.99265617987741	2.14450059798648e-08	4.53578312126713e-06	9.22600586773483
COL16A1	0.928838228666657	8.0865191666326	6.98880328805038	2.17084214700285e-08	4.53578312126713e-06	9.21426306371525
MZT2A	-0.817337189912285	9.53567284286473	-6.96068879634972	2.37317741621344e-08	4.88668184486384e-06	9.12854500009158
CXCL12	0.911519811245901	9.10240361869933	6.9529032626951	2.43249297499871e-08	4.93726574125452e-06	9.10479820714396
SLC35F6	-0.710517108514809	6.14995834650486	-6.94038537517059	2.53100736091795e-08	5.06486656111581e-06	9.06660862270418
TRIP13	-0.697230169342613	7.08174150608843	-6.92940842084428	2.62069419816443e-08	5.17150321771115e-06	9.03311151419553
TCF7L2	0.797299487018103	7.22671070965092	6.90213607118893	2.85761468889533e-08	5.39556948774122e-06	8.94985332993124
DCN	1.06362031510911	10.790281044914	6.90077916763681	2.86994984316227e-08	5.39556948774122e-06	8.94570965516906
OIP5	-0.606657537734847	6.26715375422709	-6.89945983597222	2.88199481038724e-08	5.39556948774122e-06	8.9416806027223
CFI	0.897402968555433	7.93853136827498	6.89900668848108	2.88614358860031e-08	5.39556948774122e-06	8.94029672849062
MREG	-0.747491427999185	8.70405667553782	-6.88649184778296	3.00312834232095e-08	5.5413568165839e-06	8.902072262652
AKAP12	1.07056948770828	8.29812307799422	6.87280785815694	3.1365098873999e-08	5.71327339489459e-06	8.86026544196612
MAD2L1	-1.27377807985336	7.15001905923833	-6.85746654158026	3.29314618537511e-08	5.922660886305e-06	8.81338125717388
KIF14	-0.745105322105884	5.96996666575442	-6.8427908054729	3.45034744439372e-08	6.05227211387516e-06	8.76851751687621
SIAH2	-1.8703811360636	6.26776116405816	-6.84278523621629	3.45040851086633e-08	6.05227211387516e-06	8.76850048915011
NCAPG	-1.04888429102053	5.3300582878375	-6.82675700559864	3.63073857437127e-08	6.24737148211825e-06	8.71948718126826
CEP55	-1.60057029878002	6.0658585870388	-6.82512905333864	3.64957652741987e-08	6.24737148211825e-06	8.71450814120178
PDGFD	0.897114962714584	8.87250738671439	6.81905205796357	3.72076938473846e-08	6.29341564504333e-06	8.69592044561831
C1R	0.838265536721582	9.13917929122844	6.80704358538632	3.86558384952417e-08	6.46143709812228e-06	8.65918370530164
FBLN1	0.898239603822252	7.18923500913849	6.79171642713517	4.05868482164379e-08	6.70532487743197e-06	8.61228203521348
RACGAP1	-0.794686585347961	7.25793382888832	-6.78286045117768	4.17464944252862e-08	6.8176343999364e-06	8.5851762197516
NDC80	-1.41277544698474	5.12342052154508	-6.77926511576935	4.22267415616365e-08	6.81769936486058e-06	8.57417055927491
PRR16	1.38483380822505	4.72730419931904	6.77082923146383	4.3375487758361e-08	6.90533343879966e-06	8.54834463476605
C1S	1.10462409762505	10.6769468403432	6.76818813631823	4.37415547221262e-08	6.90533343879966e-06	8.54025826168598
CLU	1.13257114434957	8.72309654552405	6.75417290094002	4.57367427992125e-08	7.06592514426908e-06	8.49734057024897
PELI2	1.11957423255188	5.78257607040598	6.75051337755511	4.62726066006136e-08	7.06592514426908e-06	8.48613251626145
HJURP	-1.54615093036744	5.25908942665542	-6.74401250830813	4.72401416739035e-08	7.06592514426908e-06	8.46622042705892
LINC00341	0.880924166931509	8.46534754484338	6.74397742963801	4.72454172793893e-08	7.06592514426908e-06	8.46611297519316
SYNE3	0.880924166931509	8.46534754484338	6.74397742963801	4.72454172793893e-08	7.06592514426908e-06	8.46611297519316
LDB2	1.27555528149636	7.29408911893422	6.71891402664415	5.11703141560203e-08	7.50023698766792e-06	8.38932249836865
HMGB3	-0.762572534063831	8.33813492176602	-6.71870024215751	5.12051652451991e-08	7.50023698766792e-06	8.38866734995491
CCL14	1.4801033038954	8.6741067065992	6.7144605874251	5.19012619490563e-08	7.52462377318563e-06	8.37567431103935
RGS2	0.958694945996781	8.66478663531018	6.703066374182	5.38195415443558e-08	7.72391965921422e-06	8.34075039125731
SLC9A3R1	-0.620812144387024	9.41459485228247	-6.69571961510553	5.50940359522191e-08	7.8277606280913e-06	8.31822855696163
SPARCL1	0.885332553833425	11.1320876689483	6.68745838580207	5.65634394061795e-08	7.95177970884572e-06	8.29290004293659
H2AFZ	-0.686638833674544	10.2526647262993	-6.68290895810846	5.73893853946539e-08	7.95177970884572e-06	8.27895023461057
FOXN3	0.851446074145503	6.78335582750328	6.67866212550137	5.81713299574917e-08	7.95177970884572e-06	8.2659273177786
ANXA1	0.788244408093215	10.0134505952329	6.67847734395365	5.820559471565e-08	7.95177970884572e-06	8.26536066423751
HN1	-1.07583252809732	7.06121886250514	-6.63914240167596	6.59812899044064e-08	8.88020311451186e-06	8.1446970235404
CD302	0.712601547707955	7.9183740204746	6.63491607353076	6.68765296489843e-08	8.88020311451186e-06	8.13172788374769
LY75-CD302	0.712601547707955	7.9183740204746	6.63491607353076	6.68765296489843e-08	8.88020311451186e-06	8.13172788374769
CFH	0.970602531596791	7.99952987862398	6.62907731762834	6.81334314343362e-08	8.93673929269921e-06	8.11380936314291
PCSK5	0.809197892325589	6.17019056065977	6.62711900036211	6.85602887742268e-08	8.93673929269921e-06	8.10779913478414
PHGDH	-0.422331015930593	8.44381753438324	-6.61115562336781	7.21415811200014e-08	9.31806895048163e-06	8.05879959866968
NAP1L3	0.714719752140603	7.20352803567229	6.5595946795686	8.50439729594052e-08	1.07263589092537e-05	7.90045482231398
SH3BP5	0.631799844357182	9.16719538118246	6.55880289583461	8.52592009920607e-08	1.07263589092537e-05	7.89802233393374
CDKN1C	0.985092078439702	6.61959614392797	6.55861783936851	8.5309583104284e-08	1.07263589092537e-05	7.89745380654947
PTGFR	2.06553732151555	3.92124966659818	6.51301847511529	9.8681401877731e-08	1.20924898430807e-05	7.75732112569726
SLC39A4	-0.621415879798912	7.54614215986448	-6.511810000796	9.90630573125851e-08	1.20924898430807e-05	7.75360619389612
FAT4	0.872727464477761	6.34292009520219	6.51021423168666	9.95692977855724e-08	1.20924898430807e-05	7.74870060446037
ARHGEF40	0.784224408077909	7.63264955784308	6.51018309082793	9.95792026773962e-08	1.20924898430807e-05	7.74860487266538
ALDH1A1	1.10195097481999	6.1844865372729	6.48058660105408	1.09454571532217e-07	1.30519067574417e-05	7.65760396805119
ECT2	-0.862976750876949	7.32676289791524	-6.48029477784609	1.09556685146067e-07	1.30519067574417e-05	7.65670653021053
PARP1	-0.520903492681511	8.37348037489851	-6.47836118831733	1.10235698964879e-07	1.30519067574417e-05	7.65076012364284
CTSO	0.541838923755939	9.01253542767857	6.46742510951749	1.14156370530187e-07	1.34044108470487e-05	7.61712562316112
CDKN3	-0.569097611598362	7.11004470471471	-6.4615499112539	1.16320154658196e-07	1.35465307982266e-05	7.59905436103279
TTK	-1.27525005317112	5.94475157070991	-6.45856362999732	1.1743570515121e-07	1.35652560877105e-05	7.58986852222105
CRISPLD2	1.08825362594289	9.32966899478328	6.45433311236732	1.19034453848218e-07	1.36390445183507e-05	7.5768548609681
GALNT12	1.39512233588442	5.66208711751729	6.44881806774892	1.21151478793927e-07	1.36858307332452e-05	7.55988888130054
APOBEC3B	-0.738562155901778	6.64730387010951	-6.448256181913	1.21369275928273e-07	1.36858307332452e-05	7.55816028808582
KIF15	-0.670462829462661	6.46985466063924	-6.41534601706816	1.34835667141825e-07	1.50846075492209e-05	7.45689653011292
MZT2B	-0.605149087432121	8.98516449545369	-6.39828442054479	1.42397105967882e-07	1.58060787624349e-05	7.40438465822796
PDE1A	0.702343492720659	6.38247474117227	6.39201605610364	1.45280774042554e-07	1.59467221288049e-05	7.38508974277474
OPTN	0.417872153933869	8.33002018654087	6.39066719613726	1.45908915874481e-07	1.59467221288049e-05	7.38093760497677
FEN1	-0.47358655531176	7.61710000217149	-6.37500048007748	1.53407322495238e-07	1.65865975890457e-05	7.332707472702
FSTL1	0.965942068663152	10.6958280630029	6.37212569825058	1.54824648912899e-07	1.65865975890457e-05	7.32385665325444
ESM1	-0.618434836954746	6.66904859494867	-6.3712361493448	1.55265869886197e-07	1.65865975890457e-05	7.32111788033561
CHRDL1	1.01450105151959	7.85138591344048	6.36715529621476	1.57306213383993e-07	1.66791543265655e-05	7.30855332481509
NOV	1.04928151906668	6.82747590240535	6.36396562720476	1.58919688961172e-07	1.67254143760025e-05	7.29873231241873
TFF3	-1.42117323221938	9.32300441412017	-6.35711710667666	1.62440271030645e-07	1.68770946852438e-05	7.27764471368257
OLFML3	0.694833952916632	9.60569180996828	6.35529928598672	1.63387814079206e-07	1.68770946852438e-05	7.27204716019557
SSPN	0.761431978807966	7.69298784860589	6.35285157028709	1.64672454089331e-07	1.68770946852438e-05	7.26450985004083
KCTD12	0.872530623965127	8.98722089690261	6.35064962510987	1.65836758336738e-07	1.68770946852438e-05	7.25772920825455
MIR4784	-0.931077432979862	9.42053817001002	-6.34977746772135	1.66300201008878e-07	1.68770946852438e-05	7.25504346181799
PCOLCE	1.37261931371174	8.08857491170856	6.33923156873385	1.72007901324593e-07	1.72151468759964e-05	7.22256651666908
IL33	1.44775644266631	5.88889533165502	6.33914685559982	1.72054536626653e-07	1.72151468759964e-05	7.22230562390652
GUCY1A3	0.762611245020348	9.02342697396347	6.32287417208849	1.81252047043399e-07	1.80085949957525e-05	7.17218690206911
PDZRN3	0.733624315928746	7.31331240344312	6.27700897137108	2.09915971728049e-07	2.07117092105009e-05	7.03089116443918
SRPX	1.04914034628445	8.60751687600629	6.272849663764	2.12730097013211e-07	2.084461529906e-05	7.01807538395662
ROR1	0.826883053196788	5.05569842683734	6.25263183272744	2.26957214785887e-07	2.20863569019033e-05	6.95577460624847
SOBP	0.792752845787463	7.66290481167073	6.23949679576604	2.3670736615554e-07	2.28784915533191e-05	6.91529506923146
