logFC	AveExpr	t	P.Value	adj.P.Val	B
PDGFRL	1.75038562875753	7.58977315519594	4.86283540565118	2.59771161533178e-06	0.0369082866306339	4.17706179650208
SFRP4	1.25928887928587	8.99083507451689	4.55382953250724	9.9398512189206e-06	0.0457650019185986	3.03331641916211
SEC16A	-0.68893921969455	8.81658157556782	-4.47559187476546	1.38246980402493e-05	0.0457650019185986	2.75272674769363
COPZ2	1.81804843399219	7.67475912129171	4.44959594403007	1.54124305376437e-05	0.0457650019185986	2.66032026690631
MNX1	-2.18770073410296	5.75810904475378	-4.4390494273251	1.61053638508582e-05	0.0457650019185986	2.62294915887615
CTSK	1.1282881805237	11.0161457511823	4.35525698899953	2.27805411868733e-05	0.0539443215305159	2.32847337582727
WISP2	1.46121916268835	7.25190103695849	4.23750128636695	3.67878996493691e-05	0.062288581455576	1.92205048106078
TPST1	0.563196138194808	7.56110850052195	4.22075726357655	3.93519781435459e-05	0.062288581455576	1.86497197707602
DPT	1.72329993669501	7.76081401191059	4.22009740983462	3.94564494017584e-05	0.062288581455576	1.86272626695436
TRO	0.746424564241887	4.93081707947577	4.12361784572158	5.79516291713416e-05	0.0823376747266421	1.53737653442069
TMEM186	0.724721332164186	7.31698061512672	4.02157249838185	8.64124227153866e-05	0.110679989949208	1.19982028886452
MFAP4	1.95959822040073	5.04408883268107	3.99971890731915	9.40417345548961e-05	0.110679989949208	1.12841810627582
DCN	1.05606531353648	10.7018506236781	3.96002055841381	0.000109570384138993	0.110679989949208	0.999519489185643
GAB2	1.05557073579927	7.21904506415607	3.94178864909576	0.000117493140755745	0.110679989949208	0.940671918804951
PRC1	-0.999725465343901	7.62520429863134	-3.94024645755652	0.000118187740996043	0.110679989949208	0.935704302881206
GPX7	0.622268739734641	7.48103026851272	3.91391144913129	0.000130669048754075	0.110679989949208	0.851120525271816
PSKH1	0.729728103876969	6.955046755985	3.89020944680482	0.000142964973188143	0.110679989949208	0.775390342843629
CDKN1C	0.990818915258354	6.501239631278	3.85857843147915	0.000161094085041551	0.110679989949208	0.674914216725059
EHBP1L1	0.695728332545631	4.12154163593814	3.85079397866299	0.000165879245676307	0.110679989949208	0.650290261632871
OLFML3	0.9111113779154	9.44149739196281	3.84108688123676	0.000172035365356236	0.110679989949208	0.619641919564662
AKAP12	1.02279881133283	8.21893417488452	3.82852793241593	0.000180322139033088	0.110679989949208	0.580084009727004
ISLR	0.965314607099692	7.50936466673278	3.82849213818081	0.000180346289336191	0.110679989949208	0.579971418515585
AHNAK2	1.08952200356028	7.40763958364261	3.77204526265128	0.000222497096753019	0.110679989949208	0.403500742126422
IGFBP6	0.812257452965505	7.36895073608787	3.7675378789815	0.000226237671518502	0.110679989949208	0.389502907852566
LEPREL2	1.49049028080906	4.66444270412018	3.75698639235588	0.00023522827914688	0.110679989949208	0.356789263375735
FSTL1	0.958930757222754	10.5758540192252	3.75087984440924	0.000240584902616191	0.110679989949208	0.337891464901717
ARHGEF40	1.05152233899678	7.46461945178725	3.74893718762242	0.000242313052548726	0.110679989949208	0.331884927838319
FAM111A	-0.524373307583685	8.3097937046956	-3.74674146846613	0.000244280462264533	0.110679989949208	0.325099058651271
CENPU	-0.772648117109725	7.66665494507298	-3.74162338468412	0.000248925211295295	0.110679989949208	0.309294465569035
ANGPTL2	0.688346416886025	7.47734775377947	3.73733905927344	0.000252877433203013	0.110679989949208	0.296078338759185
C1R	0.816173287727191	9.02769189305321	3.73411715565144	0.000255888614978185	0.110679989949208	0.286147838121268
PRR5	0.755566717037341	6.89580797086186	3.73261422625158	0.000257304819937418	0.110679989949208	0.281517973018255
DLG5	-0.648633332220279	7.6308360709545	-3.71869581227482	0.000270776998988543	0.110679989949208	0.238715281309858
CH25H	0.830622051308793	6.80560410033077	3.71770758619639	0.000271758474740855	0.110679989949208	0.235681303540495
SNX7	0.873114708798594	8.73756785658487	3.71317717129075	0.000276301153727459	0.110679989949208	0.221780976888335
