target_id	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval	b	pa_up	pa_down
STARD10	15	58.01620769445029	1.6895951368235176e-84	3.0512398575895903e-80	-1.4412596979645458	FALSE	TRUE
PER1	13	45.87352920363756	3.5320371514056945e-81	3.189252945861772e-77	1.4264362249741873	FALSE	FALSE
NR4A1	13	46.364529321942136	3.2899651257449887e-79	1.9804493401942918e-75	2.1871868967521118	FALSE	FALSE
GREB1	7	25.98520653512968	8.939502467157683e-78	4.035961876360015e-74	-2.2400675934473147	FALSE	TRUE
ANXA1	8	31.831985153780888	6.219459955578115e-74	2.2463445467557038e-70	1.7202066057043868	FALSE	FALSE
MLPH	21	102.18513513483519	2.4895572505673964e-65	7.493152397999436e-62	-1.1845203225163723	FALSE	FALSE
VIM	10	47.746999476074826	5.785102301320461e-65	1.4924737494220887e-61	1.1651696708024368	FALSE	FALSE
EVL	20	88.37205634622025	2.6492247175163227e-64	5.980293646703409e-61	-0.8334089568496853	FALSE	FALSE
FOSB	8	30.242479532695853	5.014478355653037e-64	1.006182940274869e-60	3.0345506007106593	FALSE	FALSE
MAPT	10	33.86005845488912	4.755579746060553e-61	8.588101463410752e-58	-1.8124928606656978	FALSE	FALSE
DCN	15	62.56742715983157	2.3580916125809625e-58	3.8713433119636e-55	1.0866906168155064	FALSE	FALSE
TTC39A	12	43.019503980520625	6.343327927303053e-58	9.546179919930486e-55	-1.745989934425779	FALSE	TRUE
FHL1	10	33.62051747204735	1.1987328551126238e-56	1.6652243561906826e-53	2.2010855956982547	FALSE	FALSE
PKIB	7	31.281463381242446	1.5557909782266345e-56	2.0068592339853422e-53	-1.7942884965857213	FALSE	TRUE
RGL2	44	190.06694221051472	1.274478341579864e-55	1.5343869580393844e-52	-0.4996955150132642	FALSE	FALSE
TPRG1	8	26.58194859327627	1.4867495661298679e-55	1.6780756509212053e-52	-1.6435910904467161	FALSE	FALSE
LSP1	13	48.282640739897175	1.2064345991721349e-54	1.2815883780264461e-51	1.2395214455117958	FALSE	FALSE
C1S	16	71.61913033488636	1.1117265260404666e-53	1.1153705185424883e-50	0.9373906956509493	FALSE	FALSE
ATF3	5	21.585435734286943	1.3152648246400967e-52	1.2501246035881845e-49	2.3125116733185296	FALSE	FALSE
ELN	23	94.03984990860084	8.815252389472249e-52	7.959732145073967e-49	0.984544774624747	FALSE	FALSE
CYP2B7P	5	21.236960677811137	2.7708440294761576e-51	2.382793920395711e-48	-4.0023025744211465	FALSE	FALSE
CD36	11	41.94029940487102	5.990896001863882e-51	4.9177086771663564e-48	1.8852173961290661	FALSE	FALSE
CACNA1D	14	43.99155516233231	1.7955586203691915e-49	1.4098257880542273e-46	-1.4085771421217963	FALSE	FALSE
MSI2	12	41.02711139242564	7.541208195269523e-49	5.67444494993218e-46	-1.1516888779377423	FALSE	FALSE
FOS	8	40.4570640827946	6.569579330608506e-48	4.7456013252583604e-45	1.770606147851074	FALSE	FALSE
LMNA	16	59.69937466818051	1.637095990711664e-47	1.1370890960100748e-44	0.6893924017226147	FALSE	FALSE
SUSD3	5	19.444535085382142	2.2318866036537584e-46	1.4928014879771564e-43	-2.133117007002827	FALSE	FALSE
COL1A2	11	57.538620737590634	4.09389471494264e-45	2.6404158806124687e-42	1.0639076435721024	FALSE	FALSE
BOC	13	40.81439131806778	3.0499030483188137e-44	1.8992482465375677e-41	1.1400764148076108	FALSE	FALSE
EGLN2	10	44.09271092452752	1.268998976941809e-43	7.63895084153071e-41	-1.137103333247862	FALSE	FALSE
MAGED2	11	61.89549169803192	1.3893615885963296e-42	8.093703525310036e-40	-0.808917068151495	FALSE	FALSE
EMP1	9	37.35966065590735	2.5700345831248837e-42	1.4503829542703836e-39	1.0231889063674977	FALSE	FALSE
HPN	9	34.42921341385453	2.1445335323647337e-41	1.1735797291204462e-38	-1.4335103600380585	FALSE	FALSE
KLF6	6	29.683917421883173	6.860102678988046e-40	3.6437233611719153e-37	1.2216025895674598	TRUE	FALSE
CFB	37	117.0704818725366	8.088161006833078e-40	4.173259989211387e-37	-0.5910942390997697	FALSE	FALSE
MYB	10	34.637499206659015	2.8450630715733907e-39	1.4271942780428852e-36	-1.4929343509350017	FALSE	FALSE
AGR2	4	21.03645379038354	3.0075945348551914e-39	1.467949992025673e-36	-2.677439014577865	FALSE	FALSE
RGS2	4	14.213658137851276	3.2856536006651883e-39	1.5614636414319115e-36	2.143538446197106	FALSE	FALSE
RBBP8	8	30.469576087586795	5.290224467209351e-38	2.4496452218803507e-35	-1.5500759244624729	FALSE	FALSE
AQP7	11	27.086140930587835	6.351094895213632e-38	2.8673605678165747e-35	1.4817567775558385	FALSE	FALSE
CXCL2	3	8.909683380461649	6.814857279336257e-38	3.0016953075008164e-35	2.427762923175358	FALSE	FALSE
ABCA8	10	29.912286365876575	1.516513072257278e-37	6.520645136165282e-35	1.4982037341944505	FALSE	FALSE
PKMYT1	9	24.58624351571654	2.3452432967381286e-37	9.849476440882295e-35	-1.6420909268021042	FALSE	TRUE
NAT1	6	23.768737658820413	3.4954316392957413e-37	1.4346363630464043e-34	-2.029449743553418	FALSE	FALSE
ZG16B	12	41.34154812850437	5.687839633846974e-37	2.2825932432809444e-34	-1.109579397420655	FALSE	FALSE
DDR1	41	131.802611138404	1.7760336002030675e-36	6.972476257840695e-34	-0.6656704517168078	FALSE	FALSE
ZFP36	3	19.224869103137262	2.721344174567383e-36	1.0456330733726036e-33	1.610987516417322	FALSE	FALSE
SPRY1	7	33.65672857169745	2.9451505943434006e-36	1.1080515538176558e-33	1.303525628741411	FALSE	FALSE
PLAGL1	12	39.507605700421664	3.0339796994376784e-36	1.1181763141254088e-33	1.1267788264114877	FALSE	FALSE
CAP2	6	17.07776570472619	5.020366559308628e-36	1.8132559938910902e-33	-1.5120123182373728	FALSE	FALSE
FBLN1	8	39.854117555595245	9.043953087139348e-36	3.202446054914696e-33	0.9130517092059296	FALSE	FALSE
NECTIN2	5	29.676248681153563	1.5655703360466333e-35	5.437045134358875e-33	-0.8197041493625844	FALSE	FALSE
CELSR2	4	19.511893126217444	2.0237264763781143e-35	6.895561591870258e-33	-1.4245209837632622	FALSE	FALSE
FLRT2	7	21.318457987906946	4.34121959789607e-35	1.451816383674169e-32	1.1764526236077524	FALSE	FALSE
SLC2A3	4	17.064490784061928	4.7284170725915827e-35	1.552554252980571e-32	1.594309829682328	FALSE	FALSE
NDRG2	29	101.19013085738833	7.799145455781264e-35	2.51508513903489e-32	0.7365211526291612	FALSE	FALSE
MAPK15	11	39.61828072227074	1.4338114149876824e-34	4.445517284500281e-32	-1.2821755088959534	FALSE	FALSE
ICA1	15	54.80372415464133	1.428964208977611e-34	4.445517284500281e-32	-0.8055707521537478	FALSE	FALSE
ADH1B	7	29.543161622076653	1.4523811937843546e-34	4.445517284500281e-32	2.464583859998188	FALSE	FALSE
CHIT1	5	18.087955088152718	5.545901299867545e-34	1.6692238595718e-31	2.8282487328221917	FALSE	FALSE
MMP19	7	29.725679104769892	5.985305600322776e-34	1.7719448169873608e-31	1.2040871081629962	FALSE	FALSE
KIF12	8	29.753602431872842	2.109049849729261e-33	6.143117941332374e-31	-1.7564160524382504	FALSE	FALSE
RGS1	5	22.22259010022895	2.1471513027736088e-33	6.154826250283905e-31	1.7667407939434552	FALSE	FALSE
PDZK1	3	8.143302430962212	2.811429284304884e-33	7.933062725822172e-31	-3.1355238736360667	FALSE	TRUE
ZYX	18	66.13351263150385	3.405299009203271e-33	9.46096843187721e-31	0.629639329886002	TRUE	FALSE
CCND1	5	17.681864207575046	3.931203084699104e-33	1.075660553130017e-30	-1.3531042014917856	FALSE	FALSE
KDM4B	10	42.85083119753886	4.433534419655988e-33	1.1950029564860821e-30	-0.7335930225575216	FALSE	FALSE
COL14A1	6	31.85622452094786	5.041404210516748e-33	1.338863509378264e-30	1.1668986222194286	FALSE	FALSE
ESR1	8	30.082875584141618	1.3755037995627845e-32	3.600032335696279e-30	-1.505658646962924	FALSE	FALSE
LDLRAD4	15	51.041752909403826	1.534197856544495e-32	3.9580112987624336e-30	-0.8236003086467879	FALSE	FALSE
TESMIN	7	25.64446739794784	1.6530328876162964e-32	4.20452407288207e-30	-1.2607530524135093	FALSE	FALSE
ABCA10	6	20.32606366977228	5.319713237396543e-32	1.334287518807558e-29	1.727530827125417	FALSE	FALSE
SREBF1	17	79.02190138099098	1.110454901653615e-31	2.747082886159265e-29	-0.7755411467845391	FALSE	FALSE
LCN12	6	16.90339547750203	3.6645420785892014e-31	8.942968296924647e-29	-1.2855782830336877	FALSE	FALSE
SEC14L2	8	34.504950648813775	4.580750286919947e-31	1.1029835924198308e-28	-1.2329722520552404	FALSE	FALSE
MMP23B	6	20.433869537245663	7.461917396553253e-31	1.7730890297941475e-28	1.138544665997744	FALSE	FALSE
SLC44A4	25	60.40293092250638	9.570814526377215e-31	2.244666747166833e-28	-0.9202064124641489	FALSE	FALSE
AGR3	3	15.683452918717418	1.6944058729100085e-30	3.9229840588310054e-28	-3.1131099368282933	FALSE	FALSE
THSD4	6	26.484080280817935	3.5569281950484215e-30	8.130957756250562e-28	-1.1476931286184895	FALSE	FALSE
DOK7	5	13.324128393792309	5.4567139814421055e-30	1.2317849723857874e-27	-2.1221215334419856	FALSE	FALSE
MCF2L	18	72.2050851433015	7.144195536659154e-30	1.592802804895403e-27	-0.5595990853289566	FALSE	FALSE
AKR1C1	5	18.96872168715111	8.311319494530576e-30	1.8304160823381423e-27	1.3470685482698852	FALSE	FALSE
IGFBP3	8	32.07327554425681	8.680358223505346e-30	1.8886577007022053e-27	1.034268858161257	FALSE	FALSE
HMCN2	5	18.309666184153777	1.1129374397239073e-29	2.3926830028540525e-27	1.1746167524713078	FALSE	FALSE
FGFR3	5	15.299496230018438	1.1984729477323839e-29	2.546261525070485e-27	-2.0164200504154266	FALSE	FALSE
EGR2	3	10.943457065799088	1.5793163409997726e-29	3.316380674664522e-27	2.3456159096196547	FALSE	FALSE
SGK1	10	39.25063586364737	2.2426276962084106e-29	4.655127996072148e-27	1.1464172674244146	FALSE	FALSE
GFRA1	4	22.049014142039375	2.675200821295118e-29	5.4899376854282435e-27	-2.2462505049046744	FALSE	TRUE
CAPN8	5	19.488254439164585	3.4980615207696813e-29	7.097920562199963e-27	-2.032750199736043	FALSE	FALSE
MEIS2	13	37.00961649874165	6.231805067681758e-29	1.2504463079696097e-26	0.9931839157375518	FALSE	FALSE
PAFAH1B3	5	18.05453553708042	6.816125386399286e-29	1.3526638280547772e-26	-1.2038582390746388	FALSE	TRUE
