gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant	significant_up	significant_down
A1BG-AS1	8.895203841957763	0.27856851084685486	0.1507757583036952	1.8475682959972732	0.06466481966074675	0.11954031521307922	FALSE	FALSE	FALSE
A1CF	3.285565640058779	0.4979155690867791	3.1900784671019045	0.1560825460005444	0.8759679560158311	0.9354222836581542	FALSE	FALSE	FALSE
A2M	1205.1230751948547	0.7922113467708879	0.08742622148106126	9.061484453408536	1.286871106638996e-19	5.163061078684761e-18	TRUE	TRUE	FALSE
A2M-AS1	9.83117045424712	0.744994171551357	0.13496447446884327	5.519927925354461	3.391387366461902e-8	2.510046060131284e-7	TRUE	TRUE	FALSE
A2ML1	10.434437980514716	0.6084148007118317	0.2512917749780795	2.4211488846577036	0.015471539176347042	0.0349663601756422	TRUE	TRUE	FALSE
A3GALT2	1.619958684748679	-0.555731075947314	0.3444008659339051	-1.6136169531407791	0.10661053728884494	0.18160373386212555	FALSE	FALSE	FALSE
A4GALT	42.15394501155121	0.2739434811136756	0.08064105988099032	3.3970719323128944	6.811106021237882e-4	0.0021981018458293914	FALSE	FALSE	FALSE
AAAS	151.91446530569286	0.011073076420676804	0.03303120783309019	0.3352307453190965	0.7374510310895983	0.8346053718981665	FALSE	FALSE	FALSE
AACS	61.14675851687045	-0.4920868065091607	0.056007748841693177	-8.786048657303692	1.5491252453407174e-18	5.391906851513047e-17	FALSE	FALSE	FALSE
AADACL4	1.3789117645764377	0.15526515434310328	0.3563066766556232	0.43576268567420035	0.6630089194649764	0.7733070143932934	FALSE	FALSE	FALSE
AADAT	91.72895212603491	-0.6866734902832853	0.08179374559727534	-8.39518333913002	4.6516783045478675e-17	1.3152284655050368e-15	TRUE	FALSE	TRUE
AAED1	20.755590251591695	0.1129784032110656	0.08758733217310478	1.2898943306981736	0.19708734945660752	0.30040657545402255	FALSE	FALSE	FALSE
AAGAB	77.82138517420653	-0.18001173042698945	0.045479634074506545	-3.9580734122021974	7.555673747674579e-5	3.015132263264471e-4	FALSE	FALSE	FALSE
AAK1	228.81714345611988	-0.32759194435777705	0.05418607432893626	-6.045685139859588	1.4877639456043948e-9	1.3846165964599001e-8	FALSE	FALSE	FALSE
AAMDC	20.527035643095942	0.2603703697865626	0.0851961674229259	3.056127730418283	0.002242157166315015	0.006369630293810258	FALSE	FALSE	FALSE
AAMP	83.17493660094661	-0.09082724036689646	0.04737247382331821	-1.9172999220105844	0.05519983984496659	0.10433200714622382	FALSE	FALSE	FALSE
AAR2	45.6064141752946	-0.012221436667873686	0.05662092759806703	-0.21584663456292283	0.8291072958988731	0.9034552240613605	FALSE	FALSE	FALSE
AARS	327.4731742559515	-0.24495010697088002	0.04043204843950834	-6.058315530002335	1.3755437381346985e-9	1.2896470773765048e-8	FALSE	FALSE	FALSE
AARS2	84.84383288826767	-0.09403662512842477	0.04446683588854525	-2.1147586341453364	0.03445052413581094	0.06994972599246507	FALSE	FALSE	FALSE
