ID	gene_symbol	logFC	AveExpr	P.Value	adj.P.Val
TC01002654.hg.1	RAB3B	-3.13855249122806	5.909415272727273	2.5245235699038573e-11	1.3786423215244964e-7
TC02001556.hg.1	MBOAT2	-3.223926894736829	5.8133935	6.4172871399411e-10	1.7522402535609174e-6
TC01003484.hg.1	MPC2	-2.2012266842105124	7.192963590909091	2.5550410801235698e-9	4.651026446184938e-6
TC01000700.hg.1	HOOK1	-0.6418740526315698	5.6156962272727275	5.4793393569120586e-8	7.480668057024187e-5
TC01002694.hg.1	DHCR24	-2.149881701754377	6.614401318181819	9.700860466895026e-8	1.0595279801942748e-4
TC03001712.hg.1	PTPLB	-1.807291087719289	6.882059363636364	3.7860336609656133e-7	3.445921637088869e-4
TC01002678.hg.1	YIPF1	-1.5096949298245548	6.822738227272727	5.585621150446637e-7	4.036428168991595e-4
TC01003771.hg.1	C1orf116	-1.9038638947368298	7.317170909090909	6.774062479607483e-7	4.036428168991595e-4
TC02001422.hg.1	TRPM8	-5.390468421052614	7.222823454545455	7.089468630365447e-7	4.036428168991595e-4
TC03001692.hg.1	HGD	-1.5222377368421007	5.314875136363637	7.406467814646424e-7	4.036428168991595e-4
TC02002478.hg.1	DPP4	-3.5928762631578826	6.101567409090909	8.130509038437566e-7	4.036428168991595e-4
TC02000608.hg.1	PDCL3	-0.941654543859638	7.587828227272727	1.7679652961786659e-6	8.045715402026412e-4
TC02001524.hg.1	ADI1	-1.2218493508771857	6.125719136363636	2.199910536372314e-6	9.225641396392547e-4
TC03003363.hg.1	PDIA5	-0.9918861052631485	5.986256090909091	2.4136798564513123e-6	9.225641396392547e-4
TC03000385.hg.1	C3orf14	-1.3340618070175383	5.371660045454545	2.5340527549146346e-6	9.225641396392547e-4
TC03000625.hg.1	SLC15A2	-1.2379537894736714	5.661700090909091	2.780175729292512e-6	9.489087286041505e-4
TC01001820.hg.1	MARC1	-1.3444721228070105	6.282970318181818	4.394096832739222e-6	0.0014115389884464054
TC01001829.hg.1	MIA3	-2.7812478421052518	8.078225227272727	5.366672631367297e-6	0.001628188846660934
TC01003266.hg.1	S100A4	0.4348956666666739	5.706387045454545	5.6945810471620425e-6	0.0016367424788711535
TC02001350.hg.1	ACSL3	-1.8110883333333243	7.454429590909091	6.519668422689466e-6	0.0017801954628153588
TC01002923.hg.1	EXTL2	-0.8737735263157811	5.477095409090909	6.865686017169206e-6	0.0017854053018933824
TC01000101.hg.1	PARK7	-0.5587708070175337	7.026547545454545	8.510934546588341e-6	0.0021126460708599513
TC01001118.hg.1	GPR89C	-1.1160360877192925	7.035100318181819	9.177218423082383e-6	0.002161116782906027
TC02000703.hg.1	TMEM87B	-1.4414886491227987	7.5818543181818185	9.580692048696313e-6	0.002161116782906027
TC02001193.hg.1	FAM117B	-1.8869632807017451	7.3876112272727275	9.893411384847222e-6	0.002161116782906027
TC01000116.hg.1	SLC25A33	-1.3744200701754297	6.899219181818181	1.0520825152444261e-5	0.0022097779291345428
TC01003335.hg.1	C1orf85	-1.000573350877188	7.047938136363636	1.1865481621436062e-5	0.0023999035235060125
TC01001422.hg.1	UAP1	-1.565400859649106	7.659825227272727	1.3209934114997069e-5	0.002576408935785678
TC01003623.hg.1	EDEM3	-1.1915517543859604	6.653365909090909	1.4756749285353912e-5	0.0027788485464592316
TC01006343.hg.1	RHOU	-2.492136526315777	7.613437272727273	1.580559972855584e-5	0.0028771460039214484
TC03001824.hg.1	PIK3CB	-0.9240876140350807	6.358318	1.7971236904504577e-5	0.0031379552456347187
TC01002497.hg.1	KIAA0319L	-0.8930548947368342	7.121147318181818	1.8442491732624546e-5	0.0031379552456347187
TC01003114.hg.1	GPR89A	-1.051864245614027	7.016048454545454	1.8962190643828183e-5	0.0031379552456347187
TC01001265.hg.1	CREB3L4	-1.1279394736842	6.956280454545454	2.321388551371572e-5	0.0037285596703059277
TC02001950.hg.1	AAK1	-1.355764298245604	7.103441318181818	2.5411084497055645e-5	0.0037721993790072175
TC02000203.hg.1	LCLAT1	-1.2430035087719231	6.629928636363636	2.5456455284788763e-5	0.0037721993790072175
TC03001149.hg.1	CAMK1	-0.8366313859649059	6.427402045454546	2.568383841983312e-5	0.0037721993790072175
TC03001532.hg.1	LRIG1	-1.3938921228070082	6.754458409090909	2.6248594836527057e-5	0.0037721993790072175
TC02001017.hg.1	GORASP2	-0.7498015087719194	7.002160818181818	2.7574822151316353e-5	0.003861182147906118
TC01003708.hg.1	RABIF	-0.44384391228069475	5.704193590909091	2.9304421809518784e-5	0.003946126172567413
TC02001139.hg.1	SLC39A10	-0.7734734736842039	5.500221181818182	2.9626656853188785e-5	0.003946126172567413
