Regulator	BCa_MCF7_first	BCa_MCF7_resistant	BCa_MCF7_second	BCa_MCF7_ERmutant	PCa_LNCaP_first	PCa_LNCaP_resistant	PCa_LNCaP_second	BCa_NEO_new	BCa_NEO_new_LASSO	BCa_NEO_new_RF	Perv_NEO	Perv_DTP	BCa_NEO_new_ML	Selection_1	Selection_2	Selection_3
AHR	-1.07459299415579	-0.9108503747697694	0.2677692156908844	0.7709718196392603	-0.2909095755194667	-0.03354221317722294	0.1508387280263761	2.8503719669478556	0	0	2.9674520111227873	1.8195999187254777	FALSE	FALSE	FALSE	FALSE
AIRE	0.8971404997860748	0.22072451513583005	0.43799572037634066	0.2300837533080085	0.7132180307497873	0.5945205464231804	0.0992872601060717	4.777524712581114	0	0	0	0	FALSE	FALSE	FALSE	FALSE
AP1	-0.9395976292638724	-1.6090975849045055	0.39952143463194534	1.2014279905565477	0.7819140246633504	0.5812132999454366	-0.13417000423467562	119.68148085219057	0	0.00319696969696969	0	0	TRUE	FALSE	TRUE	TRUE
APEX1	0.0209626391106914	-0.338062987717896	0.05884759774126846	0.6890781799028778	-0.11515185080806443	0.04606877541021059	0.16382199740686088	1.9887453663237993	0	0	0	0	FALSE	FALSE	FALSE	FALSE
AR	-0.41232145334800774	-0.8454491712999964	0.8418512339094995	0.17372518857459265	0.2942237069627316	0.3355633557547675	0.24485110234050644	0.2108793481084111	0	0	4.714943297500638	3.353929774203326	FALSE	FALSE	FALSE	FALSE
ARNT	-0.31626642033645536	0.4639141251417947	0.1388546118283969	0.43758139335855606	0.10218553794159543	-0.07541570613014267	-0.03838352448509985	1.3353366122959218	0	0	1.0835471386595905	-0.21354934525256902	FALSE	FALSE	FALSE	FALSE
ARX	0.3053574221705669	0.15532741833228184	0.2456671098306588	0.25408896876280945	-0.11151903143753704	-0.5029676087829568	0.1514994755611596	4.777416299456527	0	0	0	0	FALSE	FALSE	FALSE	FALSE
ASCL1	0.21397247234588113	-0.2285605811147713	0.22136258176189205	0.6576659300603398	0.02195593947563456	-0.1445224614668027	0.10372868865940532	0.041448827684134354	0	0	0.038860003504432195	0.4016046827929927	FALSE	FALSE	FALSE	FALSE
ATF1	0.4872996883006451	0.22524097866103543	0.12634390703337584	0.3180442000319066	0.2009195086645299	0.1280615855407765	0.23180165967034316	16.12966663678936	0	0.0018560606060606	-0	2.230641096643961	TRUE	FALSE	FALSE	TRUE
ATF2	0.9300483744805464	0.5028867797392156	0.43155407194327744	0.36484887822011	0.1964066126367321	0.23187196841104307	-0.2410679819159302	16.434193071096903	0	0	4.608993547197957	7.1805285725368995	FALSE	FALSE	FALSE	FALSE
ATF3	1.285022941020671	0.6350223326173665	0.4048468496368443	1.0592931750021797	0.3402908314766815	0.09075696078280138	-0.37039394218950994	2.3842672637169273	0	0	0.536982214806341	4.463660434970294	FALSE	FALSE	FALSE	FALSE
ATF4	0.8501489764739947	0.9739007319145828	-0.06163599372869729	0.7037328469698361	0.2987680194754657	0.5670089544971035	-0.7009398491652532	8.051785393821046	0	0	-0	9.44373066401664	FALSE	FALSE	FALSE	FALSE
ATF5	-0.20507635490927448	-0.37029212574245224	-0.06239060774288025	-0.21759719814940223	-0.47194024076453456	-0.9268327387748548	-0.4377938584451404	0.949023646462924	0	0	0	0	FALSE	FALSE	FALSE	FALSE
ATF6	0.13281786386933206	-0.33478411527116814	0.13550321617714312	0.1045024922278174	-0.5041280627829912	0.2805056332952294	-0.477477003797119	0.018663885849885944	0	0	0	0	FALSE	FALSE	FALSE	FALSE
BARX2	0.11532666391893748	-0.4285233882109128	0.07357334962413034	0.2349622796968187	-0.0233517802287323	0.11017889947658949	-0.08151996729538508	0.0073564668608466785	0	0	0	0	FALSE	FALSE	FALSE	FALSE
BCL11B	0.01845894498648216	0.46965687875737677	-0.5060518690223529	0.5489878810735233	-0.32594375980856183	-0.3698675932151759	-0.05031942444230697	0.6627077944033143	0	0	0	0	FALSE	FALSE	FALSE	FALSE
BCL3	-0.3760060244094994	-0.45255913455704905	0.19388533326125096	-0.18428721800785483	0.09185240129218242	0.05335513289946403	0.1034056499969192	1.5346103333115662	0	0	0	0	FALSE	FALSE	FALSE	FALSE
BCL6	-0.11176008449217135	-0.1935073083310678	0.13685819841605262	-0.28591905713899035	0.2207038217086033	0.284381293648042	-0.26434265169285326	8.676941259388865	0	0	0.7667206689285379	-0.31451918363158093	FALSE	FALSE	FALSE	FALSE
BHLHE40	-0.02938740333174619	0.08512006450959803	0.07182752329293936	-0.5588400640542559	0.03252225291540628	-0.0945462502454103	-0.3263028394307525	-0.15849020670865377	0	0	-0.08661694698140342	-0.6176207719337045	FALSE	FALSE	FALSE	FALSE
BMAL1	0.6168743233656134	0.30628701246745527	0.5480739465085283	0.13286977068565786	0.1373939323902423	0.01341982001089184	0.11436287780506862	7.714148248380787	-0.3013128297292964	0.00626381951381951	0	0	TRUE	FALSE	FALSE	TRUE
BRCA1	2.427866184810255	1.3912620443841202	0.6921315126055582	-4.575161153947828	0.06766851923566608	0.3670497084172551	-0.08970736130142747	0.7100861481723334	0	0	0	0	FALSE	TRUE	FALSE	FALSE
CDX1	0.27362182387931444	0.3406705196713602	-0.01379348688836223	0.7035419389105536	0.28908384582317215	0.18762132753332983	-0.19744847311409175	1.0191389155168065	0	0	0	0	FALSE	FALSE	FALSE	FALSE
CDX2	-0.0950701398405132	-0.3526656748680416	0.12217813879783782	-0.08771454992471786	0.43972555706717087	-0.11743653922393248	-0.24725226115878407	0.0012175083236656103	0	0	0	0	FALSE	FALSE	FALSE	FALSE
CEBPA	0.3170425504993228	0.032616406639453	0.01971290587434184	-0.05777771013291925	0.5941566925271534	0.5311620140919074	-0.12239322487394376	55.85763551072179	0	0	3.135120215771545	2.03145525628666	FALSE	FALSE	TRUE	FALSE
CEBPB	1.049287586096144	0.6054663320215506	0.5317419634859238	-1.8635267936562168	0.5470231682330531	0.3990291155099258	-0.4156034735269696	130.2539703078615	0	9.090909090909084e-4	5.890030626934005	3.676676759768626	TRUE	FALSE	TRUE	TRUE
CEBPD	0.06927568980182336	0.13146479048387072	0.24827244730705056	-0.0662615632934809	0.3694139050126728	0.4419835136205674	-0.19132298203990927	37.45523929494595	0	-3.418803418803407e-4	0	0	TRUE	FALSE	FALSE	TRUE
CEBPE	0.36914668228063263	0.02299565295466432	-0.13157995846541587	-0.3948665326768821	0.5856934671822974	0.4150654205011925	-0.5831826809341107	0.35247086053644344	0	0	0	0	FALSE	FALSE	FALSE	FALSE
CEBPG	0.4858169201136344	0.2381890386049287	0.395953592045829	-0.5992644938181949	0.9671371982590762	0.6288697269932291	-0.4571295216423978	57.98632516651892	0	0.0041025641025641	1.271158782548974	1.6792752102699746	TRUE	FALSE	TRUE	TRUE
CIITA	0.7891555976618682	0.22107405387007148	0.1834328578813102	1.698829881141395	0.32399751453625214	0.32377839474291475	0.3410548317761976	0.027184541733054915	0	0	0	0	FALSE	FALSE	FALSE	FALSE
CLOCK	0.3194463123993302	0.01942073720023025	0.3126755269324084	6.32333918161157e-4	0.04258618493326763	-0.1826847016648389	0.1260919781836984	6.161336733440419	0	0	1.01091989060857	-0.03537540109412408	FALSE	FALSE	FALSE	FALSE
CREB1	0.531471872062635	0.19086449438021297	0.4539368642657446	0.9217008856737016	0.07434514686421645	-0.20550214859230295	-0.15374605149561094	109.70084287665277	-0.7169798339970463	0.00397435897435897	4.638675032823696	5.129336339852878	TRUE	FALSE	TRUE	TRUE
CREBBP	0.11987342064284208	0.24346875158711156	-0.21550107630639612	-0.10734041608767744	0.40047343460569135	0.4133584602689599	-0.4204835955799897	0.0013193675116483917	0	0	0	0	FALSE	FALSE	FALSE	FALSE
CREM	-0.43928689499939594	-0.4429270042745566	-0.09548563349499134	-0.4750614679657417	-0.05733782691912059	0.1847163160362304	-0.35328827728736145	0.2064442268575335	0	0	1.1459732380809597	2.0853118305829343	FALSE	FALSE	FALSE	FALSE
CTCF	0.08453313923853724	-0.44417195346757526	-0.05378536039627898	-0.4168608322455616	-0.03374303823075642	0.22327269148247983	0.08353148642285879	0.2112189292137407	0	0	-0.7699157895224149	0.26277860390587354	FALSE	FALSE	FALSE	FALSE
CTNNB1	0.7986735007310598	0.8764187437341766	0.5750165137354034	0.17167380201233257	0.02687325434694432	0.00667815859209852	-0.08082581666422106	11.769178859597734	0	0	0	0	FALSE	FALSE	FALSE	FALSE
CUX1	-0.2057491096889677	0.100727372276845	0.13507563471996947	0.25562428594773146	0.28211443441333384	-0.17765922477096724	-0.00790590336563137	1.1309358492861095	0	0	-1.1008642613832922	-2.600806002609023	FALSE	FALSE	FALSE	FALSE
CXXC1	0.1972900325186903	0.1960702248465087	0.1595714817391535	-0.07494522320756716	0.2038710929527878	0.543991639568076	0.27792269026666755	12.16177655119217	-0.1168941437852766	0	0	0	TRUE	FALSE	FALSE	TRUE
DDIT3	0.32182412963215473	0.1795068270058408	0.14214065121560449	0.26568624058654156	0.1602509239783556	0.31741747583997126	0.16067647784409722	0.4635064709570652	0	0	-0	1.0853355686201445	FALSE	FALSE	FALSE	FALSE
DLX4	0.5387189167893061	0.16702389199190337	0.3368346870324973	-0.02692916249295288	0.0183974124688868	0.0253218827470405	-0.05797405017720417	6.813356218811419	0	-7.692307692307699e-4	0	0	TRUE	FALSE	FALSE	TRUE
DLX5	0.22788941112706204	0.7243005018890382	0.3300155480789338	0.0981611566652843	0.15275595577056045	0.3304814381233043	0.13618283868872194	6.70067981878229	0	0.00333333333333333	0	0	TRUE	FALSE	FALSE	TRUE
DMTF1	-0.2569819797303717	-0.5015210151845846	0.8871502158655526	3.2883167481692306	0.5650815714141071	0.2897014054216734	0.23071009951200297	12.163746117101523	-0.31501905435207644	-6.41025641025661e-5	0	0	TRUE	FALSE	FALSE	TRUE
