0610010F05Rik	KIAA1841
0610010K14Rik	RNASEK-C17orf49
0610010K14Rik	C17orf49
0610012G03Rik	NCBP2AS2
0610030E20Rik	C2orf68
0610040J01Rik	C4orf19
1110002E22Rik	C4orf54
1110004F10Rik	C11orf58
1110008P14Rik	C9orf16
1110012L19Rik	CXorf40B
1110012L19Rik	CXorf40A
1110017D15Rik	C9orf24
1110032A03Rik	C11orf1
1110032F04Rik	C3orf80
1110038F14Rik	C8orf33
1110051M20Rik	C11orf49
1110059E24Rik	C9orf85
1110059G10Rik	KIAA1143
1110065P20Rik	C1orf122
1190005I06Rik	C16orf74
1190007I07Rik	C12orf73
1500009L16Rik	C12orf75
1520401A03Rik	LINC00514
1600002K03Rik	FAM174C
1600012H06Rik	C6orf120
1600014C10Rik	C19orf12
1700001C02Rik	FAM166C
1700001L19Rik	C5orf49
1700001O22Rik	C9orf50
1700001P01Rik	C17orf98
1700003E16Rik	C2orf81
1700003F12Rik	C20orf144
1700007K13Rik	C9orf116
1700008O03Rik	C19orf81
1700009N14Rik	RAN
1700010I14Rik	C6orf118
1700011L22Rik	C4orf51
1700011M02Rik	FAM236D
1700011M02Rik	FAM236B
1700011M02Rik	FAM236A
1700011M02Rik	FAM236C
1700012B09Rik	C11orf97
1700012P22Rik	C1orf158
1700013F07Rik	C1orf194
1700013H16Rik	SYCP3
1700015G11Rik	CCDC179
1700016C15Rik	C1orf100
1700016H13Rik	C4orf36
1700016K19Rik	C17orf97
1700017B05Rik	C15orf39
1700017N19Rik	C12orf50
1700018B08Rik	C16orf95
1700019D03Rik	C2orf88
1700019N19Rik	C10orf82
1700020D05Rik	NSMCE3
1700020L24Rik	C17orf50
1700021F05Rik	MTRES1
1700021F07Rik	C20orf85
1700022I11Rik	C9orf131
1700024G13Rik	C10orf53
1700025G04Rik	C1orf21
1700028K03Rik	C1orf146
1700028P14Rik	C9orf135
1700029H14Rik	C13orf46
1700029I15Rik	C11orf94
1700029J07Rik	C4orf47
1700029P11Rik	NDUFB11
1700030J22Rik	C16orf46
1700030K09Rik	C19orf44
1700034J05Rik	C12orf71
1700037C18Rik	C16orf90
1700037H04Rik	C20orf27
1700040F15Rik	SYCP3
1700042G07Rik	P3R3URF
1700057G04Rik	PLSCR1
1700066B19Rik	SMIM33
1700066M21Rik	C2orf69
1700067K01Rik	C19orf67
1700080O16Rik	MAGEA10
1700088E04Rik	C22orf23
1700092M07Rik	TEX54
1700093K21Rik	C2orf74
1700094D03Rik	C1orf189
1700102P08Rik	C3orf62
1700113H08Rik	C12orf42
1700123L14Rik	NUP50
1700123O20Rik	C14orf119
1700125H20Rik	C17orf64
1810009A15Rik	C11orf98
1810010H24Rik	C17orf58
1810013L24Rik	C16orf72
1810030O07Rik	CXorf38
1810037I17Rik	C4orf3
1810046K07Rik	C11orf53
1810055G02Rik	C11orf24
1810058I24Rik	STMP1
2010003K11Rik	C11orf86
2010300C02Rik	KIAA1211L
2200002D01Rik	C19orf33
2210016F16Rik	C9orf64
2210016L21Rik	C12orf43
2300002M23Rik	C6orf15
2300009A05Rik	C15orf61
2310009A05Rik	PIGBOS1
2310009B15Rik	C1orf53
2310011J03Rik	C19orf25
2310022A10Rik	C19orf47
2310022B05Rik	C1orf198
2310030G06Rik	C11orf52
2310033P09Rik	C1orf35
2310034G01Rik	C10orf95
2310039H08Rik	C6orf226
2310050C09Rik	C1orf68
2310057J18Rik	C6orf58
2310057M21Rik	C10orf88
2310061I04Rik	C6orf136
2410004B18Rik	C1orf52
2410131K14Rik	C12orf49
2510002D24Rik	C22orf39
2510009E07Rik	C3orf70
2510039O18Rik	KIAA2013
2610001J05Rik	SMIM30
2610028H24Rik	C21orf58
2610301B20Rik	C8orf37
2610507B11Rik	KIAA0100
2610528A11Rik	C10orf99
2610528J11Rik	C1orf210
2700049A03Rik	KIAA0586
2700062C07Rik	C18orf21
2700081O15Rik	C11orf95
2810004N23Rik	C1orf131
